OYAHMCD,SEQ,STRNO,OYAREVNO,STRSEQ,KOHMCD,SIZEX,SIZEY,SIZEZ,SHAPEQTY,OYAQTYKBN,OYAQTY,OYAUNIT,KOQTY,KOUNIT,VALDEC,HASUKBN,NOTE,REVNOTE,REVDT,REVTANCD,VALFLG,INSTID,INSTDT,UPDTID,UPDTDT
100-202EB1333,1,1,1,1,MA-165-201202CA1333-1531T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202EB1333T,1,1,1,1,MA-165-201202CA1150-1333T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202EB1411,1,1,1,1,MA-165-201202CA1333-1531T,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202F1081,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202F1150,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202F1240,1,1,1,1,MA-165-202AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202F1333,1,1,1,1,MA-165-202AA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-202F1411,1,1,1,1,MA-165-202AA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-204AA,1,1,1,1,MA-100-204AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-204BA,1,1,1,1,MA-100-204BA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-205AA,1,1,1,1,MA-100-205AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-205BA,1,1,1,1,MA-100-205BA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-205FA,1,1,1,1,MA-100-205FA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-206C1333,1,1,1,1,MA-100-206C,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-206D1150,1,1,1,1,MA-165-256BA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA0490,1,1,1,1,MA-100-208-AA0490,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA0700,1,1,1,1,MA-100-208-AA0700,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA0800,1,1,1,1,MA-100-208-AA0800,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA0930,1,1,1,1,MA-100-208-AA0930,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA1081,1,1,1,1,MA-100-208-AA1081,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA1150,1,1,1,1,MA-100-208-AA1150,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA1240,1,1,1,1,MA-100-208-AA1240,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA1333,1,1,1,1,MA-100-208-AA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA1531,1,1,1,1,MA-100-208-AA1531,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA1680,1,1,1,1,MA-100-208-AA1680,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA2200,1,1,1,1,MA-100-208-AA2200,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA2300,1,1,1,1,MA-100-208-AA2300,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA2350,1,1,1,1,MA-100-208-AA2350,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA2500,1,1,1,1,MA-100-208-AA2500,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-208-AA2650,1,1,1,1,MA-100-208-AA2650,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-210C,1,1,1,1,MA-100-210C,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-210CS,1,1,1,1,MA-100-210C,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-211B,1,1,1,1,MA-100-211B,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-213,1,1,1,1,MA-100-213,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-213CA,1,1,1,1,MA-100-213CA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-220QA1150,1,1,1,1,MA-100-220QA-QB1240,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-220QA1240,1,1,1,1,MA-100-220QA-QB1240,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-220QB1150,1,1,1,1,MA-100-220QA-QB1240,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-220QB1240,1,1,1,1,MA-100-220QA-QB1240,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-220TA0700,1,1,1,1,MA-100-220TA0700,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-220TB0700,1,1,1,1,MA-100-220TA0700,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-226,1,1,1,1,MA-100-226,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-226BA,1,1,1,1,MA-100-226,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-226BB,1,1,1,1,MA-100-226,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-226DA,1,1,1,1,MA-100-226DA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-228CA1333,1,1,1,1,MA-100-228CA1333,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-229,1,1,1,1,MA-100-229,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-229CA,1,1,1,1,MA-100-229CA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-236AB,1,1,1,1,MA-100-236AB,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-241EA,1,1,1,1,MA-100-241EA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-241JA,1,1,1,1,MA-100-241JA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-249,1,1,1,1,MA-100-249,,,,1,1,25.0,PC,1.0,PC,0,1,,,,,1,,,,
100-261CA1333,1,1,1,1,MA-100-261CA1333,,,,1,1,3.0,PC,1.0,PC,0,1,,,,,1,,,,
100-271LA,1,1,1,1,MA-100-271LA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-272,1,1,1,1,MA-100-272,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-272DA,1,1,1,1,MA-100-272DA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-276B,1,1,1,1,MA-100-276B,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-303AA071288N,1,1,1,1,MA-100-303AA071288N,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-303AA080288N,1,1,1,1,MA-100-303AA080288N,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-303AA0803810N,1,1,1,1,MA-100-303AA0803810N,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-303AA090288N,1,1,1,1,MA-100-303AA090288N,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-303AA0903810N,1,1,1,1,MA-100-303AA0903810N,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-303AA100288N,1,1,1,1,MA-100-303AA100288N,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-303AA1003810N,1,1,1,1,MA-100-303AA1003810N,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-303AA112288N,1,1,1,1,MA-100-303AA112288N,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-303AA1253810N,1,1,1,1,MA-100-303AA1253810N,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-303AA1403810N,1,1,1,1,MA-100-303AA1403810N,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-304-200,1,1,1,1,MA-100-304-200,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-304-230,1,1,1,1,MA-100-304-230,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-304-240,1,1,1,1,MA-100-304-240,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-304-270,1,1,1,1,MA-100-304-270,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-304-280,1,1,1,1,MA-100-304-280,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-306,1,1,1,1,MA-100-306,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
