完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
3652-501AA30,1,1,LA-171-501BB30-DF,1,1,L1-171-501BB30,1,1,MA-171-501BB30,0,0,,0,0,,0,0,
3656-501AA30,1,1,LA-171-501BB30-DF,1,1,L1-171-501BB30,1,1,MA-171-501BB30,0,0,,0,0,,0,0,
3660-501AA30,1,1,LA-171-501BB30-DF,1,1,L1-171-501BB30,1,1,MA-171-501BB30,0,0,,0,0,,0,0,
4408-501AA30,1,1,LA-171-501BB30-DF,1,1,L1-171-501BB30,1,1,MA-171-501BB30,0,0,,0,0,,0,0,
3636-501AB34,1,1,LA-171-501BB34-DF,1,1,L1-171-501BB34,1,1,MA-171-501BB34,0,0,,0,0,,0,0,
3638-501AA34,1,1,LA-171-501BB34-DF,1,1,L1-171-501BB34,1,1,MA-171-501BB34,0,0,,0,0,,0,0,
3650-501AA34,1,1,LA-171-501BB34-DF,1,1,L1-171-501BB34,1,1,MA-171-501BB34,0,0,,0,0,,0,0,
3652-501AA34,1,1,LA-171-501BB34-DF,1,1,L1-171-501BB34,1,1,MA-171-501BB34,0,0,,0,0,,0,0,
4408-501AA34,1,1,LA-171-501BB34-DF,1,1,L1-171-501BB34,1,1,MA-171-501BB34,0,0,,0,0,,0,0,
TS-4926AA,1,1,LA-171-501BB34-DF,1,1,L1-171-501BB34,1,1,MA-171-501BB34,0,0,,0,0,,0,0,
3242-501AA30,1,1,LA-171-501DA3026-DF,1,1,L1-171-501DA3026,1,1,MA-171-501DA3026,0,0,,0,0,,0,0,
3662-501AA34,1,1,LA-171-501GA34-DF,1,1,L1-171-501GA34,1,1,MA-171-501GA34,0,0,,0,0,,0,0,
1731-401BA14,1,1,LA-1731-401BA14-D,1,1,L1-1731-401BA14,1,1,MA-1731-401BA14,0,0,,0,0,,0,0,
1731-401BA18,1,1,LA-1731-401BA18-D,1,1,L1-1731-401BA18,1,1,MA-1731-401BA18,0,0,,0,0,,0,0,
1731-401BA24,1,1,LA-1731-401BA24-D,1,1,L1-1731-401BA24,1,1,MA-1731-401BA24,0,0,,0,0,,0,0,
1731-406BA10,1,1,LA-1731-406BA10-MC,1,1,L1-1731-406BA10,1,1,MA-1731-406BA10,0,0,,0,0,,0,0,
1731-406BA12,1,1,LA-1731-406BA12-MC,1,1,L1-1731-406BA12,1,1,MA-1731-406BA12,0,0,,0,0,,0,0,
1731-406BA13,1,1,LA-1731-406BA13-MC,1,1,L1-1731-406BA13,1,1,MA-1731-406BA13,0,0,,0,0,,0,0,
1731-406BA14,1,1,LA-1731-406BA14-MC,1,1,L1-1731-406BA14,1,1,MA-1731-406BA14,0,0,,0,0,,0,0,
1731-406BA15,1,1,LA-1731-406BA15-MC,1,1,L1-1731-406BA15,1,1,MA-1731-406BA15,0,0,,0,0,,0,0,
1731-406BA16,1,1,LA-1731-406BA16-MC,1,1,L1-1731-406BA16,1,1,MA-1731-406BA16,0,0,,0,0,,0,0,
1731-406BA17,1,1,LA-1731-406BA17-MC,1,1,L1-1731-406BA17,1,1,MA-1731-406BA17,0,0,,0,0,,0,0,
1731-406BA18,1,1,LA-1731-406BA18-MC,1,1,L1-1731-406BA18,1,1,MA-1731-406BA18,0,0,,0,0,,0,0,
1731-406BA19,1,1,LA-1731-406BA19-MC,1,1,L1-1731-406BA19,1,1,MA-1731-406BA19,0,0,,0,0,,0,0,
1731-406BA20,1,1,LA-1731-406BA20-MC,1,1,L1-1731-406BA20,1,1,MA-1731-406BA20,0,0,,0,0,,0,0,
1731-406BA21,1,1,LA-1731-406BA21-MC,1,1,L1-1731-406BA21,1,1,MA-1731-406BA21,0,0,,0,0,,0,0,
1731-406BA24,1,1,LA-1731-406BA24-MC,1,1,L1-1731-406BA24,1,1,MA-1731-406BA24,0,0,,0,0,,0,0,
1731-417BA24,1,3,MA-1731-417BA24-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,
1731-418AA24,1,4,MA-1731-418AA24-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,
1751-401BB17,1,1,LA-1751-401BB17-D,1,1,L1-1751-401BB17,1,1,MA-1751-401BB17,0,0,,0,0,,0,0,
1751-401BB24,1,1,LA-1751-401BB24-D,1,1,L1-1751-401BB24,1,1,MA-1751-401BB24,0,0,,0,0,,0,0,
1751-402BA12,1,1,MC-1751-402BA12,1,1,L1-1751-402BA12,1,1,MA-1751-402BA12,0,0,,0,0,,0,0,
