完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
740-410A3602402712,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
740-410A3602402736,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
740-410A3602602928,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
740-410A3602602976,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
740-410A3602803168,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
740-410A3602803240,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
740-410A3603003456,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
740-410A3603203672,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
740-410EA13SKA112,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
740-410EA360,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
740-410MA3601401584,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
970-410CA3602402712,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
970-410CA3602402736,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
740-410A3802002388,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410A3802002424,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410A3802402868,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410A3802402880,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410A3802803312,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410A3802803336,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410A3802803348,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410EA380,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410FA3801401704,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410FA3801401788,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410GA3804605544,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410KA3801401704,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410KA3802202664,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410KA3802402880,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410KA3802803312,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410MA3801401704,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410KA380,1,4,LC-970-41038-S,1,1,MA-970-41038-S,0,0,,0,0,,0,0,,0,0,
740-410A4002002520,1,4,LC-970-41040-S,1,1,MA-970-41040-S,0,0,,0,0,,0,0,,0,0,
740-410A4002403024,1,4,LC-970-41040-S,1,1,MA-970-41040-S,0,0,,0,0,,0,0,,0,0,
740-410A4002803528,1,4,LC-970-41040-S,1,1,MA-970-41040-S,0,0,,0,0,,0,0,,0,0,
740-410A4003003768,1,4,LC-970-41040-S,1,1,MA-970-41040-S,0,0,,0,0,,0,0,,0,0,
740-410EA400,1,4,LC-970-41040-S,1,1,MA-970-41040-S,0,0,,0,0,,0,0,,0,0,
740-410KA4001401764,1,4,LC-970-41040-S,1,1,MA-970-41040-S,0,0,,0,0,,0,0,,0,0,
740-410KA4002403024,1,4,LC-970-41040-S,1,1,MA-970-41040-S,0,0,,0,0,,0,0,,0,0,
740-410KA4002803528,1,4,LC-970-41040-S,1,1,MA-970-41040-S,0,0,,0,0,,0,0,,0,0,
740-410MA4001401764,1,4,LC-970-41040-S,1,1,MA-970-41040-S,0,0,,0,0,,0,0,,0,0,
970-410CA4002202808,1,4,LC-970-41040-S,1,1,MA-970-41040-S,0,0,,0,0,,0,0,,0,0,
970-410CA4002603384,1,4,LC-970-41040-S,1,1,MA-970-41040-S,0,0,,0,0,,0,0,,0,0,
740-410A4202002640,1,4,LC-970-41042-S,1,1,MA-970-41042-S,0,0,,0,0,,0,0,,0,0,
740-410A4202202904,1,4,LC-970-41042-S,1,1,MA-970-41042-S,0,0,,0,0,,0,0,,0,0,
740-410A4202603456,1,4,LC-970-41042-S,1,1,MA-970-41042-S,0,0,,0,0,,0,0,,0,0,
740-410A4202803672,1,4,LC-970-41042-S,1,1,MA-970-41042-S,0,0,,0,0,,0,0,,0,0,
3139-608AC30,1,1,L1-631-60830,1,3,MA-973-608AA30-DRUM,0,0,,0,0,,0,0,,0,0,
3139-608AB34,1,1,L1-631-60834,1,3,MA-973-608AA34-DRUM,0,0,,0,0,,0,0,,0,0,
6104-606AD38,1,1,MA-RH-0031A-05C,0,0,,0,0,,0,0,,0,0,,0,0,
6104-602DC38,1,1,MA-RH-0031A-05H,0,0,,0,0,,0,0,,0,0,,0,0,
6105-606AD36,1,1,MA-RH-0031A-05C,0,0,,0,0,,0,0,,0,0,,0,0,
6105-606AD38,1,1,MA-RH-0031A-05C,0,0,,0,0,,0,0,,0,0,,0,0,
6105-606AD42,1,1,MA-RH-0031A-05C,0,0,,0,0,,0,0,,0,0,,0,0,
6214-606AA34,1,1,MA-RH-0031A-05C,0,0,,0,0,,0,0,,0,0,,0,0,
6104-606AD34,1,1,MA-RH-0031A-05C,0,0,,0,0,,0,0,,0,0,,0,0,
6210-602PD34,1,1,MA-RH-0031A-05H,0,0,,0,0,,0,0,,0,0,,0,0,
5157-602AA34,1,1,MA-RH-0031K-06B,0,0,,0,0,,0,0,,0,0,,0,0,
5157-602BA34,1,1,MA-RH-0031A-05C,0,0,,0,0,,0,0,,0,0,,0,0,
5157-602EA30,1,1,MA-RH-0031A-05D,0,0,,0,0,,0,0,,0,0,,0,0,
3153-502JB30,33,1,MA-RH-0175KD-21AA,0,0,,0,0,,0,0,,0,0,,0,0,
3153-502JB34,37,1,MA-RH-0175KD-21AA,0,0,,0,0,,0,0,,0,0,,0,0,
3153-502EB30,33,1,MA-RH-0175KD-21AA,0,0,,0,0,,0,0,,0,0,,0,0,
603-601EA26,15,1,MC-603-601-BLOCK,1,1,MA-603-601-BLOCK,0,0,,0,0,,0,0,,0,0,
3153-601EB30,17,1,MC-603-601-BLOCK,1,1,MA-603-601-BLOCK,0,0,,0,0,,0,0,,0,0,
3151-601EA26,14,1,MC-603-601-BLOCK,1,1,MA-603-601-BLOCK,0,0,,0,0,,0,0,,0,0,
3153-502JB26,29,1,MA-RH-0175KD-21AA,0,0,,0,0,,0,0,,0,0,,0,0,
3153-502JB32,36,1,MA-RH-0175KD-21AA,0,0,,0,0,,0,0,,0,0,,0,0,
3153-601EB26,1,1,PL-3153-601EB26,15,1,MC-603-601-BLOCK,1,1,MA-603-601-BLOCK,0,0,,0,0,,0,0,
3153-601EB32,19,1,MC-603-601-BLOCK,1,1,MA-603-601-BLOCK,0,0,,0,0,,0,0,,0,0,
860-450BB,1,1,MA-860-450BB,0,0,,0,0,,0,0,,0,0,,0,0,
3153-601EB28,16,1,MC-603-601-BLOCK,1,1,MA-603-601-BLOCK,0,0,,0,0,,0,0,,0,0,
478-409BA330,1,1,L1-478-409BA33-S,1,1,MA-478-409BA33-S,0,0,,0,0,,0,0,,0,0,
3153-601FA28,1,1,PL-3153-601FA28,16,1,MC-603-601-BLOCK,1,1,MA-603-601-BLOCK,0,0,,0,0,,0,0,
5157-502AA34,1,1,PL-5157-502AA34,1,1,L1-474-502AA34,1,1,MA-474-502AA34,0,0,,0,0,,0,0,
631-607CA,1,1,PA-631-607CA,1,1,MA-631-607CA,0,0,,0,0,,0,0,,0,0,
3153-601EB34,1,1,PL-3153-601EB34,19,1,MC-603-601-BLOCK,1,1,MA-603-601-BLOCK,0,0,,0,0,,0,0,
740-409B0761800408,1,1,L1-740-4097.6-S,1,5,MA-740-4097.6-S,0,0,,0,0,,0,0,,0,0,
740-409B0762200528,1,1,L1-740-4097.6-S,1,5,MA-740-4097.6-S,0,0,,0,0,,0,0,,0,0,
478-409AA330,1,1,L1-79-409B33-S,1,1,MA-79-409B33-S,,,,,,,,,,,,
478-409AA380,1,1,L1-79-409B38-S,1,1,MA-79-409B38-S,,,,,,,,,,,,
274-405BA300,1,1,L1-335-405AA30-S,1,1,MA-335-405AA30-S,0,0,,0,0,,0,0,,0,0,
274-405BA340,1,1,L1-335-405AA34-S,1,1,MA-335-405AA34-S,0,0,,0,0,,0,0,,0,0,
5121-409AA420,1,1,L1-339-409AA42-S,1,1,MA-339-409AA42-S,0,0,,0,0,,0,0,,0,0,
5121-405AA420,1,1,L1-5121-405AA42-S,1,1,MA-5121-405AA42-S,0,0,,0,0,,0,0,,0,0,
3504-409AA260,1,1,3504-409AA26-SR,1,1,L1-3504-409AA26-S,1,1,MA-3504-409AA26-S,0,0,,0,0,,0,0,
3504-409AA300,1,1,3504-409AA30-SR,1,1,L1-3504-409AA30-S,1,1,MA-3504-409AA30-S,0,0,,0,0,,0,0,
3504-409AA340,1,1,3504-409AA34-SR,1,1,L1-3504-409AA34-S,1,1,MA-3504-409AA34-S,0,0,,0,0,,0,0,
105-405AA420,1,1,L1-105-405AA42,1,1,MA-105-405AA42,0,0,,0,0,,0,0,,0,0,
105-405AA480,1,1,L1-105-405AA48,1,1,MA-105-405AA48,0,0,,0,0,,0,0,,0,0,
105-409BA420,1,3,LC-105-409AA42-S,1,1,MA-105-409AA42-S,0,0,,0,0,,0,0,,0,0,
105-409BA480,1,3,LC-105-409AA48-S,1,1,MA-105-409AA48-S,0,0,,0,0,,0,0,,0,0,
105-410DA420,1,3,LC-105-410AA42-S,1,1,MA-105-410AA42-S,0,0,,0,0,,0,0,,0,0,
105-410DA480,1,3,LC-105-410AA48-S,1,1,MA-105-410AA48-S,0,0,,0,0,,0,0,,0,0,
5208-409AB340,1,1,L1-220-40934-S,1,1,MA-220-40934-S,0,0,,0,0,,0,0,,0,0,
478-409JA440,1,1,L1-329-409AA44-S,1,1,MA-329-409AA44-S,0,0,,0,0,,0,0,,0,0,
478-409EA300,1,1,L1-478-409BA30-S,1,1,MA-478-409BA30-S,0,0,,0,0,,0,0,,0,0,
5163-405AA330,1,1,L1-5163-40533-S,1,1,MA-5163-40533-S,0,0,,0,0,,0,0,,0,0,
6211-409AA380,1,1,L1-5516-409AA38-S,1,1,MA-5516-409AA38-S,0,0,,0,0,,0,0,,0,0,
201-405BA170,1,1,L1-57-40517-S,1,1,MA-57-40517-S,0,0,,0,0,,0,0,,0,0,
251-409BA170,1,1,L1-59-40917-S,1,1,MA-59-40917-S,0,0,,0,0,,0,0,,0,0,
740-409HA230,1,1,L1-740-40923-S,1,5,MA-740-40923-S,0,0,,0,0,,0,0,,0,0,
740-409HA240,1,1,L1-740-40924-S,1,5,MA-740-40924-S,0,0,,0,0,,0,0,,0,0,
740-409HA260,1,1,L1-740-40926-S,1,5,MA-740-40926-S,0,0,,0,0,,0,0,,0,0,
740-409HA280,1,1,L1-740-40928-S,1,5,MA-740-40928-S,0,0,,0,0,,0,0,,0,0,
740-409CA300,1,1,L1-740-40930-S,1,5,MA-740-40930-S,0,0,,0,0,,0,0,,0,0,
740-409DA300,1,1,L1-740-40930-S,1,5,MA-740-40930-S,0,0,,0,0,,0,0,,0,0,
740-409HA320,1,1,L1-740-40932-S,1,5,MA-740-40932-S,0,0,,0,0,,0,0,,0,0,
740-409HA340,1,1,L1-740-40934-S,1,5,MA-740-40934-S,0,0,,0,0,,0,0,,0,0,
740-409FA360,1,1,L1-740-40936-S,1,5,MA-740-40936-S,0,0,,0,0,,0,0,,0,0,
740-409HA360,1,1,L1-740-40936-S,1,5,MA-740-40936-S,0,0,,0,0,,0,0,,0,0,
740-409HA380,1,1,L1-740-40938-S,1,5,MA-740-40938-S,0,0,,0,0,,0,0,,0,0,
740-409HA400,1,1,L1-740-40940-S,1,5,MA-740-40940-S,0,0,,0,0,,0,0,,0,0,
740-409FA420,1,4,LC-740-40942-S,1,1,MA-740-40942-S,0,0,,0,0,,0,0,,0,0,
740-409HA076,1,1,L1-740-4097.6-S,1,5,MA-740-4097.6-S,0,0,,0,0,,0,0,,0,0,
5208-405AC340,1,1,L1-78-40534-S,1,1,MA-78-40534-S,0,0,,0,0,,0,0,,0,0,
279-409BA380,1,1,L1-79-409B38-S,1,1,MA-79-409B38-S,0,0,,0,0,,0,0,,0,0,
817-410AA300,1,4,LC-810-410CA30-S,1,1,MA-810-410CA30-S,0,0,,0,0,,0,0,,0,0,
816-405CA300,1,1,L1-816-405CA30-S,1,1,MA-816-405CA30-S,0,0,,0,0,,0,0,,0,0,
816-405LA300,1,1,L1-816-405CA30-S,1,1,MA-816-405CA30-S,0,0,,0,0,,0,0,,0,0,
970-405FA340,1,1,L1-87-405EA34,1,1,MA-87-40534,0,0,,0,0,,0,0,,0,0,
740-410EA190,1,4,LC-970-41019-S,1,1,MA-970-41019-S,0,0,,0,0,,0,0,,0,0,
740-410EA230,1,4,LC-970-41023,1,1,MA-970-41023-S,0,0,,0,0,,0,0,,0,0,
740-410EA240,1,4,LC-970-41024-S,1,1,MA-970-41024-S,0,0,,0,0,,0,0,,0,0,
740-410GA300,1,4,LC-970-41030-S,1,1,MA-970-41030-S,0,0,,0,0,,0,0,,0,0,
740-410HA300,1,4,LC-970-41030-S,1,1,MA-970-41030-S,0,0,,0,0,,0,0,,0,0,
970-410CA320,1,4,LC-970-41032-S,1,1,MA-970-41032-S,0,0,,0,0,,0,0,,0,0,
740-410FA340,1,4,LC-970-41034-S,1,1,MA-970-41034-S,0,0,,0,0,,0,0,,0,0,
970-410CA340,1,1,LC-970-41034-S,1,1,MA-970-41034-S,0,0,,0,0,,0,0,,0,0,
740-410KA360,1,4,LC-970-41036-S,1,1,MA-970-41036-S,0,0,,0,0,,0,0,,0,0,
740-410EA420,1,4,LC-970-41042-S,1,1,MA-970-41042-S,0,0,,0,0,,0,0,,0,0,
740-410KA420,1,4,LC-970-41042-S,1,1,MA-970-41042-S,0,0,,0,0,,0,0,,0,0,
78-405GA440,1,1,L1-328-405AA44-S,1,1,MA-328-405AA44-S,0,0,,0,0,,0,0,,0,0,
41-405C210,1,1,L1-57-40521-S,1,1,MA-57-40521-S,0,0,,0,0,,0,0,,0,0,
57-405B220,1,1,L1-57-40522-S,1,1,MA-57-40522-S,0,0,,0,0,,0,0,,0,0,
57-405B260,1,1,L1-57-40526-S,1,1,MA-57-40526-S,0,0,,0,0,,0,0,,0,0,
41-405H300,1,1,L1-57-40531-S,1,1,MA-57-40531-S,0,0,,0,0,,0,0,,0,0,
57-405B330,1,1,L1-57-40533-S,1,1,MA-57-40533-S,0,0,,0,0,,0,0,,0,0,
41-405H360,1,1,L1-57-40536-S,1,1,MA-57-40536-S,0,0,,0,0,,0,0,,0,0,
57-409FA360,1,1,L1-57-40936-S,1,1,MA-57-40936-S,0,0,,0,0,,0,0,,0,0,
73-409D360,1,1,L1-57-40936-S,1,1,MA-57-40936-S,0,0,,0,0,,0,0,,0,0,
57-409D210,1,1,L1-59-40921-S,1,1,MA-59-40921-S,0,0,,0,0,,0,0,,0,0,
59-409DA220,1,1,L1-59-40922-S,1,1,MA-59-40922-S,0,0,,0,0,,0,0,,0,0,
73-409D300,1,1,L1-73-40930-S,1,1,MA-73-40930-S,0,0,,0,0,,0,0,,0,0,
78-405EA300,1,1,L1-78-40531-S,1,1,MA-78-40531-S,0,0,,0,0,,0,0,,0,0,
81-405EA190,1,1,L1-81-405EA19,1,1,MA-81-40519,0,0,,0,0,,0,0,,0,0,
81-405EA240,1,1,L1-81-405EA24,1,1,MA-81-40524,0,0,,0,0,,0,0,,0,0,
87-405GA360,1,1,L1-87-405EA36,1,1,MA-87-40536,0,0,,0,0,,0,0,,0,0,
87-405JA420,1,1,L1-87-405JA42,1,1,MA-87-40542,0,0,,0,0,,0,0,,0,0,
100-501AB30,1,1,LA-100-501AB30-DF,1,1,L1-100-501AB30,1,1,MA-100-501AB30,0,0,,0,0,,0,0,
101-440BB38,1,1,MC-101-440BB38,1,1,L1-101-440BB38,1,1,MA-101-440BB38,0,0,,0,0,,0,0,
101-440DA38,1,1,MC-101-440DA38,1,1,L1-101-440DA38,1,1,MA-101-440DA38,0,0,,0,0,,0,0,
101-440EA38,1,1,MC-101-440EA38,1,1,L1-101-440EA38,1,1,MA-101-440EA38,0,0,,0,0,,0,0,
1035-417AA26,1,3,MA-1035-417AA26-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,
1035-418AA26,1,4,MA-1035-418AA26-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,
105-406EA44,1,1,L2-105-406EA44,1,1,L1-105-406EA44,0,0,,0,0,,0,0,,0,0,
105-417AA48,1,1,L2-105-417AA48,1,1,L1-105-417AA48,1,1,MA-105-417AA48,0,0,,0,0,,0,0,
105-418AA48,1,1,L2-105-418AA48,1,1,L1-105-418AA48,1,1,MA-105-418AA48,0,0,,0,0,,0,0,
105-501ZEA48,1,1,L2-105-501ZEA48,1,1,L1-105-501ZEA48,1,1,MA-105-501ZEA48,0,0,,0,0,,0,0,
121-401BA48,1,1,L2-121-401BA48,1,1,L1-121-401BA48,1,1,MA-121-401BA48,0,0,,0,0,,0,0,
121-401CA48,1,1,L2-121-401BA48,1,1,L1-121-401BA48,1,1,MA-121-401BA48,0,0,,0,0,,0,0,
1531-501EA26,1,1,LA-1531-501AA26-DF,1,1,L1-1531-501AA26,1,1,MA-1531-501AA26,0,0,,0,0,,0,0,
1531-501DA30,1,1,LA-1531-501AA30-DF,1,1,L1-1531-501AA30,1,1,MA-1531-501AA30,0,0,,0,0,,0,0,
1531-501EA30,1,1,LA-1531-501AA30-DF,1,1,L1-1531-501AA30,1,1,MA-1531-501AA30,0,0,,0,0,,0,0,
815-501BA30,1,1,LA-1531-501CA30-DF,1,1,L1-1531-501CA30,1,1,MA-1531-501CA30,0,0,,0,0,,0,0,
819-501CA30,1,1,LA-1531-501CA30-DF,1,1,L1-1531-501CA30,1,1,MA-1531-501CA30,0,0,,0,0,,0,0,
975-501CA30,1,1,LA-1531-501CA30-DF,1,1,L1-1531-501CA30,1,1,MA-1531-501CA30,0,0,,0,0,,0,0,
815-501BA34,1,1,LA-1531-501CA34-DF,1,1,L1-1531-501CA34,1,1,MA-1531-501CA34,0,0,,0,0,,0,0,
975-501CA34,1,1,LA-1531-501CA34-DF,1,1,L1-1531-501CA34,1,1,MA-1531-501CA34,0,0,,0,0,,0,0,
1531-501ZKA28,1,1,LA-1531-501ZKA30-DF,1,1,L1-1531-501ZKA30,1,1,MA-1531-501ZKA30,0,0,,0,0,,0,0,
1531-501ZKA30,1,1,LA-1531-501ZKA30-DF,1,1,L1-1531-501ZKA30,1,1,MA-1531-501ZKA30,0,0,,0,0,,0,0,
1531-501ZKA32,1,1,LA-1531-501ZKA30-DF,1,1,L1-1531-501ZKA30,1,1,MA-1531-501ZKA30,0,0,,0,0,,0,0,
1531-501ZMA30,1,1,LA-1531-501ZKA30-DF,1,1,L1-1531-501ZKA30,1,1,MA-1531-501ZKA30,0,0,,0,0,,0,0,
1531-501ZNA30,1,1,LA-1531-501ZKA30-DF,1,1,L1-1531-501ZKA30,1,1,MA-1531-501ZKA30,0,0,,0,0,,0,0,
1531-501ZPA30,1,1,LA-1531-501ZKA30-DF,1,1,L1-1531-501ZKA30,1,1,MA-1531-501ZKA30,0,0,,0,0,,0,0,
1531-501ZQA28,1,1,LA-1531-501ZKA30-DF,1,1,L1-1531-501ZKA30,1,1,MA-1531-501ZKA30,0,0,,0,0,,0,0,
1531-501ZQA30,1,1,LA-1531-501ZKA30-DF,1,1,L1-1531-501ZKA30,1,1,MA-1531-501ZKA30,0,0,,0,0,,0,0,
3124-501ZLA30,1,1,LA-1531-501ZKA30-DF,1,1,L1-1531-501ZKA30,1,1,MA-1531-501ZKA30,0,0,,0,0,,0,0,
3124-501ZLA32,1,1,LA-1531-501ZKA30-DF,1,1,L1-1531-501ZKA30,1,1,MA-1531-501ZKA30,0,0,,0,0,,0,0,
161-402CA30,1,1,MC-161-402CA30,1,1,L1-161-402CA30,1,1,MA-161-402CA30,0,0,,0,0,,0,0,
161-402CA38,1,1,MC-161-402CA38,1,1,L1-161-402CA38,1,1,MA-161-402CA38,0,0,,0,0,,0,0,
6207-406AA3138,1,1,LA-161-406QE3138-D,1,1,L1-161-406QE3138,1,1,MA-161-406QE3138,0,0,,0,0,,0,0,
211-501AA30,1,1,LA-161-501AA30-DF,1,1,L1-161-501AA30,1,1,MA-161-501AA30,0,0,,0,0,,0,0,
479-501AB30,1,1,LA-161-501AA30-DF,1,1,L1-161-501AA30,1,1,MA-161-501AA30,0,0,,0,0,,0,0,
5128-501AA30,1,1,LA-161-501AA30-DF,1,1,L1-161-501AA30,1,1,MA-161-501AA30,0,0,,0,0,,0,0,
5154-501AA30,1,1,LA-161-501AA30-DF,1,1,L1-161-501AA30,1,1,MA-161-501AA30,0,0,,0,0,,0,0,
5165-501AA30,1,1,LA-161-501AA30-DF,1,1,L1-161-501AA30,1,1,MA-161-501AA30,0,0,,0,0,,0,0,
474-501AA3038,1,1,LA-161-501AA3038-DF,1,1,L1-161-501AA3038,1,1,MA-161-501AA3038,0,0,,0,0,,0,0,
5213-501AA30,1,1,LA-161-501AA3038-DF,1,1,L1-161-501AA3038,1,1,MA-161-501AA3038,0,0,,0,0,,0,0,
211-501AA33,1,1,LA-161-501AA33-DF,1,1,L1-161-501AA33,1,1,MA-161-501AA33,0,0,,0,0,,0,0,
474-501AB33,1,1,LA-161-501AA33-DF,1,1,L1-161-501AA33,1,1,MA-161-501AA33,0,0,,0,0,,0,0,
479-501AB33,1,1,LA-161-501AA33-DF,1,1,L1-161-501AA33,1,1,MA-161-501AA33,0,0,,0,0,,0,0,
5128-501AA33,1,1,LA-161-501AA33-DF,1,1,L1-161-501AA33,1,1,MA-161-501AA33,0,0,,0,0,,0,0,
5144-501AA33,1,1,LA-161-501AA33-DF,1,1,L1-161-501AA33,1,1,MA-161-501AA33,0,0,,0,0,,0,0,
5154-501AA33,1,1,LA-161-501AA33-DF,1,1,L1-161-501AA33,1,1,MA-161-501AA33,0,0,,0,0,,0,0,
5202-501AA33,1,1,LA-161-501AA33-DF,1,1,L1-161-501AA33,1,1,MA-161-501AA33,0,0,,0,0,,0,0,
A226-501AA33,1,1,LA-161-501AA33-DF,1,1,L1-161-501AA33,1,1,MA-161-501AA33,0,0,,0,0,,0,0,
474-501AB34,1,1,LA-161-501QA34-DF,1,1,L1-161-501QA34,1,1,MA-161-501AA34,0,0,,0,0,,0,0,
479-501AB34,1,1,LA-161-501QA34-DF,1,1,L1-161-501QA34,1,1,MA-161-501AA34,0,0,,0,0,,0,0,
5154-501AA34,1,1,LA-161-501AA34-DF,1,1,L1-161-501AA34,1,1,MA-161-501AA34,0,0,,0,0,,0,0,
5208-501AA34,1,1,LA-161-501AA34-DF,1,1,L1-161-501AA34,1,1,MA-161-501AA34,0,0,,0,0,,0,0,
5211-501AA34,1,1,LA-161-501AA34-DF,1,1,L1-161-501AA34,1,1,MA-161-501AA34,0,0,,0,0,,0,0,
5212-501AA34,1,1,LA-161-501AA34-DF,1,1,L1-161-501AA34,1,1,MA-161-501AA34,0,0,,0,0,,0,0,
211-501AA36,1,1,LA-161-501AA36-DF,1,1,L1-161-501AA36,1,1,MA-161-501AA36,0,0,,0,0,,0,0,
474-501AB36,1,1,LA-161-501AA36-DF,1,1,L1-161-501AA36,1,1,MA-161-501AA36,0,0,,0,0,,0,0,
5202-501AA36,1,1,LA-161-501AA36-DF,1,1,L1-161-501AA36,1,1,MA-161-501AA36,0,0,,0,0,,0,0,
5211-501AA36,1,1,LA-161-501AA36-DF,1,1,L1-161-501AA36,1,1,MA-161-501AA36,0,0,,0,0,,0,0,
5212-501AA36,1,1,LA-161-501AA36-DF,1,1,L1-161-501AA36,1,1,MA-161-501AA36,0,0,,0,0,,0,0,
5213-501AA36,1,1,LA-161-501AA36-DF,1,1,L1-161-501AA36,1,1,MA-161-501AA36,0,0,,0,0,,0,0,
A226-501AA36,1,1,LA-161-501AA36-DF,1,1,L1-161-501AA36,1,1,MA-161-501AA36,0,0,,0,0,,0,0,
211-501AA38,1,1,LA-161-501AA38-DF,1,1,L1-161-501AA38,1,1,MA-161-501AA38,0,0,,0,0,,0,0,
5128-501AA38,1,1,LA-161-501AA38-DF,1,1,L1-161-501AA38,1,1,MA-161-501AA38,0,0,,0,0,,0,0,
5144-501AA38,1,1,LA-161-501AA38-DF,1,1,L1-161-501AA38,1,1,MA-161-501AA38,0,0,,0,0,,0,0,
5142-501BA40,1,1,LA-161-501AA40-DF,1,1,L1-161-501AA40,1,1,MA-161-501AA40,0,0,,0,0,,0,0,
474-501AA42,1,1,LA-161-501AA42-DF,1,1,L1-161-501AA42,1,1,MA-161-501AA42,0,0,,0,0,,0,0,
5142-501BA42,1,1,LA-161-501AA42-DF,1,1,L1-161-501AA42,1,1,MA-161-501AA42,0,0,,0,0,,0,0,
5121-501AA30,1,1,LA-161-501CA30-DF,1,1,L1-161-501CA30,1,1,MA-161-501CA30,0,0,,0,0,,0,0,
5121-501AA34,1,1,LA-161-501CA34-DF,1,1,L1-161-501CA34,1,1,MA-161-501CA34,0,0,,0,0,,0,0,
5131-501AA34,1,1,LA-161-501CA34-DF,1,1,L1-161-501CA34,1,1,MA-161-501CA34,0,0,,0,0,,0,0,
5121-501AA36,1,1,LA-161-501CA36-DF,1,1,L1-161-501CA36,1,1,MA-161-501CA36,0,0,,0,0,,0,0,
5131-501AA36,1,1,LA-161-501CA36-DF,1,1,L1-161-501CA36,1,1,MA-161-501CA36,0,0,,0,0,,0,0,
5121-501AA38,1,1,LA-161-501CA38-DF,1,1,L1-161-501CA38,1,1,MA-161-501CA38,0,0,,0,0,,0,0,
5131-501AA38,1,1,LA-161-501CA38-DF,1,1,L1-161-501CA38,1,1,MA-161-501CA38,0,0,,0,0,,0,0,
5121-501AA40,1,1,LA-161-501CA40-DF,1,1,L1-161-501CA40,1,1,MA-161-501CA40,0,0,,0,0,,0,0,
5121-501AA42,1,1,LA-161-501CA42-DF,1,1,L1-161-501CA42,1,1,MA-161-501CA42,0,0,,0,0,,0,0,
5126-501AA26,1,1,LA-161-501DA26-DF,1,1,L1-161-501DA26,1,1,MA-161-501DA26,0,0,,0,0,,0,0,
5131-501AA30,1,1,LA-161-501FA30-DF,1,1,L1-161-501FA30,1,1,MA-161-501FA30,0,0,,0,0,,0,0,
5142-501NA34,1,1,LA-161-501HA34-DF,1,1,L1-161-501HA34,1,1,MA-161-501HA34,0,0,,0,0,,0,0,
5142-501NA36,1,1,LA-161-501HA36-DF,1,1,L1-161-501HA36,1,1,MA-161-501HA36,0,0,,0,0,,0,0,
5142-501NA38,1,1,LA-161-501HA38-DF,1,1,L1-161-501HA38,1,1,MA-161-501HA38,0,0,,0,0,,0,0,
