No,完成部番,単位数分子,単位数分母,前工程
6,MA-3501-62041AA34,1.0,1.0,SKD5E2522
5,MA-3501-62041AA36,25.0,1000.0,SKD11022055
6,MA-3501-62041AA36,1.0,1.0,SKD5E2225
5,MA-3501-62041AA38,28.0,1000.0,SKD11025055
6,MA-3501-62041AA38,1.0,1.0,SKD5E2522
5,MA-3501-62041AB26,28.0,1000.0,SKD11025055
6,MA-3501-62041AB26,1.0,1.0,SKD5E2522
5,MA-3501-62041AB30,28.0,1000.0,SKD11025055
6,MA-3501-62041AB30,1.0,1.0,SKD5E2522
5,MA-3501-62041AB34,28.0,1000.0,SKD11025055
6,MA-3501-62041AB34,1.0,1.0,SKD5E2522
5,MA-3501-62041AB36,28.0,1000.0,SKD11025055
6,MA-3501-62041AB36,1.0,1.0,SKD5E2522
5,MA-3501-62041AB38,28.0,1000.0,SKD11025055
6,MA-3501-62041AB38,1.0,1.0,SKD5E2522
5,MA-3504-514BB26,91.0,1000.0,SKD11027067
6,MA-3504-514BB26,1.0,1.0,SKD6G2761
5,MA-3504-611AA30,131.0,1000.0,SKD11040065
6,MA-3504-611AA30,1.0,1.0,SKD6E4061
5,MA-3504-621AA30,105.0,1000.0,SKD11025067
6,MA-3504-621AA30,1.0,1.0,SKD6G2576
5,MA-3504-621AB36,105.0,1000.0,SKD11025067
6,MA-3504-621AB36,1.0,1.0,SKD6G2576
5,MA-352B-505AA36,44.0,1000.0,SKD11012050
6,MA-352B-505AA36,1.0,1.0,SKD5Z1275
5,MA-352B-505BA36,30.0,1000.0,SKD11022050
6,MA-352B-505BA36,1.0,1.0,SKD5Z2230
5,MA-3538-505AA32,44.0,1000.0,SKD11012050
6,MA-3538-505AA32,1.0,1.0,SKD5Z1275
5,MA-3538-505BA32,30.0,1000.0,SKD11012050
6,MA-3538-505BA32,1.0,1.0,SKD5Z1240
5,MA-3549-505AA34,41.0,1000.0,SKD11012050
6,MA-3549-505AA34,1.0,1.0,SKD5Z1270
5,MA-3549-505BA34,41.0,1000.0,SKD11012050
