区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
3,100-213CA,1,1,PEFIN-100-213CA,1,1,MA-100-213CA,0,0,,0,0,,0,0,,0,0,
2,100-220QA1150,1,1,AO-100-220QA1150,1,1,MA-100-220QA-QB1240,0,0,,0,0,,0,0,,0,0,
2,100-220QA1240,1,1,AO-100-220QA1240,1,1,MA-100-220QA-QB1240,0,0,,0,0,,0,0,,0,0,
2,100-220QB1150,1,1,AO-100-220QB1150,1,1,MA-100-220QA-QB1240,0,0,,0,0,,0,0,,0,0,
2,100-220QB1240,1,1,AO-100-220QB1240,1,1,MA-100-220QA-QB1240,0,0,,0,0,,0,0,,0,0,
2,100-220TA0700,1,1,AO-100-220TA0700,1,1,MA-100-220TA0700,0,0,,0,0,,0,0,,0,0,
2,100-220TB0700,1,1,AO-100-220TB0700,1,1,MA-100-220TA0700,0,0,,0,0,,0,0,,0,0,
3,100-226,1,1,PA-100-226,1,1,L2-100-226,1,1,MA-100-226,0,0,,0,0,,0,0,
3,100-226BA,1,1,PA-100-226BA,1,1,L2-100-226BA,1,1,MA-100-226,0,0,,0,0,,0,0,
3,100-226BB,1,1,PA-100-226BB,1,1,L2-100-226BB,1,1,MA-100-226,0,0,,0,0,,0,0,
3,100-226CA,1,1,PEFIN-100-226CA,1,5,SS400-100X400X36.7,0,0,,0,0,,0,0,,0,0,
3,100-226DA,1,1,L-100-226DA,1,1,MA-100-226DA,0,0,,0,0,,0,0,,0,0,
G,100-228CA1333,1,1,PA-100-228CA1333,1,1,MA-100-228CA1333,0,0,,0,0,,0,0,,0,0,
2,100-229,1,1,PA-100-229,1,1,MA-100-229,0,0,,0,0,,0,0,,0,0,
2,100-229CA,1,1,PA-100-229CA,1,1,MA-100-229CA,0,0,,0,0,,0,0,,0,0,
3,100-236AB,1,1,TH-100-236AB,1,1,MA-100-236AB,0,0,,0,0,,0,0,,0,0,
G,100-241EA,1,1,PA-100-241EA,1,1,MA-100-241EA,0,0,,0,0,,0,0,,0,0,
G,100-241JA,1,1,PA-100-241JA,1,1,MA-100-241JA,0,0,,0,0,,0,0,,0,0,
T,100-249,1,25,MA-100-249,0,0,,0,0,,0,0,,0,0,,0,0,
T,100-261CA1333,1,3,MA-100-261CA1333,0,0,,0,0,,0,0,,0,0,,0,0,
