No,完成部番,単位数分子,単位数分母,前工程
5,100-105BB26,1.0,1.0,MA-100-105BB26
6,100-105BB26,1.0,1,PA-100-105BB26
1,100-105BB30,0.0,0.0,
2,100-105BB30,0.0,0.0,
3,100-105BB30,0.0,0.0,
4,100-105BB30,0.0,0.0,
5,100-105BB30,1.0,1.0,MA-100-105BB30
6,100-105BB30,1.0,1,PA-100-105BB30
1,100-105BB38,0.0,0.0,
2,100-105BB38,0.0,0.0,
3,100-105BB38,0.0,0.0,
4,100-105BB38,0.0,0.0,
5,100-105BB38,1.0,1.0,MA-100-105BB38
6,100-105BB38,1.0,1,PA-100-105BB38
1,100-110C,0.0,0.0,
2,100-110C,0.0,0.0,
3,100-110C,0.0,0.0,
4,100-110C,0.0,0.0,
5,100-110C,1.0,1.0,MA-100-110C
6,100-110C,1.0,1,PA-100-110C
1,100-12A01DA30,0.0,0.0,
2,100-12A01DA30,0.0,0.0,
3,100-12A01DA30,0.0,0.0,
4,100-12A01DA30,0.0,0.0,
5,100-12A01DA30,1.0,1.0,MA-100-12A01DA30
6,100-12A01DA30,1.0,1,PA-100-12A01DA30
1,100-201B0800,0.0,0.0,
2,100-201B0800,0.0,0.0,
3,100-201B0800,0.0,0.0,
4,100-201B0800,1.0,1.0,MA-165-201-202CA1531
5,100-201B0800,1.0,1.0,L-100-201B0800
6,100-201B0800,1.0,1,AO-100-201B0800
1,100-201B0930,0.0,0.0,
2,100-201B0930,0.0,0.0,
3,100-201B0930,0.0,0.0,
4,100-201B0930,1.0,1.0,MA-165-201-202CA1531
5,100-201B0930,1.0,1.0,L-100-201B0930
6,100-201B0930,1.0,1,AO-100-201B0930
1,100-201B1150,0.0,0.0,
2,100-201B1150,0.0,0.0,
3,100-201B1150,0.0,0.0,
4,100-201B1150,1.0,1.0,MA-165-202AA1333
5,100-201B1150,1.0,1.0,L-100-201B1150
6,100-201B1150,1.0,1,AO-100-201B1150
1,100-201B1333,0.0,0.0,
2,100-201B1333,0.0,0.0,
