No,完成部番,単位数分子,単位数分母,前工程
6,100-220QA1150,1.0,1.0,AO-100-220QA1150
6,100-220QA1240,1.0,1.0,AO-100-220QA1240
6,100-220QB1150,1.0,1.0,AO-100-220QB1150
6,100-220QB1240,1.0,1.0,AO-100-220QB1240
6,100-220TA0700,1.0,1.0,AO-100-220TA0700
6,100-220TB0700,1.0,1.0,AO-100-220TB0700
5,100-226,1.0,1.0,L2-100-226
6,100-226,1.0,1.0,PA-100-226
5,100-226BA,1.0,1.0,L2-100-226BA
6,100-226BA,1.0,1.0,PA-100-226BA
5,100-226BB,1.0,1.0,L2-100-226BB
6,100-226BB,1.0,1.0,PA-100-226BB
6,100-226CA,1.0,1.0,PEFIN-100-226CA
6,100-226DA,1.0,1.0,L-100-226DA
6,100-228CA1333,1.0,1.0,PA-100-228CA1333
6,100-229,1.0,1.0,PA-100-229
6,100-229CA,1.0,1.0,PA-100-229CA
6,100-236AB,1.0,1.0,TH-100-236AB
6,100-241EA,1.0,1.0,PA-100-241EA
6,100-241JA,1.0,1.0,PA-100-241JA
6,100-271EA,1.0,1.0,PL-100-271EA
6,100-271LA,1.0,1.0,PA-100-271LA
5,100-276B,1.0,1.0,L-100-276B
6,100-276B,1.0,1.0,PEFIN-100-276B
6,100-303AA071288N,1.0,1.0,PA-100-303AA071288N
6,100-303AA080288N,1.0,1.0,PA-100-303AA080288N
6,100-303AA0803810N,1.0,1.0,PA-100-303AA0803810N
6,100-303AA090288N,1.0,1.0,PA-100-303AA090288N
6,100-303AA0903810N,1.0,1.0,PA-100-303AA0903810N
6,100-303AA100288N,1.0,1.0,PA-100-303AA100288N
6,100-303AA1003810N,1.0,1.0,PA-100-303AA1003810N
6,100-303AA112288N,1.0,1.0,PA-100-303AA112288N
6,100-303AA1253810N,1.0,1.0,PA-100-303AA1253810N
6,100-303AA1403810N,1.0,1.0,PA-100-303AA1403810N
6,100-304-200,1.0,1.0,PA-100-304-200
6,100-304-230,1.0,1.0,PA-100-304-230
5,100-444JB,1.0,1.0,MC-100-444JB
6,100-444JB,1.0,1.0,PA-100-444JB
5,100-444LA,1.0,1.0,MC-100-444LA
6,100-444LA,1.0,1.0,PA-100-444LA
6,100-444SA,1.0,1.0,PA-100-444SA
6,100-454AC,1.0,1.0,PL-100-454AC
6,100-454AF,1.0,1.0,PL-100-454AF
6,100-609JB3,1.0,1.0,PA-100-609JB3
6,100-609KB3,1.0,1.0,PA-100-609KB3
6,100-609W,1.0,1.0,PA-100-609W
6,100-702B,1.0,1.0,PL-100-702B
6,100-702BB,1.0,1.0,PL-100-702BB
6,100-702BC,1.0,1.0,PL-100-702BC
