,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6,単位数分子7,単位数分母7,前工程7,単位数分子8,単位数分母8,前工程8,単位数分子9,単位数分母9,前工程9,単位数分子10,単位数分母10,前工程10,作成者,作成日,更新者,更新日,理由,更新日,理由,,
C,2FC-DY3D30,1,1,2FC-MY3D30,1,1,SKD8B2944,86,1000,SKD11029082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FC-MY4B32,1,1,SKD7Z3045,78,1000,SKD11030070,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FD-MY1AA32,1,1,SKD6G2248,59,1000,SKD11022067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2FD-MY1AA38,1,1,SKD6G2248,59,1000,SKD11022067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2JA-DB1AA30,1,1,2JA-MB1AA30,1,1,SKD6E4026,56,1000,SKD11040065,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2JA-DB2AA30,1,1,2JA-MB2AA30,1,1,SKD6G3515,29,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2JA-DB3AA30,1,1,2JA-MB3AA30,1,1,SKD6E4030,64,1000,SKD11040065,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2JA-DB4AA30,1,1,2JA-MB4AA30,1,1,SKD6E3327,51,1000,SKD11033065,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2JA-DB7AA30,1,1,2JA-MB7AA30,1,1,SKD6G3545,87,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2JA-DB8AA30,1,1,2JA-MB8AA30,1,1,SKD6G3540,77,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2JA-DY2AA30,1,1,2JA-MY2AA30,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,2JA-DY4AA30,1,1,2JA-MY4AA30,1,1,SKD6G2545,62,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2-MY3AA36,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-DB1AA30,1,1,3.2S-MB1AA30,1,1,SKD6G3535,68,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-DY1AA24,1,1,3.2S-MY1AA24,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-DY1AA26,1,1,3.2S-MY1AA26,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-DY1AA30,1,1,3.2S-MY1AA30,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-DY1AA32,1,1,3.2S-MY1AA32,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-DY1AA34,1,1,3.2S-MY1AA34,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-DY1AA36,1,1,3.2S-MY1AA36,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-DY3AA24,1,1,3.2S-MY1AA24,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-DY3AA26,1,1,3.2S-MY1AA26,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-DY3AA30,1,1,3.2S-MY3AA30,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-DY3AA32,1,1,3.2S-MY1AA32,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-DY3AA34,1,1,3.2S-MY1AA34,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SME-MY1AA30,1,1,SKD8B2930,59,1000,SKD11029082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SMERE-MY1AA30,1,1,SKD8B2930,59,1000,SKD11029082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SMERE-MY1AA34,1,1,SKD8B2930,59,1000,SKD11029082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SMERE-MY3AA34,1,1,SKD6G2530,42,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SMERE-MY4AA34,1,1,SKD6G2530,42,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SMERE-MY5AA34,1,1,SKD8B2930,59,1000,SKD11029082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-MY1AB38,1,1,SKD6G3532,62,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-MY3AA26,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-MY3AA32,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-MY3AA34,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-MY3AA36,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2S-MY3AA38,1,1,SKD6G2532,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SR-DY1AA34,1,1,3.2SR-MY1AA34,1,1,SKD6G2530,42,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SR-DY3AA34,1,1,3.2SR-MY1AA34,1,1,SKD6G2530,42,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SRE-MY1AA34,1,1,SKD8E5030,105,1000,SKD11050085,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SRE-MY1BA34,1,1,SKD8E5030,105,1000,SKD11050085,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SRE-MY4AA34,1,1,SKD8E5030,105,1000,SKD11050085,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SRE-MY4BA34,1,1,SKD8E5030,105,1000,SKD11050085,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SRE-MY5BA34,1,1,SKD8E5030,105,1000,SKD11050085,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SRE-MY6BA34,1,1,SKD8E5030,105,1000,SKD11050085,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SR-MB1AA34,1,1,SKD6G3540,77,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,柳,20160702,黒皮素材のｻｲｽﾞ6G3535-->6G3540へ変更,,,,
C,3.2SR-MB1BA34,1,1,SKD6G3540,77,1000,SKD11035067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,柳,20160702,黒皮素材のｻｲｽﾞ6G3535-->6G3540へ変更,,,,
C,3.2SR-MY1AA30,1,1,SKD6G2530,42,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SR-MY1AA36,1,1,SKD6G2530,42,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SR-MY3AA30,1,1,SKD6G2530,42,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SR-MY3AA34,1,1,SKD6G2530,42,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3.2SR-MY3AA36,1,1,SKD6G2530,42,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3101-511AA30-M1,1,1,SKD8E5028,98,1000,SKD11050085,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3101-513CA30-M1,1,1,SKD8E5028,98,1000,SKD11050085,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3101-611AA30-M1,1,1,SKD7Z3030,52,1000,SKD11030070,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,柳,20180711,黒皮素材のｻｲｽﾞ6G3532-->7Z3030へ変更,,,,
C,3114-5211BB-M1,1,1,SKD6G2520,28,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3114-5212AB30-M1,1,1,SKD6G2525,35,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3139-511AA303438-FRAISE,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3139-513AA303438-FRAISE,45,1000,SKD11025067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3139-611AA30-M1-TEMP,1,1,SKD7.0X40X35,95,1000,SKD11040085,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,伊東,20210603,SKD11040082からSKD11040085へ,,,,
C,3139-611AA30-M1-TEMP-HKW,108,1000,SKD11040082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3153-512BA30-M1-TEMP-HKW,78,1000,SKD11047067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3154-611AB22-M1,1,1,SKD105029,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3154-611AB22-M1-XDF,1,1,SKD105029,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3225-512DA32-M1,1,1,SKD8B2140,57,1000,SKD11021082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3225-514AA32-M1,1,1,SKD8B2160,85,1000,SKD11021082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3236-512AB32-M1,1,1,SKD8B2125,36,1000,SKD11021082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3236-514AA32-M1,1,1,SKD8B2140,57,1000,SKD11021082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3236-515AA32-M1,1,1,SKD8B2140,57,1000,SKD11021082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3237-514AA30-M1,1,1,SKD8B2955,108,1000,SKD11029082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3238-511AA-M1,1,1,SKD6G2718,27,1000,SKD11027067,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3238-514AB34-M1,1,1,SKD8B2943,84,1000,SKD11029082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3239-514AA36-M1,1,1,SKD8B2955,108,1000,SKD11029082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,3239-514AB32-M1,1,1,SKD8B2955,108,1000,SKD11029082,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
