HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN
1631-105HK30,1,10,AO,1592,,0,0,0,13600.0,13,6,,1,1
1631-105HL30,1,10,AO,1592,,0,0,0,12000.0,13,6,,1,1
1631-105HLL30,1,10,AO,1592,,0,0,0,17030.0,13,6,,1,1
1631-105JAM30,1,10,AO,1592,,0,0,0,8720.0,13,6,,1,1
1631-105KAM30,1,10,AO,1592,,0,0,0,15580.0,13,6,,1,1
1631-105LAM30,1,10,AO,1592,,0,0,0,15580.0,13,6,,1,1
1631-105MA30,1,10,AO,1592,,0,0,0,9700.0,13,6,,1,1
1631-105MA38,1,10,AO,1592,,0,0,0,9700.0,13,6,,1,1
1631-105NA30,1,10,AO,1592,,0,0,0,9700.0,13,6,,1,1
1631-105NA38,1,10,AO,1592,,0,0,0,9700.0,13,6,,1,1
1631-105PAL24,1,10,AO,1592,,0,0,0,24933.0,13,6,,1,1
1631-105QAL24,1,10,AO,1592,,0,0,0,24933.0,13,6,,1,1
1631-105RAL24,1,10,AO,1592,,0,0,0,24933.0,13,6,,1,1
1631-105SAL30,1,10,AO,1592,,0,0,0,34950.0,13,6,,1,1
1631-105TAL30,1,10,AO,1592,,0,0,0,28300.0,13,6,,1,1
1631-105UAL30,1,10,AO,1592,,0,0,0,28300.0,13,6,,1,1
165-201AA-F,1,10,AO,3070,,0,0,20,180.0,13,6,,1,1
165-201AA1081,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
165-201AA1150,2,20,AO,3070,,0,0,75,11500.0,13,6,,1,1
165-201AA1333,2,20,AO,3070,,0,0,75,15500.0,13,6,,1,1
165-201AA1333T,2,20,AO,3070,,0,0,75,13750.0,13,6,,1,1
165-201AA1531,2,20,AO,3070,,0,0,75,13750.0,13,6,,1,1
165-201AA1531S,2,20,AO,3070,,0,0,75,13750.0,13,6,,1,1
165-201AA1531T,2,20,AO,3070,,0,0,75,13750.0,13,6,,1,1
165-201CA0490,2,20,AO,3070,,0,0,75,5700.0,13,6,,1,1
165-201CA0700,2,20,AO,3070,,0,0,75,9500.0,13,6,,1,1
165-201CA0700S,2,20,AO,3070,,0,0,75,6500.0,13,6,,1,1
165-201CA0800,2,20,AO,3070,,0,0,75,9500.0,13,6,,1,1
165-201CA0930,2,20,AO,3070,,0,0,75,9500.0,13,6,,1,1
165-201CA0930S,2,20,AO,3070,,0,0,40,10000.0,13,6,,1,1
165-201CA1081,2,20,AO,3070,,0,0,75,10000.0,13,6,,1,1
165-201CA1081T,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
165-201CA1150,2,20,AO,3070,,0,0,75,12590.0,13,6,,1,1
165-201CA1240,2,20,AO,3070,,0,0,75,12590.0,13,6,,1,1
165-201CA1333,2,20,AO,3070,,0,0,75,13430.0,13,6,,1,1
165-201CA1333S,2,20,AO,3070,,0,0,75,13750.0,13,6,,1,1
165-201CA1333T,2,20,AO,3070,,0,0,75,13335.0,13,6,,1,1
165-201CA1531,2,20,AO,3070,,0,0,75,13525.0,13,6,,1,1
165-201CA1531S,2,20,AO,3070,,0,0,75,13750.0,13,6,,1,1
165-201CA1531T,2,20,AO,3070,,0,0,75,13425.0,13,6,,1,1
