ID,SKDK,KUMITATENO,MODEL,INCH,GAUGE,SETU_F,KOSUU,SEISANJI,KUMIKAISHI,KUMIKAISHI_DATE,CAT2,TUKI,KumitatenoLen,TYPE,KUMITATENO_Job,JOB_1_0,JOB_1,JOB_2_0,JOB_2,JOB_3_0,JOB_3,JOB_4_0,JOB_4,JOB_5_0,JOB_5,JOB_6_0,JOB_6,JOB_7_0,JOB_7,JOB_8_0,JOB_8,DENPYONO
329,DK,K7319,M-9ME22,30.0,32,478-409AA30,1,25110,20251127,2025-11-27 00:00:00,D409,2511,5,478,K7319,2025-11-19 00:00:00,,2025-11-19 00:00:00,,2025-11-20 00:00:00,,,,2025-11-21 00:00:00,,2025-11-25 00:00:00,,2025-11-26 00:00:00,,,,F000127280
33,DK,K047,M-9ME22,30.0,28,478-409AA30,1,25108,20251015,2025-10-16 00:00:00,D409,2510,4,478,K047,2025-10-09 00:00:00,2025-10-06 00:00:00,2025-10-09 00:00:00,2025-10-06 00:00:00,2025-10-10 00:00:00,2025-10-07 00:00:00,,,2025-10-14 00:00:00,2025-10-07 00:00:00,2025-10-15 00:00:00,2025-10-08 00:00:00,2025-10-15 00:00:00,2025-10-09 00:00:00,,,F000123329
330,DK,L011,OD6B-M-8MES,34.0,32,478-409AA34,1,25116,20251106,2025-11-07 00:00:00,D409,2511,4,478,L011,2025-10-30 00:00:00,,2025-10-30 00:00:00,,2025-10-31 00:00:00,,,,2025-11-04 00:00:00,,2025-11-05 00:00:00,,2025-11-06 00:00:00,,,,F000125161
331,DK,L012,OD6B-M-8MES,34.0,32,478-409AA34,1,25116,20251106,2025-11-07 00:00:00,D409,2511,4,478,L012,2025-10-30 00:00:00,,2025-10-30 00:00:00,,2025-10-31 00:00:00,,,,2025-11-04 00:00:00,,2025-11-05 00:00:00,,2025-11-06 00:00:00,,,,F000125163
332,DK,L013,OD6B-M-8MES,34.0,32,478-409AA34,1,25116,20251106,2025-11-07 00:00:00,D409,2511,4,478,L013,2025-10-30 00:00:00,,2025-10-30 00:00:00,,2025-10-31 00:00:00,,,,2025-11-04 00:00:00,,2025-11-05 00:00:00,,2025-11-06 00:00:00,,,,F000125165
333,DK,L014,OD6B-M-8MES,34.0,32,478-409AA34,1,25116,20251106,2025-11-07 00:00:00,D409,2511,4,478,L014,2025-10-30 00:00:00,,2025-10-30 00:00:00,,2025-10-31 00:00:00,,,,2025-11-04 00:00:00,,2025-11-05 00:00:00,,2025-11-06 00:00:00,,,,F000125167
334,DK,L015,OD6B-M-8MES,34.0,32,478-409AA34,1,25116,20251106,2025-11-07 00:00:00,D409,2511,4,478,L015,2025-10-30 00:00:00,,2025-10-30 00:00:00,,2025-10-31 00:00:00,,,,2025-11-04 00:00:00,,2025-11-05 00:00:00,,2025-11-06 00:00:00,,,,F000125169
335,DK,L016,OD6B-M-8MES,34.0,32,478-409AA34,1,25117,20251110,2025-11-11 00:00:00,D409,2511,4,478,L016,2025-11-04 00:00:00,,2025-11-04 00:00:00,,2025-11-05 00:00:00,,,,2025-11-06 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,F000125171
336,DK,L017,OD6B-M-8MES,34.0,32,478-409AA34,1,25117,20251110,2025-11-11 00:00:00,D409,2511,4,478,L017,2025-11-04 00:00:00,,2025-11-04 00:00:00,,2025-11-05 00:00:00,,,,2025-11-06 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,F000125173
337,DK,L018,OD6B-M-8MES,34.0,32,478-409AA34,1,25117,20251110,2025-11-11 00:00:00,D409,2511,4,478,L018,2025-11-04 00:00:00,,2025-11-04 00:00:00,,2025-11-05 00:00:00,,,,2025-11-06 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,F000125175
