HMCD,BUCD,SRCD,UNIT,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
MA-G-9606BA,100,1380,PC,2013/6/1,1,2612.0,,2
MA-K-303D,100,1380,PC,2013/6/1,1,1500.0,,2
MA-K-303F,100,1380,PC,2000/1/1,1,1130.0,,2
MA-K-303F,100,1380,PC,2013/6/1,1,1800.0,,2
MA-K-3701C,100,1380,PC,2013/6/1,1,1423.0,,2
MA-KF77-00402AA,100,1380,PC,2013/6/1,1,8250.0,,2
MA-KF77-00402BA,100,1380,PC,2013/6/1,1,7400.0,,2
MA-LU-2601BA,100,1380,PC,2000/1/1,1,1700.0,,2
MA-LU-2601BA,100,1380,PC,2013/6/1,1,1200.0,,2
MA-LU-2601BA,100,1380,PC,2022/8/10,1,1380.0,,2
MA-SPL-1555RA,100,1380,PC,2013/6/1,1,1958.0,,2
MA-SPL-1555RB,100,1380,PC,2013/6/1,1,1960.0,,2
MA-SPL-2306BA,100,1380,PC,2013/6/1,1,7800.0,,2
MA-SUT-01AA,100,1380,PC,2013/6/1,1,2500.0,,2
MA-SUT-02C,100,1380,PC,2013/6/1,1,3000.0,,2
MA-SUT-02D,100,1380,PC,2013/6/1,1,2500.0,,2
MA-SUT-02F,100,1380,PC,2013/6/1,1,2177.0,,2
MA-SUT-02H,100,1380,PC,2013/6/1,1,2177.0,,2
MA-SUT-05BJ,100,1380,PC,2013/6/1,1,2700.0,,2
MA-SUT-08A,100,1380,PC,2013/6/1,1,1958.0,,2
MA-SUT-08D,100,1380,PC,2013/6/1,1,1960.0,,2
MA-SUT-10BB,100,1380,PC,2013/6/1,1,2071.0,,2
MA-SUT-10BD,100,1380,PC,2013/6/1,1,2071.0,,2
MA-SUT-10BG,100,1380,PC,2013/6/1,1,2071.0,,2
MA-SUT-10BN,100,1380,PC,2013/6/1,1,2137.0,,2
MA-SUT-10BP,100,1380,PC,2013/6/1,1,2071.0,,2
MA-SUT-10CA,100,1380,PC,2013/6/1,1,2410.0,,2
MA-SUT-10DB,100,1380,PC,2013/6/1,1,3071.0,,2
MA-SUT-10DD,100,1380,PC,2013/6/1,1,2071.0,,2
MA-SUT-10DT,100,1380,PC,2013/6/1,1,2372.0,,2
MA-SUT-10DV,100,1380,PC,2013/6/1,1,2071.0,,2
MA-SUT-10DW,100,1380,PC,2013/6/1,1,2071.0,,2
MA-SUT-10DX,100,1380,PC,2016/3/24,1,3830.0,,2
MA-19-310,100,1384,PC,2013/6/1,1,2700.0,,2
MA-90-308,100,1384,PC,2013/6/1,1,929.0,,2
MA-EP-271C1,100,1384,PC,2013/6/1,1,417.0,,2
MA-K-22002BA,100,1384,PC,2017/5/16,0,60.0,,2
MA-K-22402BA,100,1384,PC,2017/5/16,0,62.0,,2
MA-KF74-00137AA-2,100,1384,PC,2013/6/1,1,76.0,,2
MA-485-634AA,100,1386,PC,2013/6/1,1,97.0,,2
MA-DC-6900NA60,100,1386,PC,2013/6/1,1,50.0,,2
MA-E-20609B,100,1386,PC,2013/6/1,1,47.03,,2
MA-E-20609DA,100,1386,PC,2013/6/1,1,500.0,,2
MA-K-13244AA,100,1386,PC,2013/6/1,1,425.0,,2
MA-KD65-00901AB,100,1386,PC,2013/6/1,1,90.0,,2
MA-SPS-17A,100,1386,PC,2013/6/1,1,9.1,,2
MA-SPS-19B,100,1386,PC,2013/6/1,1,7.21,,2
MA-SPS-68AA,100,1386,PC,2013/6/1,1,8.5,,2
MA-12-347D,100,1394,PC,2013/6/1,1,900.0,,2
MA-130-312AA,100,1394,PC,2013/6/1,1,1000.0,,2
MA-1332-702AA,100,1394,PC,2013/6/1,1,6000.0,,2
MA-SPS-67BB,100,1394,PC,2013/6/1,1,48.0,,2
MA-V103-103520,100,1394,PC,2013/6/1,1,280.0,,2
MA-V103-103521,100,1394,PC,2013/6/1,1,550.0,,2
MA-WMS-7,100,1394,PC,2016/4/6,1,30.0,,2
MA-E-5302,100,1455,PC,2000/1/1,1,11.0,,2
MA-E-5302,100,1455,PC,2013/6/1,1,11.0,,2
