区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
B,79-634,1,1,MA-79-634,0,0,,0,0,,0,0,,0,0,,0,0,
B,79-63438,1,1,MA-79-63438,0,0,,0,0,,0,0,,0,0,,0,0,
U,814-605CA,1,1,MA-814-605CA,0,0,,0,0,,0,0,,0,0,,0,0,
U,816-652,1,1,MA-816-652,0,0,,0,0,,0,0,,0,0,,0,0,
U,816-653,1,1,MA-816-653,0,0,,0,0,,0,0,,0,0,,0,0,
U,816-654,1,1,MA-816-654,0,0,,0,0,,0,0,,0,0,,0,0,
D,82-429,1,1,MA-82-429,0,0,,0,0,,0,0,,0,0,,0,0,
L,82-430,1,1,MA-82-430,0,0,,0,0,,0,0,,0,0,,0,0,
D,82-431,1,1,MA-82-431,0,0,,0,0,,0,0,,0,0,,0,0,
U,880-605,1,1,MA-880-605,0,0,,0,0,,0,0,,0,0,,0,0,
U,880-605B,1,1,MA-880-605B,0,0,,0,0,,0,0,,0,0,,0,0,
S,881-445AA,1,1,MA-881-445AA,0,0,,0,0,,0,0,,0,0,,0,0,
U,887-606AA,1,1,MA-887-606AA,0,0,,0,0,,0,0,,0,0,,0,0,
B,90-213,1,1,MA-90-213,0,0,,0,0,,0,0,,0,0,,0,0,
2,90-214,1,1,MA-90-214,0,0,,0,0,,0,0,,0,0,,0,0,
D,90-461B,1,1,MA-90-461B,0,0,,0,0,,0,0,,0,0,,0,0,
D,920-661,1,1,MA-920-661,0,0,,0,0,,0,0,,0,0,,0,0,
U,956-641L,1,1,MA-956-641L,0,0,,0,0,,0,0,,0,0,,0,0,
U,956-641R,1,1,MA-956-641R,0,0,,0,0,,0,0,,0,0,,0,0,
W,960-435AB26,1,1,MA-960-435AB26,0,0,,0,0,,0,0,,0,0,,0,0,
U,962-653AA,1,1,MA-962-653AA,0,0,,0,0,,0,0,,0,0,,0,0,
U,972-671AA,1,1,MA-972-671AA,0,0,,0,0,,0,0,,0,0,,0,0,
L,980-310AA,1,1,MA-980-310AA,0,0,,0,0,,0,0,,0,0,,0,0,
L,980-468AA,1,1,MA-980-468AA,0,0,,0,0,,0,0,,0,0,,0,0,
U,980-605,1,1,MA-980-605,0,0,,0,0,,0,0,,0,0,,0,0,
2,CMS-51AA,1,1,MA-CMS-51AA,0,0,,0,0,,0,0,,0,0,,0,0,
2,CR-312,1,1,MA-CR-312,0,0,,0,0,,0,0,,0,0,,0,0,
2,CR-370A,1,1,MA-CR-370A,0,0,,0,0,,0,0,,0,0,,0,0,
L,DC-2401B,1,1,MA-DC-2401B,0,0,,0,0,,0,0,,0,0,,0,0,
W,DC-2432,1,1,MA-DC-2432,0,0,,0,0,,0,0,,0,0,,0,0,
K,DC-3903,1,1,MA-DC-3903,0,0,,0,0,,0,0,,0,0,,0,0,
D,DC-3903HB,1,1,MA-DC-3903HB,0,0,,0,0,,0,0,,0,0,,0,0,
D,DC-3903MA,1,1,MA-DC-3903MA,0,0,,0,0,,0,0,,0,0,,0,0,
2,DC-4003B,1,1,MA-DC-4003B,0,0,,0,0,,0,0,,0,0,,0,0,
D,DC-6900CA,1,1,MA-DC-6900CA,0,0,,0,0,,0,0,,0,0,,0,0,
D,DC-753XA,1,1,MA-DC-753XA,0,0,,0,0,,0,0,,0,0,,0,0,
D,E-17002K,1,1,MA-E-17002K,0,0,,0,0,,0,0,,0,0,,0,0,
D,E-17003KA,1,1,MA-E-17003KA,0,0,,0,0,,0,0,,0,0,,0,0,
D,E-17003KB,1,1,MA-E-17003KB,0,0,,0,0,,0,0,,0,0,,0,0,
R,E-17006PB,1,1,MA-E-17006PB,0,0,,0,0,,0,0,,0,0,,0,0,
L,E-18301N26,1,1,MA-E-18301N26,0,0,,0,0,,0,0,,0,0,,0,0,
W,E-19001GB,1,1,MA-E-19001GB,0,0,,0,0,,0,0,,0,0,,0,0,
R,E-19001RA,1,1,MA-E-19001RA,0,0,,0,0,,0,0,,0,0,,0,0,
L,E-19002FB,1,1,MA-E-19002FB,0,0,,0,0,,0,0,,0,0,,0,0,
R,E-19002G,1,1,MA-E-19002G,0,0,,0,0,,0,0,,0,0,,0,0,
R,E-19002GB,1,1,MA-E-19002GB,0,0,,0,0,,0,0,,0,0,,0,0,
D,E-23101AC,1,1,MA-E-23101AC,0,0,,0,0,,0,0,,0,0,,0,0,
R,E-26814AA,1,1,MA-E-26814AA,0,0,,0,0,,0,0,,0,0,,0,0,
G,E-6115B,1,1,MA-E-6115B,0,0,,0,0,,0,0,,0,0,,0,0,
D,E-6115C,1,1,MA-E-6115C,0,0,,0,0,,0,0,,0,0,,0,0,
W,E-6601P,1,1,MA-E-6601P,0,0,,0,0,,0,0,,0,0,,0,0,
R,E-6605BA,1,1,MA-E-6605BA,0,0,,0,0,,0,0,,0,0,,0,0,
E,ED51-00102AA,1,1,MA-ED51-00102AA,0,0,,0,0,,0,0,,0,0,,0,0,
E,ED51-00102AB,1,1,MA-ED51-00102AB,0,0,,0,0,,0,0,,0,0,,0,0,
E,ED51-00102BA,1,1,MA-ED51-00102BA,0,0,,0,0,,0,0,,0,0,,0,0,
E,ED61-00102AB,1,1,MA-ED61-00102AB,0,0,,0,0,,0,0,,0,0,,0,0,
A,ED64-00703AA,1,1,MA-ED64-00703AA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ED64-00703BA,1,1,MA-ED64-00703BA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ED64-00703CA,1,1,MA-ED64-00703CA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ED64-00902AA,1,1,MA-ED64-00902AA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ED64-00902AB,1,1,MA-ED64-00902AB,0,0,,0,0,,0,0,,0,0,,0,0,
A,ED64-00902BA,1,1,MA-ED64-00902BA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-00112AA,1,1,MA-ES64-00112AA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-00112BA,1,1,MA-ES64-00112BA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-00112CA,1,1,MA-ES64-00112CA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-00112CB,1,1,MA-ES64-00112CB,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-00112DA,1,1,MA-ES64-00112DA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-00112DB,1,1,MA-ES64-00112DB,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-00112EB,1,1,MA-ES64-00112EB,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-00112FA,1,1,MA-ES64-00112FA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-00113AA,1,1,MA-ES64-00113AA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-00113CA,1,1,MA-ES64-00113CA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-00113DA,1,1,MA-ES64-00113DA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-00113EA,1,1,MA-ES64-00113EA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01001CA,1,1,MA-ES64-01001CA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01001CB,1,1,MA-ES64-01001CA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01001DA,1,1,MA-ES64-01001DA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01001EA,1,1,MA-ES64-01001EA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01007AA,1,1,MA-ES64-01007AA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01007BA,1,1,MA-ES64-01007BA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01007CA,1,1,MA-ES64-01007CA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01008AA,1,1,MA-ES64-01008AA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01008BA,1,1,MA-ES64-01008BA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01008CA,1,1,MA-ES64-01008CA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01008DA,1,1,MA-ES64-01008DA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01008FA,1,1,MA-ES64-01008FA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01008GA,1,1,MA-ES64-01008GA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01009BA,1,1,MA-YTUKI,,,,,,,,,,,,,,,
A,ES64-01402AA,1,1,MA-ES64-01402AA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01402BA,1,1,MA-ES64-01402BA,0,0,,0,0,,0,0,,0,0,,0,0,
A,ES64-01403AA,1,1,MA-ES64-01403AA,0,0,,0,0,,0,0,,0,0,,0,0,
E,EUT-103DA,1,1,MA-EUT-103,0,0,,0,0,,0,0,,0,0,,0,0,
E,EUT-103EA,1,1,MA-EUT-103,0,0,,0,0,,0,0,,0,0,,0,0,
G,G-3001VD16A,1,1,MA-G-3001VD16A,1,1,,0,0,,0,0,,0,0,,0,0,
G,G-3001VD16B,1,1,MA-G-3001VD16B,1,1,,0,0,,0,0,,0,0,,0,0,
G,G-3001VD16C,1,1,MA-G-3001VD16C,1,1,,0,0,,0,0,,0,0,,0,0,
G,G-3001VD30,1,1,MA-G-3001VD30,1,1,,0,0,,0,0,,0,0,,0,0,
G,G-3001VD38,1,1,MA-G-3001VD38,1,1,,0,0,,0,0,,0,0,,0,0,
G,G-3001VGC38,1,1,MA-G-3001VGC38,1,1,,0,0,,0,0,,0,0,,0,0,
G,G-3001VH30,1,1,MA-G-3001VH30,1,1,,0,0,,0,0,,0,0,,0,0,
G,G-3001VJ30,1,1,MA-G-3001VJ30,1,1,,0,0,,0,0,,0,0,,0,0,
G,G-3001VJ38,1,1,MA-G-3001VJ38,1,1,,0,0,,0,0,,0,0,,0,0,
G,G-3001VK38,1,1,MA-G-3001VK38,1,1,,0,0,,0,0,,0,0,,0,0,
G,G-3001VL38,1,1,MA-G-3001VL38,1,1,,0,0,,0,0,,0,0,,0,0,
G,G-3411,1,1,MA-G-3411,0,0,,0,0,,0,0,,0,0,,0,0,
R,G-4206G,1,1,MA-G-4206G,0,0,,0,0,,0,0,,0,0,,0,0,
W,G-4207,1,1,MA-G-4207,0,0,,0,0,,0,0,,0,0,,0,0,
