HMCD,BUCD,SRCD,UNIT,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
3164-608AA32-1,100,1797,PC,2024/05/01,0.0,75537.0,,1
3164-608AA34-1,100,1797,PC,2024/05/01,0.0,81423.0,,1
3164-608AA36-1,100,1797,PC,2024/05/01,0.0,90906.0,,1
3164-608AA38-1,100,1797,PC,2024/05/01,0.0,81750.0,,1
3164-608AA40-1,100,1797,PC,2024/05/01,0.0,139640.0,,1
3164-608AA42-1,100,1797,PC,2024/05/01,0.0,86860.0,,1
1731-406DA15-1,100,3399,PC,2023/03/29,0.0,80975.0,,1
161-402CA30-JTEC,100,1800,PC,2024/05/09,0.0,60736.0,,1
1731-406DA16-1,100,1800,PC,2023/04/21,0.0,125675.0,,1
1731-406DA17-1,100,3399,PC,2023/03/29,0.0,78210.0,,1
1731-406DA18-1,100,1800,PC,2023/04/21,0.0,118566.0,,1
5142-601AA33-JTEC,100,1797,PC,2024/05/01,0.0,38086.0,,1
5172-601AA33-JTEC,100,1797,PC,2024/05/01,0.0,38086.0,,1
12Q-411BA36-JTEC,100,1797,PC,2024/05/01,0.0,38512.0,,1
12Q-411BA40-JTEC,100,1797,PC,2024/05/01,0.0,44820.0,,1
12Q-411BAB42-JTEC,100,1797,PC,2024/05/01,0.0,58100.0,,1
12Q-411FB38-JTEC,100,1797,PC,2024/05/01,0.0,41832.0,,1
12Q-411GA31-JTEC,100,1797,PC,2024/05/01,0.0,43160.0,,1
12Q-411MB31-JTEC,100,1797,PC,2024/05/01,0.0,37278.0,,1
12Q-411NB31-JTEC,100,1797,PC,2024/05/01,0.0,98084.0,,1
161-402CA38-JTEC,100,1800,PC,2024/02/09,0.0,58893.0,,1
161-402CA38-L1-JTEC,100,1800,PC,2024/02/09,0.0,58893.0,,1
12Q-411FB38-1,100,1797,PC,2024/05/01,0.0,41832.0,,1
5165-601AA30-1,100,1797,PC,2024/05/01,0.0,36396.0,,1
5154-601AA30-1,100,1797,PC,2024/05/01,0.0,36396.0,,1
SPL-2843-13801KA,100,1797,PC,2024/05/01,0.0,8096.0,,1
6104-606AA36,100,1797,PC,2023/05/12,0.0,1470.0,,1
C479-602BD36,100,1797,PC,2023/05/12,0.0,1470.0,,1
5546-501AB38,100,1797,PC,2024/05/01,0.0,55520.0,,1
3561-601AA34,100,1797,PC,2024/05/01,0.0,530.0,,1
SPL-2922AA,100,1797,PC,2024/05/01,0.0,6862.0,,1
SPL-2930-102AA,100,3318,PC,2025/05/19,0.0,42010.0,,1
SPL-2930-102BA,100,3318,PC,2025/05/19,0.0,18386.0,,1
SPL-2930-111AA,100,3399,PC,2023/03/29,0.0,14280.0,,1
SPL-2930-111BA,100,3399,PC,2023/03/29,0.0,8160.0,,1
3562-502AA34,100,1800,PC,2023/04/21,0.0,62152.0,,1
1731-501ZGD19,100,1797,PC,2024/05/01,0.0,27611.0,,1
1731-501ZGD21,100,1797,PC,2024/05/01,0.0,28391.0,,1
12Q-411BA32-JTEC,100,1797,PC,2024/05/01,0.0,32924.0,,1
81-405LA260,100,3200,PC,2025/02/03,0.0,38289.0,,1
SPL-2930-111CA,100,3399,PC,2023/03/29,0.0,16330.0,,1
K-17201FA,100,1797,PC,2024/02/26,0.0,2899.0,,1
KF11-01101AA,100,3399,PC,2023/03/29,0.0,14280.0,,1
KF11-01101BA,100,3399,PC,2023/03/29,0.0,8160.0,,1
SPL-2930-111DA,100,3399,PC,2023/03/29,0.0,10650.0,,1
K-17301GA,100,1797,PC,2025/01/30,0.0,1334.0,,1
1751-43A01BA,100,3399,PC,2022/08/01,0.0,4440.0,,1
1551-401AC38-ISHIKAWA,100,3318,PC,2025/05/19,0.0,141895.0,,1
1551-401BB38-ISHIKAWA,100,3318,PC,2025/05/19,0.0,141895.0,,1
1551-401CC38-ISHIKAWA,100,3318,PC,2025/05/19,0.0,141895.0,,1
1551-401DB38-ISHIKAWA,100,3318,PC,2025/05/19,0.0,141895.0,,1
1551-401FA38-ISHIKAWA,100,3318,PC,2025/05/19,0.0,141895.0,,1
K-24001AA,100,3399,PC,2024/10/23,0.0,8160.0,,1
K-24002AA,100,3399,PC,2024/10/23,0.0,7680.0,,1
161-406DF34-1,100,1797,PC,2024/05/01,0.0,102920.0,,1
161-406DG31-1,100,1797,PC,2024/05/01,0.0,66400.0,,1
SPL-2963CA01,100,1797,PC,2024/02/28,0.0,2899.0,,1
4305-502DA18,100,3399,PC,2023/04/11,0.0,394.0,,1
4305-502DA19,100,3399,PC,2023/04/11,0.0,394.0,,1
4305-502DA20,100,3399,PC,2023/04/11,0.0,394.0,,1
4305-502DA21,100,3399,PC,2023/04/11,0.0,394.0,,1
4305-502DA22,100,3399,PC,2023/04/11,0.0,394.0,,1
474-501AB34-1,100,1797,PC,2024/09/12,0.0,62220.0,,1
474-501AB34-2,100,1797,PC,2024/09/12,0.0,62220.0,,1
1551-401AC38-ISHIKAWA-1,100,3318,PC,2025/05/19,0.0,141895.0,,1
1551-401BB38-ISHIKAWA-1,100,3318,PC,2025/05/19,0.0,141895.0,,1
1551-401CC38-ISHIKAWA-1,100,3318,PC,2025/05/19,0.0,141895.0,,1
1551-401DB38-ISHIKAWA-1,100,3318,PC,2025/05/19,0.0,141895.0,,1
1551-401FA38-ISHIKAWA-1,100,3318,PC,2025/05/19,0.0,141895.0,,1
161-403CB38-1,100,1800,PC,2023/04/21,0.0,85750.0,,1
3167-502BA34,100,1800,PC,2023/04/21,0.0,46305.0,,1
474-501AB34-3,100,1797,PC,2024/09/12,0.0,62220.0,,1
5154-501AA34-1,100,1797,PC,2024/09/12,0.0,62220.0,,1
5208-501AA34-1,100,1797,PC,2024/09/12,0.0,62220.0,,1
5211-501AA34-1,100,1797,PC,2024/09/12,0.0,62220.0,,1
5212-501AA34-1,100,1797,PC,2024/09/12,0.0,62220.0,,1
MA-355-541-G,100,1128,PC,2015/06/01,0.0,352.0,,1
11-206A,100,2970,PC,2023/06/26,0.0,85.0,,1
11-206E,100,2970,PC,2023/06/26,0.0,85.0,,1
11-206F,100,2970,PC,2023/06/26,0.0,85.0,,1
11-206G,100,2970,PC,2023/06/26,0.0,85.0,,1
11-206H,100,2970,PC,2023/06/26,0.0,85.0,,1
165-204EA-3A,100,3253,PC,2016/02/26,0.0,1100.0,,1
165-209AA,100,2970,PC,2023/06/26,0.0,85.0,,1
165-209BA,100,2970,PC,2023/06/26,0.0,85.0,,1
165-271AA,100,3253,PC,2016/02/26,0.0,693.0,,1
K-14917,100,3524,PC,2016/02/26,0.0,2860.0,,1
K-17707KB,100,3524,PC,2016/02/26,0.0,544.0,,1
K-19012AG,100,3253,PC,2016/02/26,0.0,286.0,,1
K-19012BG,100,3253,PC,2016/02/26,0.0,286.0,,1
K-22206,100,3524,PC,2021/12/23,0.0,246.0,,1
K-22207,100,3524,PC,2021/12/23,0.0,246.0,,1
K-22208,100,3524,PC,2021/12/23,0.0,246.0,,1
K-22209,100,3524,PC,2021/12/23,0.0,246.0,,1
K-29606AA,100,3524,PC,2021/12/23,0.0,246.0,,1
K-29607AA,100,3524,PC,2021/12/23,0.0,246.0,,1
K-29608AA,100,3524,PC,2021/12/23,0.0,246.0,,1
