OYAHMCD,KTCD,BUCD,SRCD,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
100-208-AA0930,PL,100,3158,2022/06/01,7.0,800.0,,1
100-208-AA0930,PL,100,3158,2022/06/01,8.0,800.0,,1
100-208-AA0930,PL,100,3861,2018/04/25,0.0,700.0,,1
100-208-AA0930,PL,100,9999,2000/01/01,0.0,700.0,,1
100-208-AA1081,PL,100,3158,2023/01/05,3.0,880.0,,1
100-208-AA1081,PL,100,3158,2023/01/05,4.0,880.0,,1
100-208-AA1081,PL,100,3158,2023/01/05,9.0,880.0,,1
100-208-AA1081,PL,100,3158,2023/01/05,10.0,720.0,,1
100-208-AA1081,PL,100,3158,2023/01/05,5.0,880.0,,1
100-208-AA1081,PL,100,3158,2023/01/05,8.0,880.0,,1
100-208-AA1081,PL,100,3158,2023/01/05,7.0,880.0,,1
100-208-AA1081,PL,100,3158,2023/01/05,6.0,880.0,,1
100-208-AA1081,PL,100,3158,2022/08/08,10.0,650.0,,1
100-208-AA1081,PL,100,3158,2022/06/01,7.0,800.0,,1
100-208-AA1081,PL,100,3158,2022/06/01,9.0,800.0,,1
100-208-AA1081,PL,100,3158,2022/06/01,8.0,800.0,,1
100-208-AA1081,PL,100,3158,2022/06/01,6.0,800.0,,1
100-208-AA1081,PL,100,3158,2022/06/01,5.0,800.0,,1
100-208-AA1081,PL,100,3158,2022/06/01,4.0,800.0,,1
100-208-AA1081,PL,100,3158,2022/06/01,3.0,800.0,,1
100-208-AA1081,PL,100,3861,2018/06/06,0.0,700.0,,1
100-208-AA1081,PL,100,9999,2000/01/01,0.0,700.0,,1
100-208-AA1150,PL,100,3861,2019/06/04,0.0,700.0,,1
100-208-AA1150,PL,100,9999,2000/01/01,0.0,700.0,,1
100-208-AA1240,PL,100,3861,2018/09/06,0.0,700.0,,1
100-208-AA1240,PL,100,9999,2000/01/01,0.0,700.0,,1
100-208-AA1333,PL,100,3861,2018/01/24,0.0,700.0,,1
100-208-AA1333,PL,100,9999,2000/01/01,0.0,700.0,,1
100-208-AA1531,PL,100,3861,2018/01/24,0.0,700.0,,1
100-208-AA1531,PL,100,9999,2000/01/01,0.0,700.0,,1
100-208-AA1680,PL,100,3861,2018/04/25,0.0,700.0,,1
100-208-AA1680,PL,100,9999,2000/01/01,0.0,700.0,,1
100-208-AA2200,PL,100,3861,2020/04/30,0.0,1200.0,,1
100-208-AA2200,PL,100,9999,2000/01/01,0.0,1200.0,,1
100-208-AA2300,PL,100,3861,2021/03/22,0.0,1500.0,,1
100-208-AA2300,PL,100,9999,2000/01/01,0.0,1500.0,,1
100-208-AA2350,PL,100,3861,2019/04/18,0.0,2000.0,,1
100-208-AA2350,PL,100,9999,2000/01/01,0.0,2000.0,,1
100-208-AA2500,PL,100,3861,2019/11/25,0.0,2000.0,,1
100-208-AA2500,PL,100,9999,2000/01/01,0.0,2000.0,,1
100-220QA1150,AO,100,3994,2016/03/08,0.0,1832.0,,1
100-220QA1240,AO,100,3994,2016/03/08,0.0,1832.0,,1
100-220QB1150,AO,100,3994,2016/03/08,0.0,1832.0,,1
100-220QB1240,AO,100,3994,2016/03/08,0.0,1661.0,,1
100-220TA0700,AO,100,3994,2023/11/01,0.0,5299.0,,1
100-220TA0700,AO,100,3994,2017/12/21,0.0,5286.0,,1
100-220TA0700,AO,100,9999,2000/01/01,0.0,5286.0,,1
100-220TB0700,AO,100,3994,2023/11/01,0.0,4199.0,,1
100-220TB0700,AO,100,3994,2017/12/21,0.0,4186.0,,1
100-220TB0700,AO,100,9999,2000/01/01,0.0,4186.0,,1
100-226,L2,100,3994,2016/02/26,0.0,539.0,,1
100-226,L2,100,9999,2000/01/01,0.0,539.0,,1
100-226,PA,100,3994,2016/04/01,0.0,189.0,,1
100-226,PA,100,9999,2000/01/01,0.0,189.0,,1
100-226BA,L2,100,3994,2016/02/26,0.0,539.0,,1
100-226BA,L2,100,9999,2000/01/01,0.0,539.0,,1
100-226BB,L2,100,3994,2019/07/01,0.0,6500.0,,1
100-226BB,L2,100,9999,2000/01/01,0.0,6500.0,,1
100-226BB,PA,100,3994,2019/07/01,0.0,189.0,,1
100-226BB,PA,100,9999,2000/01/01,0.0,189.0,,1
100-226DA,L,100,3994,2016/03/30,0.0,8110.0,,1
100-226DA,L,100,9999,2000/01/01,0.0,8110.0,,1
100-236AB,TH,100,3052,2016/02/26,0.0,5995.0,,1
100-236AB,TH,100,9999,2000/01/01,0.0,5995.0,,1
100-271EA,PL,100,3982,2016/03/08,0.0,52.8,,1
100-271LA,PA,100,1515,2022/08/25,0.0,15.0,,1
100-271LA,PA,100,1515,2016/03/24,0.0,0.0,,1
100-276B,L,100,3990,2021/07/21,5.0,6500.0,,1
100-276B,L,100,9999,2000/01/01,0.0,6500.0,,1
100-303AA071288N,PA,100,1515,2022/08/24,0.0,2657.0,,1
100-303AA071288N,PA,100,1515,2019/01/16,0.0,2642.0,,1
100-303AA071288N,PA,100,1515,2019/01/16,10.0,224.0,,1
100-303AA071288N,PA,100,9999,2000/01/01,0.0,2642.0,,1
100-303AA080288N,PA,100,1515,2022/08/24,0.0,215.0,,1
100-303AA080288N,PA,100,1515,2013/06/01,0.0,200.0,,1
