HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN,INSTID,INSTDT,UPDTID,UPDTDT
100-105BA38,1,10,PA,1515,仮,0,0,40,0,10,,,2,2,,,,
100-105BB26,1,10,PA,1515,仮,0,0,30,0,10,,,2,2,,,,
100-105BB30,1,10,PA,1515,仮,0,0,40,0,10,,,2,2,,,,
100-105BB38,1,10,PA,1515,仮,0,0,40,0,10,,,2,2,,,,
100-110C,1,10,PA,無し,仮,0,0,0,0,10,,,2,2,,,,
100-12A01DA30,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
100-201B0800,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201B0800,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201B0930,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201B0930,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201B1150,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201B1150,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201B1333,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201B1333,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201C1081,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201C1081,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201C1150,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201C1150,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201C1240,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201C1240,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201C1333,1,10,L,3254,仮,0,0,0,0,10,,,2,2,,,,
100-201C1333,2,20,AO（無）,3070,仮,0,0,0,0,10,,,2,2,,,,
100-201E1150,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201E1150,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201F1081,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201F1081,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201F1150,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201F1150,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201F1240,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201F1240,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201F1333,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201F1333,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201F1411,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201F1411,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-201JA1333T,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-201JA1333T,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202A0800,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202A0800,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
