No.,記入日,記入者,発注部番（数字・ｶﾀｶﾅは半角）,品名（数字・ｶﾀｶﾅは半角）,個数,単価,納期（必須）,工具受領日,業者コード,業者名略称,合計金額,備考,注文書発行日,注文番号,検収日,部品注文番号／組立番号／製作依頼番号,完成部番,比率（分子（素材））,比率（分母（完成部番））,備考
36,8/2,宮木,SKD11-7X50X200,SKD11 7(±0.02)×50(±0.1)×200(±0.1) ,64,"2,400",2018/8/8,8/10着,3045,大同DMソリューション（株）,"153,600",8/3植木殿メール,2018/8/3,E3147365,2018/8/9,,,,,
37,8/2,宮木,SKD11-7.9X50X200,SKD11 7.9(±0.02)×50(±0.1)×200(±0.1) ,115,"2,400",2018/8/8,8/23着,3045,大同DMソリューション（株）,"276,000",8/3植木殿メール,2018/8/3,E3147366,2018/8/9,,,,,
38,8/2,宮木,SKD11-8.2X50X200,SKD11 8.2(±0.02)×50(±0.1)×200(±0.1) ,55,"2,500",2018/8/8,8/27着,3045,大同DMソリューション（株）,"137,500",8/3植木殿メール,2018/8/3,E3147370,2018/8/9,,,,,
39,8/3,宮木,S50C-30X60X60,S50C 6F 30+-0.1X60+-0.1X60+-0.1,4,870,2018/8/6,8/6着,3315,京阪プレ－ト,"3,480",8/3阪本殿メール,2018/8/2,E3149313,2018/8/10,,,,,正）S50C-30X60X80
40,8/3,宮木,S50C-25X60X150,S50C 6F 25+-0.1X60+-0.1X150+-0.1,4,"1,160",2018/8/6,8/6着,3315,京阪プレ－ト,"4,640",8/3阪本殿メール,2018/8/2,E3149314,2018/8/10,,,,,
41,8/6,宮木,S50C-20X130X200,S50C 6F 20+-0.1X130+-0.1X200+-0.1,3,"1,970",2018/8/7,8/7着,3315,京阪プレ－ト,"5,910",8/6万代殿メール,2999/1/1,E-------,,,,,,正）E3149335
42,8/6,宮木,SKD11-6X50X200,SKD11 6.0(±0.02)×50(±0.1)×200(±0.1),61,"2,540",2018/8/17,8/24着,3315,京阪プレ－ト,"154,940",8/6植木殿メール,2018/8/7,E3151067,2018/8/28,,,,,
42,8/6,宮木,SKD11-7.9X50X200,SKD11 7.9(±0.02)×50(±0.1)×200(±0.1)  ,200,"2,530",2018/8/17,済,3315,京阪プレ－ト,"506,000",8/6植木殿メール,2018/8/7,E3151068,2018/9/8,,,,,
43,8/6,宮木,SKD11-9.8X256X180,SKD11 9.8(±0.02)×256(±0.1)×180(±0.1) ,45,"8,000",2018/8/30,済,3045,大同DMソリューション（株）,"360,000",8/6阪本（株）殿メール,2018/8/7,E3151100,2018/8/20,,,,,
44,8/6,宮木,SK3-8X50X390,SK3 4F 8(±0.1)X50(±0.1)X390,10,"2,690",2018/8/17,済,3315,京阪プレ－ト,"26,900",8/7万代殿メール,2018/8/8,E3152891,2018/8/21,,,,,
45,8/20,宮木,SS400-11X180X180,SS400-11X180X180 6F,5,"1,950",2018/8/22,済,3315,京阪プレ－ト,"9,750",8/20植木殿メール,2018/8/20,E3163167,2018/8/28,,,,,
46,8/21,宮木,SKD11-9X256X180,SKD11 9.0(±0.02)×256(±0.1)×180(±0.1),20,"8,400",2018/8/31,済,3315,京阪プレ－ト,"168,000",8/21阪本殿メール,2018/8/22,E3167609,2018/8/30,,,,,
47,8/21,宮木,SKD11-5.8X50X200,SKD11 5.8(±0.02)×50(±0.1)×200(±0.1) ,60,"2,400",2018/8/29,済,3045,大同DMソリューション（株）,"144,000",8/21植木殿メール,2018/8/22,E3167610,2018/9/19,,,,,
48,8/21,宮木,SKD11-6.0X50X200,SKD11 6.0(±0.02)×50(±0.1)×200(±0.1) ,50,"2,400",2018/8/29,済,3045,大同DMソリューション（株）,"120,000",8/21植木殿メール,2018/8/22,E3167611,2018/9/19,,,,,
49,8/21,宮木,SKD11-6.7X50X200,SKD11 6.7(±0.02)×50(±0.1)×200(±0.1) ,65,"2,400",2018/8/29,済,3045,大同DMソリューション（株）,"156,000",8/21植木殿メール,2018/8/22,E3167612,2018/8/30,,,,,
50,8/21,宮木,SKD11-7.9X50X200,SKD11 7.9(±0.02)×50(±0.1)×200(±0.1) ,60,"2,400",2018/8/29,済,3045,大同DMソリューション（株）,"144,000",8/21植木殿メール,2018/8/22,E3167613,2018/9/19,,,,,
51,8/21,宮木,S50C-3.5X220X380,S50C 4F 3.5+-0.1X220+-0.1X380+-0.1,4,"3,950",2018/8/23,済,3315,京阪プレ－ト,"15,800",8/21竹本殿メール,2018/8/22,E3167614,2018/8/28,,,,,
52,8/22,宮木,SKD11-4.8X50X200,SKD11 4.8(±0.02)×50(±0.1)×200(±0.1) ,110,"2,680",2018/9/20,済,3315,京阪プレ－ト,"294,800",8/22植木殿メール,2018/8/23,E3169419,2018/9/13,,,,,
53,8/22,宮木,SKD11-6X50X200,SKD11 6(±0.02)×50(±0.1)×200(±0.1) ,50,"2,690",2018/9/20,済,3315,京阪プレ－ト,"134,500",8/22植木殿メール,2018/8/23,E3169420,2018/9/13,,,,,
54,8/22,宮木,SKD11-7.9X50X200,SKD11 7.9(±0.02)×50(±0.1)×200(±0.1) ,60,"2,770",2018/9/20,済,3315,京阪プレ－ト,"166,200",8/22植木殿メール,2018/8/23,E3169421,2018/9/21,,,,,
55,8/23,宮木,S50C-32X150X300,S50C 6F 32+-0.1X150+-0.1X300+-0.1,2,"4,810",2018/8/27,済,3315,京阪プレ－ト,"9,620",8/23植木殿メール,2018/8/23,E3169434,2018/8/30,,,,,
56,8/23,宮木,S60C-40X106.9X20,S60C 4F 40+-0.1X106.9+-0.1X20+-0.05,4,"1,190",2018/8/28,済,3315,京阪プレ－ト,"4,760",8/23森野殿メール,2018/8/23,E3169444,2018/8/30,,,,,
57,8/23,宮木,S50C-300X300X35,S50C 6F 300+-0.1X300+-0.1X35+-0.1,1,"8,710",2018/8/27,済,3315,京阪プレ－ト,"8,710",8/23森野殿メール,2018/8/23,E3169445,2018/8/30,,,,,
58,8/31,宮木,FC250-30X50X100,FC250 6F  30+-0.1X50+-0.1X100+-0.1,2,"1,510",2018/9/3,済,3315,京阪プレ－ト,"3,020",8/31万代殿メール,2018/8/31,E3180833,2018/9/13,,,,,
59,9/10,宮木,SKD11-23X200X200,SKD11 23(±0.1)×200(±0.1)×200(±0.1) ,3,"9,420",2018/9/12,済,3315,京阪プレ－ト,"28,260",9/10阪本殿メール,2018/9/10,E3194255,2018/9/14,,,,,
60,9/14,宮木,SS400-12X44X65,SS400-12X44X65 6F,7,540,2018/9/19,済,3315,京阪プレ－ト,"3,780",9/14植木殿メール,2018/9/18,E3204780,2018/9/25,,,,,
61,9/19,宮木,S50C-32X150X300,S50C 6F 32+-0.1X150+-0.1X300+-0.1,2,"4,810",2018/9/21,済,3315,京阪プレ－ト,"9,620",9/19阪本殿メール,2018/9/19,E3206708,2018/9/25,,,,,
62,9/21,宮木,SK3-6.5X50X390,SK3 4F 6.5(±0.05)X50(±0.1)X390,3,"2,740",2018/9/25,済,3315,京阪プレ－ト,"8,220",9/21万代殿メール,2018/9/22,E3213669,2018/9/28,,,,,
63,10/2,宮木,SKD11-7.9X50X200,SKD11 6.15(±0.02)×50(±0.1)×200(±0.1) ,60,"2,400",2018/10/9,済,3045,大同DMソリューション（株）,"144,000",10/2植木殿メール,2018/10/3,E3227592,2018/10/17,,,,,
64,10/2,宮木,SKD11-6.7X50X200,SKD11 6.7(±0.02)×50(±0.1)×200(±0.1),50,"2,400",2018/10/9,済,3045,大同DMソリューション（株）,"120,000",10/2植木殿メール,2018/10/3,E3227593,2018/10/17,,,,,
65,10/2,宮木,SKD11-7.6X50X200,SKD11 7.6(±0.02)×50(±0.1)×200(±0.1) ,30,"2,400",2018/10/9,済,3045,大同DMソリューション（株）,"72,000",10/2植木殿メール,2018/10/3,E3227594,2018/10/17,,,,,
