No.,記入日,記入者,発注部番（数字・ｶﾀｶﾅは半角）,品名（数字・ｶﾀｶﾅは半角）,個数,単価,納期（必須）,工具受領日,業者コード,業者名略称,合計金額,備考,注文書発行日,注文番号,検収日,部品注文番号／組立番号／製作依頼番号,完成部番,比率（分子（素材））,比率（分母（完成部番））,備考
221,9/27,植木,FC250-30X50X100,FC250-30X50X100 6F,2,"1,580",2019/10/1,済,3315,京阪プレート,"3,160",9/27植木殿メール,2019/9/27,E3713805,2019/10/8,PF-9309210,KS91-03401DA,1 ,1 ,
222,9/27,植木,FC200-22X54X60,FC200-22X54X60 6F 3X4-C2,12,"1,210",2019/10/1,済,3315,京阪プレート,"14,520",9/27植木殿メール,2019/9/27,E3713806,2019/10/8,"10/7次19DKK019 19DKK020,CMR-19203",2188-236AA,1 ,1 ,
223,9/27,植木,S50C-20X130X170,S50C-20X130X170 6F,2,"1,870",2019/10/1,済,3315,京阪プレート,"3,740",9/27植木殿メール,2019/9/27,E3713807,2019/10/8,11/8次　19DKL032,E-26820DA38,1 ,1 ,
224,9/27,植木,SCM440-21X70X250,SCM440-21X70X250 6F,2,"3,700",2019/10/1,済,3315,京阪プレ－ト,"7,400",9/27植木殿メール,2019/9/27,E3713808,2019/10/8,11/8次　19DKL032,161-438AB,1 ,1 ,
225,9/30,植木,SS400-50X60X390,SS400-50X60X390 6F,1,"4,110",2019/10/2,済,3315,京阪プレ－ト,"4,110",9/30植木殿メール,2019/9/30,E3715565,2019/10/8,部品注文　PJ-0307102,K-28034KA,1 ,2 ,製作依頼:2個　2個どり
226,10/3,植木,FC200-22X54X60,FC200-22X54X60 6F 3X4-C2,3,"1,310",2019/10/8,済,3315,京阪プレ－ト,"3,930",10/3植木殿メール,2019/10/7,E3724853,2019/10/11,"10/7次19DKK019 19DKK020,CMR-19203",2188-236AA,1 ,1 ,作り直し分
227,10/8,植木,SKD11-15X31X48,SKD11-15X31X48 6F,23,"1,010",2019/10/10,済,3315,京阪プレート,"23,230",10/8植木殿メール,2019/10/8,E3727691,2019/10/15,11/8次　19DKL032,6207-507AC34,1 ,1 ,製作依頼：20個　予備：3個
228,10/9,阪本,S50C-32X150X300,S50C-32X150X300 6F,2,"5,000",2019/10/10,済,3315,京阪プレート,"10,000",10/9阪本殿メール,2019/10/9,E3730358,2019/10/23,"11月2,3次、L110,L111",KS91-00829CA,2 ,1 ,
229,10/10,万代,SK3-6.5X50X390,SK3-6.5X50X390 4F,3,"2,840",2019/10/15,済,3315,京阪プレート,"8,520",10/10万代殿メール,2019/10/10,E3732936,2019/10/23,12/4次 19DKM012,YCF-162AA,3 ,7 ,製作依頼：11個　7個取り
230,10/10,植木,SS400-19X21X78,SS400-19X21X78 6F,3,630,2019/10/16,済,3315,京阪プレート,"1,890",10/10植木殿メール,2019/10/10,E3732937,2019/10/23,11/5次　L001,DC-7124CA,1 ,1 ,
231,10/10,植木,SS400-23X48X98,SS400-23X48X98 6F,3,830,2019/10/16,済,3315,京阪プレート,"2,490",10/10植木殿メール,2019/10/10,E3732938,2019/10/23,11/5次　L001,DC-7124DA,1 ,1 ,
232,10/10,植木,S50C-22X120X200,S50C-22X120X200 6F 4-C1,1,"2,240",2019/10/16,済,3315,京阪プレート,"2,240",10/10植木殿メール,2019/10/10,E3732939,2019/10/23,PE-2278805,KS91-00301EA34,1 ,1 ,
233,10/10,植木,S50C-20X30X40,S50C-20X30X40 6F,3,590,2019/10/16,済,3315,京阪プレート,"1,770",10/10植木殿メール,2019/10/10,E3732940,2019/10/23,PE-2278805,"KS91-00302BA34,KS91-00302BB34,
KS91-00302BC34",1 ,1 ,3種類、製作依頼：各1個
234,10/10,植木,SS400-45X180X214 ,SS400-45X180X214 6F 4-C2,2,"5,230",2019/10/16,済,3315,京阪プレート,"10,460",10/10植木殿メール,2019/10/10,E3732941,2019/10/23,"19DKL043,L044",SPL-2357EA,1 ,1 ,
235,10/10,植木,SS400-12X55X60,SS400-12X55X60 6F,8,620,2019/10/16,済,3315,京阪プレート,"4,960",10/10植木殿メール,2019/10/10,E3732942,2019/10/23,"19DKL043,L044",SPL-2357DA,1 ,1 ,
236,10/10,植木,SS400-25X310X336,SS400-25X310X336 6F,2,"8,050",2019/10/16,済,3315,京阪プレート,"16,100",10/10植木殿メール,2019/10/10,E3732943,2019/10/23,"19DKL043,L044",SPL-2357AA,1 ,1 ,
237,10/11,植木,S50C-20X130X200,S50C-20X130X200 6F,1,"2,050",2019/10/15,済,3315,京阪プレート,"2,050",10/11植木殿メール,2019/10/11,E3735261,2019/10/23,"19DKK021,K022",E-26820EA38,1 ,2 ,
238,11/8,植木,SKD11-6X30X40,SKD11-6X30X40 6F 4-C1,32,"1,230",2019/11/11,済,3315,京阪プレート,"39,360",11/7植木殿メール,2019/11/7,E3765662,2019/11/15,PJ-0318307,K-25508AA,1 ,1 ,
239,11/8,植木,A5052-45X67X76,A5052-45X67X76 6F,5,"1,170",2019/11/11,済,3315,京阪プレート,"5,850",11/7植木殿メール,2019/11/7,E3765663,2019/11/15,PE-2264701,E-19001FB,1 ,1 ,
240,11/8,植木,SS400-4X18X25,SS400-4X18X25 6F,12,660,2019/11/11,済,3315,京阪プレート,"7,920",11/7植木殿メール,2019/11/7,E3765664,2019/11/15,12/7次　19SKM115　19SKM116,3242-653CA　,1 ,1 ,
241,11/8,植木,S45C-20X130X200,S45C-20X130X200 6F,1,"1,290",2019/11/11,済,3315,京阪プレート,"1,290",11/7植木殿メール,2019/11/7,E3765665,2019/11/15,12/7次　19DKM045　19DKM053,E-26820EA38,1 ,2 ,製作依頼:2個　1枚で2個どり
242,11/8,植木,S50C-40X70X90,S50C-40X70X90 4F2G,1,"1,790",2019/11/12,済,3315,京阪プレート,"1,790",11/7植木殿メール,2019/11/7,E3765666,2019/11/15,CMR-19236,TS-5353AA,1 ,1 ,
243,11/8,植木,S50C-19X40X125,S50C-19X40X125 6F,1,850,2019/11/11,済,3315,京阪プレート,850,11/7植木殿メール,2019/11/7,E3765667,2019/11/15,CMR-19236,TS-5353BA,1 ,1 ,
244,11/8,植木,S50C-16X125X125,S50C-16X125X125 4F2G,1,"1,770",2019/11/12,済,3315,京阪プレート,"1,770",11/7植木殿メール,2019/11/7,E3765668,2019/11/15,CMR-19236,TS-5353CA,1 ,1 ,
245,11/8,植木,S45C-11X20X25,"S45C-11(0,-0.05)X20X25 6F",6,730,2019/11/11,済,3315,京阪プレート,"4,380",11/7植木殿メール,2019/11/7,E3765669,2019/11/15,12/4次　19DKM012,KD65-00924BA,1 ,1 ,
246,11/8,植木,S45C-25X39X69,"S45C-25X39(0.1,0)X69 6F",5,700,2019/11/11,済,3315,京阪プレート,"3,500",11/7植木殿メール,2019/11/7,E3765670,2019/11/15,PE-2282209,435-551AA,1 ,1 ,
247,11/8,植木,S45C-7X7X16,"S45C-7(-0.03,-0.05)X7X16 6F2G　4-Ｃ0.5",5,"1,920",2019/11/12,済,3315,京阪プレート,"9,600",11/7植木殿メール,2019/11/7,E3765671,2019/11/15,PE-2282210,435-552AA,1 ,1 ,
248,11/8,植木,SCM440-21X70X250,SCM440-21X70X250 6F,2,"3,700",2019/11/12,済,3315,京阪プレート,"7,400",11/7植木殿メール,2019/11/7,E3765672,2019/11/15,12/4次　19DKM012,161-438AB,1 ,1 ,
249,11/8,植木,S55C-4X40X100,S55C-4(±0.05)X40X100 6F,9,670,2019/11/11,済,3315,京阪プレート,"6,030",11/7植木殿メール,2019/11/7,E3765673,2019/11/15,CMR-19250,TS-5344TA,1 ,4 ,製作依頼:32個　1枚で4個どり　予備:4個
250,11/8,植木,A2017-21X23.8X36,A2017-21X23.8X36 6F,15,540,2019/11/12,済,3315,京阪プレート,"8,100",11/8植木殿メール,2019/11/12,E3770290,2019/11/21,"PZ-0015201,PZ-0015701,PZ-0015202",TS-5314AB,1 ,1 ,
251,11/8,植木,A2017-4.8X19.2X23.2,A2017-4.8X19.2X23.2,15,679,2019/11/12,済,1136,白銅（株）,"10,185",11/8植木殿メール,2019/11/12,E3770291,2019/11/21,"PZ-0015201,PZ-0015701,PZ-0015202",TS-5314BB,1 ,1 ,
252,11/20,万代,SK3-8X50X390,SK3-8X50X390 4F,30,"2,590",2019/11/25,済,3315,京阪プレート,"77,700",11/20万代殿メール,2019/11/21,E3787556,2019/11/28,"PE-2279708,PJ-0320904,PE-2282701","YS65-03701AB,YCM-204C,YCM-135C",1 ,4 ,1枚で４個取り
253,11/22,植木,SKH51-2.5X50X100,"SKH51-2.5(-0.01,-0.03)X50X100 4F2G ",4,"7,000",2019/12/2,済,3315,京阪プレート,"28,000",11/22植木殿メール,2019/11/25,E3791495,2019/12/3,"PZ-0015201,PZ-0015701,PZ-0015202",TS-5314DA,1 ,20 ,1枚で約10個どり
254,11/25,植木,SKH51-2.5X130X140,SKH51-2.5X130X140,2,"3,000",2019/12/2,済,2829,寺内製作所,"6,000",11/25植木殿メール,2019/11/25,E3791628,2019/12/3,"PZ-0015201,PZ-0015701,PZ-0015202",TS-5314DA,1 ,30 ,予備
255,11/26,新谷,SK3-6.7X60X390,SK3-6.7X60X390 4F,4,"3,540",2019/12/2,済,3315,京阪プレート,"14,160",11/26新谷殿メール,2019/11/27,E3795710,2019/12/9,CMR-19249,TS-5258PB,1 ,16 ,製作依頼:49個　1枚で16個どり　予備:15個
256,11/28,植木,FC250-10.2X110X310,FC250-10.2(+0.1-0)X110X310 2F,15,"3,950",2019/12/2,済,3315,京阪プレート,"59,250",11/28植木殿メール,2019/12/2,E3803998,2019/12/9,"19SKL123,L124",4305-601EA14,7 ,1 ,2台分
257,12/5,万代,SK3-5.8X60X390,SK3-5.8X60X390 2G,5,"2,550",2019/12/6,済,3045,大同DMソリューション（株）,"12,750",12/5万代殿メール,2019/12/6,E3813606,2019/12/16,"PE-2287902,CMR-19263(TS-5345AA)","YCF-168AA,TS-5345AA",5 ,17 ,YCF-168AA 22個 TS-5345AA 20個　1枚で17個どり
258,12/23,植木,S50C-10X180X200,S50C-10X180X200 6F 4-C5,1,"1,910",2020/1/7,済,3315,京阪プレート,"1,910",12/23植木殿メール,2019/12/23,E3842073,2020/1/8,PE-2287909,KD91-02801AB,1 ,1 ,
259,12/23,植木,S50C-3X46X180,S50C-3X46X180 6F,1,900,2020/1/7,済,3315,京阪プレート,900,12/23植木殿メール,2019/12/23,E3842074,2020/1/8,PE-2287909,KD91-02801BB33,1 ,1 ,
260,12/23,植木,S45C-22X120X200,S50C-22X120X200 6F 4-C1,2,"2,180",2020/1/7,済,3315,京阪プレート,"4,360",12/23植木殿メール,2019/12/23,E3842075,2020/1/8,PE-2288604,KS90-00301EA34,1 ,1 ,
261,12/23,植木,SKD11-20X30X40,SKD11-20X30X40 6F,6,"1,120",2020/1/7,済,3315,京阪プレート,"6,720",12/23植木殿メール,2019/12/23,E3842076,2020/1/8,PE-2288604,"KS91-00302BA34,KS91-00302BB34,
KS91-00302BC34",1 ,1 ,製作依頼各2個づつ
262,12/23,植木,SKD11-6X30X40,SKD11-6X30X40 6F 4-C1,16,"1,270",2020/1/7,済,3315,京阪プレート,"20,320",12/23植木殿メール,2019/12/23,E3842077,2020/1/8,PJ-0326401,K-25508AA,1 ,1 ,
263,12/23,植木,SS400-25.5X45X70,SS400-25.5X45X70 6F,4,680,2020/1/7,済,3315,京阪プレート,"2,720",12/23植木殿メール,2019/12/24,E3845373,2020/1/8,CMR-19301,"SPL-2825CA,DA",1 ,1 ,
264,12/23,植木,SS400-32X34X40,SS400-32X34X40 6F 全周C1,4,720,2020/1/7,済,3315,京阪プレート,"2,880",12/23植木殿メール,2019/12/24,E3845374,2020/1/8,CMR-19301,SPL-2825BA,1 ,1 ,
265,12/26,阪本,SS400-25X310X336,SS400-25X310X336 6F,1,"8,050",2020/1/7,済,3315,京阪プレート,"8,050",12/26阪本殿メール,2019/12/26,E3851653,2020/1/10,20SKA137,SPL-2357AA,1 ,1 ,
266,12/26,阪本,SS400-12X55X60,SS400-12X55X60 6F,4,640,2020/1/7,済,3315,京阪プレート,"2,560",12/26阪本殿メール,2019/12/26,E3851654,2020/1/10,20SKA137,SPL-2357DA,1 ,1 ,
267,12/26,阪本,SS400-45X180X214 ,SS400-45X180X214 6F 4-C2,1,"5,230",2020/1/7,済,3315,京阪プレート,"5,230",12/26阪本殿メール,2019/12/26,E3851655,2020/1/10,20SKA137,SPL-2357EA,1 ,1 ,
268,1/6,植木,S50C-20X130X200,S50C-20X130X200 6F,1,"2,050",2020/1/8,済,3315,京阪プレート,"2,050",1/6植木殿メール,2020/1/6,E3859112,2020/1/14,20DKB013　20DKB014,E-26820EA38,1 ,2 ,1枚で2個どり
269,1/6,植木,FC250-30X50X100,FC250-30X50X100 6F,1,"1,580",2020/1/8,済,3315,京阪プレート,"1,580",1/6植木殿メール,2020/1/6,E3859113,2020/1/14,PE-2289017,KS91-03401DA,1 ,1 ,
270,1/6,植木,SS400-16X40X75,SS400-16X40X75 6F 2-C3,2,650,2020/1/8,済,3315,京阪プレート,"1,300",1/6植木殿メール,2020/1/6,E3859114,2020/1/14,2/4次　20SKB101,SPL-2405FC,1 ,1 ,
271,1/6,植木,SS400-4.5X40X75,SS400-4.5X40X75 6F,2,660,2020/1/8,済,3315,京阪プレート,"1,320",1/6植木殿メール,2020/1/6,E3859115,2020/1/14,2/4次　20SKB101,SPL-2405GA,1 ,1 ,
272,1/6,植木,SS400-16X50X57,SS400-16X50X57 6F 2-C5,2,660,2020/1/8,済,3315,京阪プレート,"1,320",1/6植木殿メール,2020/1/6,E3859116,2020/1/14,2/4次　20SKB101,SPL-2405HA,1 ,1 ,
273,1/6,植木,SS400-38X65X182,SS400-38X65X182 6F,2,"1,890",2020/1/8,済,3315,京阪プレート,"3,780",1/6植木殿メール,2020/1/6,E3859117,2020/1/14,2/4次　20SKB101,SPL-2498AA,1 ,1 ,
274,1/6,植木,SKD11-9.5X25X11.2,SKD11-9.5X25X11.2 6F,6,"1,130",2020/1/8,済,3315,京阪プレート,"6,780",1/6植木殿メール,2020/1/6,E3859118,2020/1/14,"3/3次　20SKC107,PE-2292426,PE-2292427","KS91-02301QA,KS91-02301RA",1 ,1 ,
275,1/8,万代,SK3-5.7X40X390,SK3-5.7X40X390 4F,4,"2,610",2020/1/9,済,3315,京阪プレート,"10,440",1/8万代殿メール,2020/1/8,E3865625,2020/1/17,CMR-19304,TS-5369AA,4 ,48 ,1枚で12個取り
276,1/8,万代,SKD11-4.8X60X390,SKD11-4.8X60X390 2F 2G,8,"6,580",2020/1/10,済,3315,京阪プレート,"52,640",1/8万代殿メール,2020/1/8,E3865626,2020/1/17,CMR-19285,"TS-5366AA30,BA30",8 ,56 ,1枚で7個取り
277,1/10,森野,S50C-64X120X6.35,S50C-64X120X6.35 6F 2G,1,"1,820",2020/1/11,済,3315,京阪プレート,"1,820",1/8森野殿メール,2020/1/15,E3868710,2020/1/21,CMR-19284,TS-5365BA30,1 ,5 ,1枚で5個取り
278,1/15,阪本,SS400-4.5X100X100,SS400-4.5X100X100 6F,1,840,2020/1/16,済,3315,京阪プレート,840,1/15阪本殿メール,2020/1/15,E3868711,2020/1/21,CMR-20013,KF20-06401DC,1 ,1 ,
279,1/15,阪本,SS400-4.5X41X45,SS400-4.5X41X45 6F 4-C1,1,610,2020/1/16,済,3315,京阪プレート,610,1/15阪本殿メール,2020/1/15,E3868712,2020/1/21,CMR-20013,KF20-06401EB,1 ,1 ,
280,1/15,森野,SK3-41X33X4 6F,SK3-41X33X4 6F,1,"1,070",2020/1/17,済,3315,京阪プレート,"1,070",1/15森野殿メール,2020/1/15,E3868732,2020/1/21,CMR-19303,TS-5361BA,1 ,1 ,
281,1/15,森野,SK3-41X80X4 6F,SK3-41X80X4 6F,36,940,2020/1/17,済,3315,京阪プレート,"33,840",1/15森野殿メール,2020/1/15,E3868733,2020/1/21,CMR-19303,TS-5361AA,1 ,1 ,
282,1/16,阪本,SKD11-23X200X200,SKD11-23X200X200 6F,2,"9,740",2020/1/20,済,3315,京阪プレート,"19,480",1/16阪本殿メール,2020/1/17,E3873965,2020/1/29,"2020年2月分 20SKB166,167,168,169",KS64-01919FA,6 ,1 ,
283,1/17,植木,FC250-30X50X100,FC250-30X50X100 6F,2,"1,580",2020/1/21,済,3315,京阪プレート,"3,160",1/17植木殿メール,2020/1/17,E3874163,2020/1/29,PE-2292431,KS91-03401DA,1 ,1 ,
284,1/17,植木,S45C-20X130X200,S45C-20X130X200 6F,4,"2,050",2020/1/21,済,3315,京阪プレート,"8,200",1/17植木殿メール,2020/1/17,E3874164,2020/1/29,20DKC011～C018　8台分,E-268820EA38,1 ,2 ,1枚で2個どり　
285,1/20,阪本,SKD11-13.9X200X200,SKD11-13.9X200X200 6F,8,"6,570",2020/1/22,済,3315,京阪プレート,"52,560",1/20阪本殿メール,2020/1/21,E3878291,2020/1/29,"2020年2月分 20SKB166,167,168,169","TS-4668TA-01AB,BB",1 ,1 ,
286,1/20,阪本,SKD11-10.9X200X200,SKD11-10.9X200X200 6F,10,"5,980",2020/1/22,済,3315,京阪プレート,"59,800",1/20阪本殿メール,2020/1/21,E3878292,2020/1/29,"2020年2月分 20SKB166,167,168,169","TS-4668ZA-01AB,BB",1 ,1 ,
287,1/20,阪本,TS-4668TA-01AB,TS-4668TA-01AB,6,"1,500",2020/2/10,済,1978,山村工作所,"9,000",1/20阪本殿メール,2020/1/21,E3878293,2020/1/31,"2020年2月分 20SKB166,167,168,169",KD64-01627DB,1 ,60 ,1枚で60個どり　
288,1/20,阪本,TS-4668TA-01BB,TS-4668TA-01BB,2,"2,400",2020/2/10,済,1978,山村工作所,"4,800",1/20阪本殿メール,2020/1/21,E3878294,2020/1/31,"2020年2月分 20SKB166,167,168,169",KD64-01627DB,1 ,60 ,1枚で60個どり　
289,1/20,阪本,TS-4668ZA-01AB,TS-4668ZA-01AB,8,"1,500",2020/2/10,済,1978,山村工作所,"12,000",1/20阪本殿メール,2020/1/21,E3878295,2020/1/31,"2020年2月分 20SKB166,167,168,169",KD64-01627AB,1 ,60 ,1枚で60個どり　
290,1/20,阪本,TS-4668ZA-01BB,TS-4668ZA-01BB,2,"2,400",2020/2/10,済,1978,山村工作所,"4,800",1/20阪本殿メール,2020/1/21,E3878296,2020/1/31,"2020年2月分 20SKB166,167,168,169",KD64-01627AB,1 ,60 ,1枚で60個どり　
291,2/5,植木,SCM440-12X25X69,SCM12X25X69 6F,2,"1,130",2020/2/7,済,3315,京阪プレート,"2,260",2/5植木殿メール,2020/2/5,E3901964,2020/2/13,PJ-0336601,12-211,1 ,1 ,製作依頼：1個　、1個予備
292,2/5,宮木,RE-KUT-224,NUMBER RING 77-532E 77-636E K-22403B,14,600,2020/2/7,済,3999,すいせい,"8,400",,2020/2/5,E3901973,2020/2/7,,,,, 
293,2/10,竹本,SKD11-6.0X50X200,SKD11-6.0X50X200 6F 2G,60,"2,700",2020/2/13,済,3315,京阪プレート,"162,000",2/10竹本殿メール,2020/2/10,E3907450,2020/2/21,3月4次,5541-505AB38,1 ,4 ,1枚で4個どり
294,2/12,竹本,SKD11-6.0X50X200,SKD11-6.0X50X200 6F 2G,60,"2,400",2020/2/15,済,3045,大同DMソリューション（株）,"144,000",2/10竹本殿メール,2020/2/13,E3911854,2020/2/25,3月4次,5541-505AB38,1 ,4 ,1枚で4個どり
295,2/19,植木,S45C-20X130X200,S45C-20X130X200 6F,1,"2,050",2020/2/21,済,3315,京阪プレート,"2,050",2/19植木殿メール,2020/2/19,E3919439,2020/2/28,4/1次　20DKD005,E-26820EA38,1 ,2 ,1枚で2個どり　
296,2/19,植木,FC250-58X90X100,FC250-58X90X100 6F,1,"3,450",2020/2/21,済,3315,京阪プレート,"3,450",2/19植木殿メール,2020/2/19,E3919440,2020/2/28,PF-9313909,5500-590DA,1 ,1 ,
297,2/25,万代,SK3-6.25X50X390,SK3-6.25X50X390 4F,5,"2,610",2020/2/27,済,3315,京阪プレート,"13,050",2/25万代殿メール,2020/2/26,E3927015,2020/2/28,4/3次 20SKD101,YS65-16801AB,5 ,12 ,1枚で12個どり　
298,2/25,万代,SK3-9.5X45X400,SK3-9.5X45X400 6F,3,"3,420",2020/2/27,済,3315,京阪プレート,"10,260",2/25万代殿メール,2020/2/26,E3927016,2020/2/28,PM-4828204,YS65-15801BA,3 ,42 ,1枚で42個どり　
299,3/5,阪本,S50C-22X120X200,S50C-22X120X200 6F 4-C1,3,"2,350",2020/3/9,済,3315,京阪プレート,"7,050",3/5阪本殿メール,2020/3/5,E3940968,2020/3/12,"PE-2302302, PE-2297613",KS91-00301EA34,1 ,1 ,
300,3/5,阪本,SKD11-20X30X40,SKD11-20X30X40 6F,10,"1,070",2020/3/9,済,3315,京阪プレート,"10,700",3/5阪本殿メール,2020/3/5,E3940969,2020/3/12,"PE-2302302, PE-2297613",KS-00302BA34,1 ,1 ,
301,3/5,宮木,RE-KUT-224,NUMBER RING 77-532E 77-636E K-22403B,7,600,2020/3/10,済,3999,すいせい,"4,200",,2020/3/5,E3940950,2020/3/9,,,,,
302,3/9,阪本,S50C-12X120X265,S50C-12X120X265 6F ,6,"2,200",2020/3/11,済,3315,京阪プレート,"13,200",3/9阪本殿メール,2020/3/10,E3948308,2020/3/17,CMR-20059,KF20-06702CA,1 ,1 ,
303,3/27,万代,SK3-5.8X60X390,SK3-5.8X60X390 4F 2G,2,"3,270",2020/4/2,済,3045,大同DMソリューション（株）,"6,540",3/27万代殿メール,2020/4/1,E3973023,2020/4/7,PE-2303902,YCF-168AA,1 ,17 ,1枚で17個どり　
304,4/6,宮木,RE-KUT-224,NUMBER RING 77-532E 77-636E K-22403B,13,600,2020/4/10,済,3999,すいせい,"7,800",,2020/4/6,E3977019,2020/4/8,,,,,
305,4/22,植木,SS400-9X50X100 ,SS400-9X50X100 6F,1,570,2020/5/1,済,3045,大同DMソリューション,570,4/22植木殿メール,2020/4/23,E3990247,2020/5/15,5/8次　20SKE115,DS61-03001TA,1 ,1 ,
306,4/22,植木,S45C-16X19.5X50,"S45C-16X19.5X50(0,-0.05) 6F 2-C2",1,600,2020/5/1,済,3045,大同DMソリューション,600,4/22植木殿メール,2020/4/23,E3990248,2020/5/15,5/8次　20SKE115,ES66-00208BA34,1 ,1 ,
307,4/22,植木,S45C-14X53X150,S45C-14X53X150 6F,1,730,2020/5/1,済,3045,大同DMソリューション,730,4/22植木殿メール,2020/4/23,E3990249,2020/5/15,5/8次　20SKE115,ES66-00209CA34,1 ,1 ,
308,5/8,植木,SS400-45X56X110,SS400-45X56X110 6F,3,830,2020/5/12,済,3045,大同DMソリューション,"2,490",5/8植木殿メール,2020/5/8,E3995436,2020/5/19,CMR-20094,KS91-04801BA,1 ,1 ,
309,5/8,植木,SS400-40X60X70,SS400-40X60X70 6F,3,680,2020/5/12,済,3045,大同DMソリューション,"2,040",5/8植木殿メール,2020/5/8,E3995437,2020/5/19,CMR-20094,KS91-04802CA,1 ,1 ,
310,5/8,植木,SS400-28X60X70,SS400-28X60X70 6F 4-C1,6,600,2020/5/12,済,3045,大同DMソリューション,"3,600",5/8植木殿メール,2020/5/8,E3995438,2020/5/19,6/7次　20SKF122,"1231-127AA,1231-127BA",1 ,1 ,各3個
311,5/8,植木,SS400-22X60X70,SS400-22X60X70 6F 4-C1,3,590,2020/5/12,済,3045,大同DMソリューション,"1,770",5/8植木殿メール,2020/5/8,E3995439,2020/5/19,6/7次　20SKF122,1231-127CA,1 ,1 ,
312,5/8,植木,SKD11-8X50X100,SKD11-8X50X100 6F,1,"1,340",2020/5/12,済,3045,大同DMソリューション,"1,340",5/8植木殿メール,2020/5/8,E3995441,2020/5/19,CMR-20096,KS91-00104CA,1 ,4 ,1枚で4個どり
313,5/8,植木,FC250-30X42.5X62,FC250-30X42.5X62 6F,2,"1,180",2020/5/11,済,3315,京阪プレート,"2,360",5/8植木殿メール,2020/5/8,E3995442,2020/5/19,"PM-4838902,PN-4838903","KD91-02102EA,KD91-02102CA",1 ,1 ,各1個
314,5/9,宮木,RE-KUT-224,NUMBER RING 77-532E 77-636E K-22403B,9,600,2020/5/12,済,3999,すいせい,"5,400",,2020/5/9,E3996388,2020/5/12,,,,,
315,5/18,阪本,C5191-14X33X35,C5191-14X33X35 6F,1,"1,983",2020/5/20,済,1136,白銅（株）,"1,983",5/18阪本殿メール,2020/5/19,E4001863,2020/5/22,PF-9315804,E-10401L24N,1 ,1 ,
316,5/19,阪本,S50C-22X120X200,S50C-22X120X200 6F 4-C1,1,"2,000",2020/5/21,済,3045,大同DMソリューション,"2,000",5/19阪本殿メール,2020/5/19,E4001901,2020/5/26,6/7次　20SKF121,KS91-00301BA38,1 ,1 ,
317,5/19,阪本,SKD11-20X30X40,SKD11-20X30X40 6F,3,"1,200",2020/5/21,済,3045,大同DMソリューション,"3,600",5/19阪本殿メール,2020/5/19,E4001902,2020/5/26,6/7次　20SKF121,"KS91-00302BA38,KS91-00302BB38,
KS91-00302BC38",1 ,1 ,
318,5/19,阪本,SKD11-20X21X30,SKD11-20X21X30 6F,2,"1,100",2020/5/21,済,3045,大同DMソリューション,"2,200",5/19阪本殿メール,2020/5/19,E4001904,2020/5/26,PM-4837401,K-11101B39,1 ,1 ,
319,5/19,西原,SKD11-6.35X205X50,SKD11-6.35X205X50,96,"2,400",2020/5/25,済,3045,大同DMソリューション,"230,400",,2020/5/19,E4001905,2020/5/26,5/5 SDR 5/6 SDR 6ER22 5/7 SDR 6ER22 5/8 6ER22,B331-603AA,,,
320,5/19,阪本,SK5-T0.46-102,SK5 HV520～560 T0.46-102 L97、1式,1,"3,000",2020/6/1,済,2829,寺内製作所,"3,000",5/19阪本殿メール,2020/5/20,E4003222,2020/5/27,CMR-20112,TS-5386DA,1 ,1 ,
321,5/21,森野,SKD11-6.35X50X250,SKD11-6.35X50X250,13,"2,900",2020/6/1,済,3045,大同DMソリューション,"37,700",5/21森野殿メール,2020/5/22,E4005683,2020/6/29,"7/2次 G010 , PM-4838705","5179-603AA,603-503B",,,"1枚で9個取れる , 1枚で4個取れる"
322,5/21,森野,SKD11-6.35X205X110,SKD11-6.35X205X110,12,"3,700",2020/6/1,済,3045,大同DMソリューション,"44,400",5/21森野殿メール,2020/5/22,E4005684,2020/6/29,7/2次 G010,5179-504AA,1 ,8 ,1枚で8個取れる
323,5/25,宮木,RE-KUT-224,NUMBER RING 77-532E 77-636E K-22403B,5,600,2020/5/26,済,3999,すいせい,"3,000",,2020/5/25,E4006737,2020/5/27,,,,,
324,5/29,阪本,C5191-14X33X35,C5191-14X33X35 6F,2,"1,983",2020/6/2,済,1136,白銅（株）,"3,966",5/29阪本殿メール,2020/6/1,E4010080,2020/6/10,PF-9315804,E-10401L24N,1 ,1 ,先日注文した分を製作失敗したため、再購入
325,6/3,植木,SS400-16X50X57,SS400-16X50X57 6F 2-C5,10,610,2020/6/4,済,3315,京阪プレート,"6,100",6/3植木殿メール,2020/6/3,E4013596,2020/6/17,"20SKF104,F105,F106,F107,F108",SPL-2405HA,1 ,1 ,
326,6/3,植木,SS400-16X40X75,SS400-16X40X75 6F 2-C3,10,610,2020/6/4,済,3315,京阪プレート,"6,100",6/3植木殿メール,2020/6/3,E4013597,2020/6/17,"20SKF104,F105,F106,F107,F108",SPL-2405FC,1 ,1 ,
327,6/3,植木,SS400-38X65X182,SS400-38X65X182 6F 2-C5,10,"1,910",2020/6/4,済,3315,京阪プレート,"19,100",6/5植木殿メール,2020/6/5,E4015958,2020/6/24,"20SKF104,F105,F106,F107,F108",SPL-2498AA,1 ,1 ,
