No,完成部番,単位数分子,単位数分母,前工程
5,810-410CA300,1.0,1.0,MA-810-410CA30-S
5,810-410CA340,1.0,1.0,MA-810-410CA34-S
5,81-405EA140,1.0,1.0,MA-81-40514
5,81-405EA150,1.0,1.0,MA-81-40515
5,81-405EA160,1.0,1.0,MA-81-40516
5,81-405EA170,1.0,1.0,MA-81-40517
5,81-405EA200,1.0,1.0,MA-81-40520
5,81-405EA260,1.0,1.0,MA-81-40526
5,81-405GA260,1.0,1.0,MA-81-40526
5,81-405EA280,1.0,1.0,MA-81-40528
5,816-405DA300,1.0,1.0,MA-816-405CA30-S
5,816-405EA300,1.0,1.0,MA-816-405CA30-S
5,816-405FA300,1.0,1.0,MA-816-405CA30-S
5,816-405DA340,1.0,1.0,MA-816-405CA34-S
5,816-405EA340,1.0,1.0,MA-816-405CA34-S
5,816-405FA340,1.0,1.0,MA-816-405CA34-S
5,87-405GA300,1.0,1.0,MA-87-40530
5,87-405EA320,1.0,1.0,MA-87-40532
5,87-405GA320,1.0,1.0,MA-87-40532
5,87-405GA340,1.0,1.0,MA-87-40534
5,87-405EA360,1.0,1.0,MA-87-40536
5,87-405EA380,1.0,1.0,MA-87-40538
5,87-405EA400,1.0,1.0,MA-87-40540
5,87-409B300,1.0,4.0,MA-740-40930-S
5,740-410EA140,1.0,1.0,MA-970-41014-S
5,740-410EA150,1.0,1.0,MA-970-41015-S
5,740-410EA160,1.0,1.0,MA-970-41016-S
5,740-410EA170,1.0,1.0,MA-970-41017-S
5,740-410EA200,1.0,1.0,MA-970-41020-S
5,740-410EA260,1.0,1.0,MA-970-41026-S
5,740-410FA260,1.0,1.0,MA-970-41026-S
5,740-410KA260,1.0,1.0,MA-970-41026-S
5,740-410EA280,1.0,1.0,MA-970-41028-S
5,740-410EA30,1.0,1.0,MA-970-41030-S
5,740-410FA300,1.0,1.0,MA-970-41030-S
5,740-410KA300,1.0,1.0,MA-970-41030-S
5,740-410NA300,1.0,1.0,MA-970-41030-S
5,740-410EA320,1.0,1.0,MA-970-41032-S
5,740-410KA320,1.0,1.0,MA-970-41032-S
5,740-410EA340,1.0,1.0,MA-970-41034-S
5,740-410KA340,1.0,1.0,MA-970-41034-S
5,740-410EA360,1.0,1.0,MA-970-41036-S
5,740-410EA380,1.0,1.0,MA-970-41038-S
5,740-410KA380,1.0,1.0,MA-970-41038-S
5,740-410EA400,1.0,1.0,MA-970-41040-S
5,3139-608AC30,1.0,3.0,MA-973-608AA30-DRUM
5,3139-608AB34,1.0,3.0,MA-973-608AA34-DRUM
6,6105-606AD36,1.0,1.0,MA-RH-0031A-05C
6,6105-606AD38,1.0,1.0,MA-RH-0031A-05C
6,6105-606AD42,1.0,1.0,MA-RH-0031A-05C
6,6104-606AD34,1.0,1.0,MA-RH-0031A-05C
6,5157-602AA34,1.0,1.0,MA-RH-0031K-06B
6,5157-602BA34,1.0,1.0,MA-RH-0031A-05C
6,5157-602EA30,1.0,1.0,MA-RH-0031A-05D
6,3153-502JB30,33.0,1.0,MA-RH-0175KD-21AA
6,3153-502JB34,37.0,1.0,MA-RH-0175KD-21AA
6,3153-502EB30,33.0,1.0,MA-RH-0175KD-21AA
5,603-601EA26,1.0,1.0,MA-603-601-BLOCK
5,3153-601EB30,1.0,1.0,MA-603-601-BLOCK
6,3153-502JB26,29.0,1.0,MA-RH-0175KD-21AA
6,3153-502JB32,36.0,1.0,MA-RH-0175KD-21AA
4,3153-601EB26,1.0,1.0,MA-603-601-BLOCK
5,3153-601EB32,1.0,1.0,MA-603-601-BLOCK
