区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
I,5534-502AA36,1.0,1,L1-5517-502AA36,1.0,1.0,MA-5517-502AA36,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,5534-602AA36,1.0,1,MA-RH-0031A-05D,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,5534-602BA36,1.0,1,MA-RH-0031A-05C,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,87-405QA340,1.0,1,L1-87-405EA34,1.0,1.0,MA-87-40534,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1831-501AA34,1.0,1,LA-1831-501AA34-DF,1.0,1.0,L1-1831-501AA34,1.0,1.0,MA-1831-501AA34,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1831-501BA34,1.0,1,LA-1831-501BA34-DF,1.0,1.0,L1-1831-501BA34,1.0,1.0,MA-1831-501BA34,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,3164-608AA34,1.0,1,L1-3164-608AA34,1.0,4.0,MA-603-608AA34-DRUM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,3164-502AA34,1.0,1,L1-3164-502AA34,1.0,1.0,MA-3164-502AA34,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1831-102AA,1.0,1,MA-1831-102AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1831-102BA,1.0,1,MA-1831-102BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1831-103AA30,1.0,1,MA-1831-103AA30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,3164-601EA34,1.0,1,PL-3164-601EA34,19.0,1.0,MC-603-601-BLOCK,1.0,1.0,MA-603-601-BLOCK,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,5121-501BA48,1.0,1,LA-1151-501DA48-DF,1.0,1.0,L1-1151-501DA48,0.0,0.0,MA-1151-501DA48,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1151-406CA48,1.0,1,L1-1151-406CA48,1.0,1.0,MA-1151-406CA48,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,5109-602AA33,1.0,1,MA-RH-0031K-06A,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,5109-602BA33,1.0,1,MA-RH-0031A-05C,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,960-409AA260,1.0,1,L1-810-409B26-S,1.0,4.0,MA-740-40926-S,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,960-409AA300,1.0,1,L1-810-409B30-S,1.0,4.0,MA-740-40930-S,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,960-409BA300,1.0,1,L1-810-409B30-S,1.0,4.0,MA-740-40930-S,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,960-409AA340,1.0,1,L1-810-409B34-S,1.0,4.0,MA-740-40934-S,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,960-409BA340,1.0,1,L1-810-409B34-S,1.0,4.0,MA-740-40934-S,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,3324-501BA26,1.0,1,LA-816-501B26-DF,1.0,1.0,L1-816-501B26,1.0,1.0,MA-816-501B26,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,826-502EA26,1.0,1,L1-954-50226,1.0,1.0,MA-954-50226,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,6105-602FB38,1.0,1,MA-RH-0031K-06G,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
