No,完成部番,単位数分子,単位数分母,前工程
3,3153-502JC26,0.0,0.0,
4,3153-502JC26,1.0,1.0,MA-600-502AA26
5,3153-502JC26,1.0,1.0,L1-3153-502AC26
6,3153-502JC26,1.0,1,PL-3153-502JC26
1,3153-502FB28,0.0,0.0,
2,3153-502FB28,0.0,0.0,
3,3153-502FB28,0.0,0.0,
4,3153-502FB28,1.0,1.0,MA-600-502AA28
5,3153-502FB28,1.0,1.0,L1-3153-502AC28
6,3153-502FB28,1.0,1,PL-3153-502FB28
1,3153-502KB26,0.0,0.0,
2,3153-502KB26,0.0,0.0,
3,3153-502KB26,0.0,0.0,
4,3153-502KB26,1.0,1.0,MA-600-502AA26
5,3153-502KB26,1.0,1.0,L1-3153-502AC26
6,3153-502KB26,1.0,1,PL-3153-502KB26
1,3557-409AA300,0.0,0.0,
2,3557-409AA300,0.0,0.0,
3,3557-409AA300,0.0,0.0,
4,3557-409AA300,1.0,1.0,MA-3557-409AA30-S
5,3557-409AA300,1.0,1.0,L1-3557-409AA30-S
6,3557-409AA300,1.0,1,3557-409AA30-SR
1,3557-501AA30,0.0,0.0,
2,3557-501AA30,0.0,0.0,
3,3557-501AA30,0.0,0.0,
4,3557-501AA30,1.0,1.0,MA-171-501AA30
5,3557-501AA30,1.0,1.0,L1-3557-501AA30
6,3557-501AA30,1.0,1,LA-3557-501AA30-DF
1,171-406RA30,0.0,0.0,
2,171-406RA30,0.0,0.0,
3,171-406RA30,1.0,1.0,MA-171-406RA30
4,171-406RA30,1.0,1.0,L1-171-406RA30
5,171-406RA30,1.0,1.0,LA-171-406RA30-D
6,171-406RA30,1.0,1,LA-171-406RA30-MC
1,1635-401CA38,0.0,0.0,
2,1635-401CA38,0.0,0.0,
3,1635-401CA38,1.0,1.0,MA-1635-401AA38
4,1635-401CA38,1.0,1.0,L1-1635-401AA38
5,1635-401CA38,1.0,1.0,LA-1635-401AA38-D
6,1635-401CA38,1.0,1,LA-1635-401AA38-DF
1,3166-652AA19,0.0,0.0,
2,3166-652AA19,0.0,0.0,
3,3166-652AA19,0.0,0.0,
4,3166-652AA19,0.0,0.0,
5,3166-652AA19,1.0,1.0,MA-720-65219-DRUM
6,3166-652AA19,1.0,4,L1-720-65219-DRUM
1,3557-608AA30,0.0,0.0,
2,3557-608AA30,0.0,0.0,
3,3557-608AA30,0.0,0.0,
4,3557-608AA30,0.0,0.0,
5,3557-608AA30,1.0,1.0,MA-3501-66001AA30
6,3557-608AA30,1.0,1,L1-3501-66001AA30
1,3166-652AA24,0.0,0.0,
2,3166-652AA24,0.0,0.0,
3,3166-652AA24,0.0,0.0,
4,3166-652AA24,0.0,0.0,
5,3166-652AA24,1.0,1.0,MA-720-65224-DRUM
