,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6,単位数分子7,単位数分母7,前工程7,単位数分子8,単位数分母8,前工程8,単位数分子9,単位数分母9,前工程9,単位数分子10,単位数分母10,前工程10,作成者,作成日,更新者,更新日,理由,,,,,,,,
I,5181-601AA17,1,1,LA-1751-601AA17-L2,1,1,L1-1751-601AA17,1,1,MA-1751-601AA17,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,5181-601AA18,1,1,LA-1751-601AA18-L2,1,1,L1-1751-601AA18,1,1,MA-1751-601AA18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,3139-608BA38,1,1,L1-3139-60838,1,3,MA-973-608AA38-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,岩下,20231025,L1-631-608に溝加工を入れて（初崎さんマシニング希望）L1-3139-608に変更　2023/10/17メール,,,,,,,,
I,1831-501CA36,1,1,LA-1831-501BA36-DF,1,1,L1-1831-501BA36,1,1,MA-1831-501BA36,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,1831-501CA38,1,1,LA-1831-501BA38-DF,1,1,L1-1831-501BA38,1,1,MA-1831-501BA38,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,3139-652CA38,1,4,L1-720-65238-DRUM,1,1,MA-720-65238-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,岩下,20241010,取り数を4⇒3に変更（稀に4個取れるが、ほぼ3個しか取れない為。安本氏）⇒　3⇒4（4個取れる　安本氏）,,,,,,,,
I,5181-501AA17,1,1,L1-1751-501CA17,1,1,MA-1751-501AA17,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,5181-502AA17,1,1,L1-59-502B17,1,1,MA-59-502B17,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,5181-602AA17,1,1,MA-RH-0031A-06E,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,5181-602GA17,1,1,MA-RH-0031A-07E,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,5181-641AA17,1,1,L2-5181-641AA17,1,4,L1-720-65216-DRUM,1,1,MA-720-65216-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,5181-641AA13,1,1,L2-5181-641AA13,1,4,L1-720-65212-DRUM,1,1,MA-720-65212-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,5181-502AA18,1,1,L1-59-502B18,1,1,MA-59-502B18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,5181-602AA18,1,1,MA-RH-0031A-06E,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,5181-602GA18,1,1,MA-RH-0031A-07E,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/22,,,新規部品対応,,,,,,,,
I,3557-502BA34,1,1,PL-3557-502BA34,1,1,L1-4109-502AA34,1,1,MA-600-502AA34,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,44764,岩下,20240216,メッキ工程追加,,,,,,,,
I,5181-601AA13,1,1,LA-1751-601CA13-L2,1,1,L1-1751-601CA13,1,1,MA-1751-601AA13,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/27,,,新規部品対応,,,,,,,,
I,5181-602BA13,1,1,MA-RH-0031A-07E,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/27,,,新規部品対応,,,,,,,,
I,5181-602AA13,1,1,MA-RH-0031A-07E,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/27,,,新規部品対応,,,,,,,,
I,5181-501AA13,1,1,L1-1751-501CA13,1,1,MA-1751-501AA13,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/27,,,新規部品対応,,,,,,,,
I,161-406JB38-KYOUEI,1,1,LA-161-406JB38-MC-KYOUEI,1,1,MA-161-406JA38,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/7/28,,,協栄用工程,,,,,,,,
I,5108-602EC33,1,1,MA-RH-0031A-05E,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/8/2,,,新規部品対応,,,,,,,,
I,5108-502EB33,1,1,L1-5108-502AA33,1,1,MA-5108-502AA33,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/8/2,,,新規部品対応,,,,,,,,
I,5108-602BB33,1,1,MA-RH-0031A-05C,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/8/3,,,新規部品対応,,,,,,,,
I,6110-502AA38,1,1,L1-5546-502AA38,1,1,MA-5546-502AA38,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/8/5,,,新規部品対応,,,,,,,,
