区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
I,1751-402BA17,1.0,1,PEFIN-1751-402BA17,1.0,1.0,MC-1751-402BA17,1.0,1.0,L1-1751-402BA17,1.0,1.0,MA-1751-402BA17,0.0,0.0,,0.0,0.0,
I,1751-402BA24,1.0,1,PEFIN-1751-402BA24,1.0,1.0,MC-1751-402BA24,1.0,1.0,L1-1751-402BA24,1.0,1.0,MA-1751-402BA24,0.0,0.0,,0.0,0.0,
I,1751-411AA15,1.0,1,PEFIN-1751-411AA15,1.0,1.0,LA-1751-411AA15-MC,1.0,1.0,L2-1751-411AA15,1.0,1.0,L1-1751-411AA15,1.0,1.0,MA-1751-411AA15,0.0,0.0,
I,1751-411AA16,1.0,1,PEFIN-1751-411AA16,1.0,1.0,LA-1751-411AA16-MC,1.0,1.0,L2-1751-411AA16,1.0,1.0,L1-1751-411AA16,1.0,1.0,MA-1751-411AA16,0.0,0.0,
I,1751-411AA19,1.0,1,PEFIN-1751-411AA19,1.0,1.0,LA-1751-411AA19-MC,1.0,1.0,L2-1751-411AA19,1.0,1.0,L1-1751-411AA19,1.0,1.0,MA-1751-411AA19,0.0,0.0,
I,1751-411AA20,1.0,1,PEFIN-1751-411AA20,1.0,1.0,LA-1751-411AA20-MC,1.0,1.0,L2-1751-411AA20,1.0,1.0,L1-1751-411AA20,1.0,1.0,MA-1751-411AA20,0.0,0.0,
I,1751-411AA22,1.0,1,PEFIN-1751-411AA22,1.0,1.0,LA-1751-411AA22-MC,1.0,1.0,L2-1751-411AA22,1.0,1.0,L1-1751-411AA22,1.0,1.0,MA-1751-411AA22,0.0,0.0,
I,12Q-411GA31,1.0,1,PEFIN-12Q-411GA31,1.0,1.0,LA-12Q-411GA31-MC,1.0,1.0,LA-12Q-411GA31-L2,1.0,1.0,L1-12Q-411GA31,1.0,1.0,MA-12Q-411GA31,0.0,0.0,
I,12Q-411GA33,1.0,1,PEFIN-12Q-411GA33,1.0,1.0,LA-12Q-411GA33-MC,1.0,1.0,LA-12Q-411GA33-L2,1.0,1.0,L1-12Q-411GA33,1.0,1.0,MA-12Q-411GA33,0.0,0.0,
I,1531-406AA26,1.0,1,PEFIN-1531-406AA26,1.0,1.0,LA-1531-406AA26-MC,1.0,1.0,LA-1531-406AA26-D,1.0,1.0,L1-1531-406AA26,1.0,1.0,MA-1531-406AA26,0.0,0.0,
J,100-609JB4,1.0,1,PEFIN-100-609JB4,1.0,1.0,PA-100-609JB4,1.0,1.0,MA-100-609JB4,0.0,0.0,,0.0,0.0,,0.0,0.0,
