No,完成部番,単位数分子,単位数分母,前工程
6,5165-619AA44,1.0,1.0,COM-5165-619AA44
6,5165-620AA34,1.0,1.0,COM-5165-620AA34
6,5165-620AA40,1.0,1.0,COM-5165-620AA40
6,5165-620AA44,1.0,1.0,COM-5165-620AA44
6,5165-621AA36,1.0,1.0,COM-5165-621AA36
6,5165-621AA42,1.0,1.0,COM-5165-621AA42
6,5165-622AA36,1.0,1.0,COM-5165-622AA36
6,5165-622AA42,1.0,1.0,COM-5165-622AA42
6,5176-611AA30,1.0,1.0,COM-5176-611AA30
6,5176-612AA30,1.0,1.0,COM-5176-612AA30
6,5176-631AA30,1.0,1.0,COM-5176-631AA30
6,5176-632AA30,1.0,1.0,COM-5176-632AA30
6,5181-506AA22,1.0,1.0,COM-5181-506AA22
6,5181-506BA22,1.0,1.0,COM-5181-506BA22
6,5181-511AA22,1.0,1.0,COM-5181-511AA22
6,5181-513AA22,1.0,1.0,COM-5181-513AA22
6,5181-607AA22,1.0,1.0,COM-5181-607AA22
6,5181-607BA22,1.0,1.0,COM-5181-607BA22
6,5181-608AA22,1.0,1.0,COM-5181-608AA22
6,5181-611AA22,1.0,1.0,COM-5181-611AA22
6,5181-615AA22,1.0,1.0,COM-5181-615AA22
6,5301-592AA36,1.0,1.0,COM-5301-592AA36
6,5520-515AA,1.0,1.0,COM-5520-515AA
6,5529-505AA34,1.0,1.0,COM-5529-505AA34
6,5529-506AA34,1.0,1.0,COM-5529-506AA34
6,5529-506BA34,1.0,1.0,COM-5529-506BA34
6,5529-511CA30,1.0,1.0,COM-5529-511CA30
6,5529-513AA34,1.0,1.0,COM-5529-513AA34
6,5529-514AB34,1.0,1.0,COM-5529-514AB34
6,5529-522AA34,1.0,1.0,COM-5529-522AA34
6,5529-607AA38,1.0,1.0,COM-5529-607AA38
6,5529-607BA38,1.0,1.0,COM-5529-607BA38
6,5530-572AA34,1.0,1.0,COM-5530-572AA34
6,5532-524AB34,1.0,1.0,COM-5532-524AB34
6,5532-566AA30,1.0,1.0,COM-5532-566AA30
6,5532-566BA34,1.0,1.0,COM-5532-566BA34
6,5532-566EA30,1.0,1.0,COM-5532-566EA30
6,5532-566GA34,1.0,1.0,COM-5532-566GA34
6,5532-569AA34,1.0,1.0,COM-5532-569AA34
6,5532-569BA30,1.0,1.0,COM-5532-569BA30
6,5532-569CA34,1.0,1.0,COM-5532-569CA34
6,5532-570AA30,1.0,1.0,COM-5532-570AA30
6,5532-570BA34,1.0,1.0,COM-5532-570BA34
6,5532-607AA30,1.0,1.0,COM-5532-607AA30
6,5532-607BA30,1.0,1.0,COM-5532-607BA30
6,5540-541AA38,1.0,1.0,COM-5540-541AA38
6,5541-505AB38,1.0,1.0,COM-5541-505AB38
6,5541-505BA38,1.0,1.0,COM-5541-505BA38
6,5541-513AA38,1.0,1.0,COM-5541-513AA38
6,5541-514AA38,1.0,1.0,COM-5541-514AA38
6,5541-566AA38,1.0,1.0,COM-5541-566AA38
6,5541-569AA38,1.0,1.0,COM-5541-569AA38
6,5541-570AB38,1.0,1.0,COM-5541-570AB38
6,603-643PA,1.0,1.0,COM-603-643PA
6,6108-605AB38,1.0,1.0,COM-6108-605AB38
6,6108-611AA38,1.0,1.0,COM-6108-611AA38
6,6108-612AA38,1.0,1.0,COM-6108-612AA38
6,6108-621AA38,1.0,1.0,COM-6108-621AA38
6,6108-626DA38,1.0,1.0,COM-6108-626DA38
6,960-505AA30,1.0,1.0,COM-960-505AA30
6,B336-541AA34,1.0,1.0,COM-B336-541AA34
6,B336-541AA38,1.0,1.0,COM-B336-541AA38
6,E474-612AA34,1.0,1.0,COM-E474-612AA34
6,E474-622AA34,1.0,1.0,COM-E474-622AA34
6,KS64-01901BB,1.0,1.0,COM-KS64-01901BB
6,KS64-01902BB,1.0,1.0,COM-KS64-01902BB
6,KS64-01903BB,1.0,1.0,COM-KS64-01903BB
6,KS64-01904BB,1.0,1.0,COM-KS64-01904BB
6,KS64-01905BB,1.0,1.0,COM-KS64-01905BB
6,KS64-01906BB,1.0,1.0,COM-KS64-01906BB
6,KS64-01907BB,1.0,1.0,COM-KS64-01907BB
6,KS64-01909BB,1.0,1.0,COM-KS64-01909BB
6,KS64-01910BC,1.0,1.0,COM-KS64-01910BC
6,KS64-01911BC,1.0,1.0,COM-KS64-01911BC
6,KS64-01912BB,1.0,1.0,COM-KS64-01912BB
6,5160-506AA33,1.0,1.0,COM-5160-506AA33
6,5160-506BA33,1.0,1.0,COM-5160-506BA33
6,5160-511AA33,1.0,1.0,COM-5160-511AA33
6,5160-517AA33,1.0,1.0,COM-5160-517AA33
6,5160-518AA33,1.0,1.0,COM-5160-518AA33
6,5160-523AA33,1.0,1.0,COM-5160-523AA33
6,5160-607AA33,1.0,1.0,COM-5160-607AA33
6,5160-607BA33,1.0,1.0,COM-5160-607BA33
6,5160-608AA33,1.0,1.0,COM-5160-608AA33
6,5160-611AB33,1.0,1.0,COM-5160-611AB33
6,5160-613AA33,1.0,1.0,COM-5160-613AA33
6,5160-615AA33,1.0,1.0,COM-5160-615AA33
6,5160-623AA33,1.0,1.0,COM-5160-623AA33
6,5173-607AA30,1.0,1.0,COM-5173-607AA30
6,5173-607BA30,1.0,1.0,COM-5173-607BA30
6,5173-611AA30,1.0,1.0,COM-5173-611AA30
6,5173-611BA30,1.0,1.0,COM-5173-611BA30
6,5173-612AA30,1.0,1.0,COM-5173-612AA30
6,5173-612BA30,1.0,1.0,COM-5173-612BA30
6,5173-631AA30,1.0,1.0,COM-5173-631AA30
