No,完成部番,単位数分子,単位数分母,前工程
6,LEC4C-DY3AA30,1.0,1.0,LEC4C-MY3AA30
5,LEC4C-MX1AA33,91.0,1000.0,SKD11027067
6,LEC4C-MX1AA33,1.0,1.0,SKD6G2761
5,LEC4C-MX4AA33,62.0,1000.0,SKD11015067
6,LEC4C-MX4AA33,1.0,1.0,SKD6G1556
5,LEC4C-MY3AA38,140.0,1000.0,SKD11047067
6,LEC4C-MY3AA38,1.0,1.0,SKD6G4754
5,LEC4C-MY3MA30,140.0,1000.0,SKD11047067
6,LEC4C-MY3MA30,1.0,1.0,SKD6G4754
5,LEC4C-MY3MA38,140.0,1000.0,SKD11047067
6,LEC4C-MY3MA38,1.0,1.0,SKD6G4754
5,LEC4C-MY3MB30,140.0,1000.0,SKD11047067
6,LEC4C-MY3MB30,1.0,1.0,SKD6G4754
5,LEC4C-MY3PA30,140.0,1000.0,SKD11047067
6,LEC4C-MY3PA30,1.0,1.0,SKD6G4754
5,LEC4CS-MB2AA30,87.0,1000.0,SKD11035065
6,LEC4CS-MB2AA30,1.0,1.0,SKD6E3543
4,LEC4-DB1AA33,30.0,1000.0,SKD11033065
5,LEC4-DB1AA33,1.0,1.0,SKD6E3317
6,LEC4-DB1AA33,1.0,1.0,LEC4-MB1AA33
4,LEC4D-DB1AA30,28.0,1000.0,SKD11025067
5,LEC4D-DB1AA30,1.0,1.0,SKD6G2520
6,LEC4D-DB1AA30,1.0,1.0,LEC4D-MB1AA30
5,LEC4DFTY-MY1AA34,36.0,1000.0,SKD11025067
6,LEC4DFTY-MY1AA34,1.0,1.0,SKD6G2526
5,LEC4DFY-MB2BA34,131.0,1000.0,SKD11040065
6,LEC4DFY-MB2BA34,1.0,1.0,SKD6E4061
5,LEC4DFY-MC1BA34,140.0,1000.0,SKD11047067
6,LEC4DFY-MC1BA34,1.0,1.0,SKD6G4754
5,LEC4DGTFY6-MB2AA34,116.0,1000.0,SKD11040065
6,LEC4DGTFY6-MB2AA34,1.0,1.0,SKD6E4054
5,LEC4DGTFY6-MB5AA34,116.0,1000.0,SKD11040065
6,LEC4DGTFY6-MB5AA34,1.0,1.0,SKD6E4054
5,LEC4DGTFY6-MB5BA34,116.0,1000.0,SKD11040065
6,LEC4DGTFY6-MB5BA34,1.0,1.0,SKD6E4054
5,LEC4DGTFY6-MC1AA34,140.0,1000.0,SKD11047067
6,LEC4DGTFY6-MC1AA34,1.0,1.0,SKD6G4754
5,LEC4DGTFY6-MC3AA34,140.0,1000.0,SKD11047067
6,LEC4DGTFY6-MC3AA34,1.0,1.0,SKD6G4754
5,LEC4DGTFY6-MC3BA34,140.0,1000.0,SKD11047067
6,LEC4DGTFY6-MC3BA34,1.0,1.0,SKD6G4754
5,LEC4DGTFY6-MC5AA34,140.0,1000.0,SKD11047067
6,LEC4DGTFY6-MC5AA34,1.0,1.0,SKD6G4754
5,LEC4DGTFY6-MR0AA34,63.0,1000.0,SKD11030085
6,LEC4DGTFY6-MR0AA34,1.0,1.0,SKD8E3030
5,LEC4DGTFY6-MR0CA34,43.0,1000.0,SKD11021082
6,LEC4DGTFY6-MR0CA34,1.0,1.0,SKD8B2130
5,LEC4DGTFY6-MS6AA34,72.0,1000.0,SKD11030085
6,LEC4DGTFY6-MS6AA34,1.0,1.0,SKD8E3034
5,LEC4DGTFY6-MX3AA34,31.0,1000.0,SKD11035065
6,LEC4DGTFY6-MX3AA34,1.0,1.0,SKD6E3525
5,LEC4DGTFY6-MX4AA34,52.0,1000.0,SKD11035067
6,LEC4DGTFY6-MX4AA34,1.0,1.0,SKD6G3527
5,LEC4DGTFY6-MX4BA34,52.0,1000.0,SKD11035067
6,LEC4DGTFY6-MX4BA34,1.0,1.0,SKD6G3527
5,LEC4DGTFY6-MX5AA34,117.0,1000.0,SKD11035065
6,LEC4DGTFY6-MX5AA34,1.0,1.0,SKD6E3560
5,LEC4DGTFY6-MX5BA34,117.0,1000.0,SKD11035065
6,LEC4DGTFY6-MX5BA34,1.0,1.0,SKD6E3560
5,LEC4DGTFY6-MX6AA34,117.0,1000.0,SKD11035065
6,LEC4DGTFY6-MX6AA34,1.0,1.0,SKD6E3560
5,LEC4DGTFY6-MX6BA34,117.0,1000.0,SKD11035065
