165-209DA,1.0,1,M-165-209DA,1.0,1.0,MA-165-209CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
165-209EA,1.0,1,HT-165-209EA,1.0,1.0,M-165-209EA,1.0,1.0,MA-165-209CA,0.0,0.0,,0.0,0.0,,0.0,0.0,
165-209FA,1.0,1,HT-165-209FA,1.0,1.0,M-165-209FA,1.0,1.0,MA-165-209CA,0.0,0.0,,0.0,0.0,,0.0,0.0,
165-209GA,1.0,1,HT-165-209GA,1.0,1.0,M-165-209GA,1.0,1.0,MA-165-209CA,0.0,0.0,,0.0,0.0,,0.0,0.0,
165-209HA,1.0,1,HT-165-209HA,1.0,1.0,M-165-209HA,1.0,1.0,MA-165-209CA,0.0,0.0,,0.0,0.0,,0.0,0.0,
165-209JA,1.0,1,HT-165-209JA,1.0,1.0,M-165-209JA,1.0,1.0,MA-165-209CA,0.0,0.0,,0.0,0.0,,0.0,0.0,
165-209KA,1.0,1,HT-165-209KA,1.0,1.0,M-165-209KA,1.0,1.0,MA-165-209CA,0.0,0.0,,0.0,0.0,,0.0,0.0,
SK5-4.0X40X97,216.0,1000,MA-SK5-T6XH40XL1000,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
SK5-6.0X40X97,216.0,1000,MA-SK5-T6XH40XL1000,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-22210,1.0,1,NC-K-22210-NC-FINISH,1.0,1.0,SW-K-29610AA,10.0,1000.0,MA-SK4-3.4X4XL2500,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-29610AA,1.0,1,NC-K-29610AA-NC-FINISH,1.0,1.0,SW-K-29610AA,10.0,1000.0,MA-SK4-3.4X4XL2500,0.0,0.0,,0.0,0.0,,0.0,0.0,
11-206J,1.0,1,HT-11-206J,1.0,1.0,M-11-206J,1.0,1.0,MA-11-206,0.0,0.0,,0.0,0.0,,0.0,0.0,
SK5-3.5X40X97,144.0,1000,MA-SK5-T4XH40XL1000,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
SK5-4.5X40X97,216.0,1000,MA-SK5-T6XH40XL1000,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
SK5-4.9X40X97,216.0,1000,MA-SK5-T6XH40XL1000,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
SK5-5.0X40X97,216.0,1000,MA-SK5-T6XH40XL1000,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
SK5-4.0X75X330,1206.0,1000,MA-SK5-T6XH75XL1000,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
11-206B,1.0,1,HT-11-206B,1.0,1.0,M-11-206B,1.0,1.0,MA-11-206,0.0,0.0,,0.0,0.0,,0.0,0.0,
11-206C,1.0,1,HT-11-206C,1.0,1.0,M-11-206C,1.0,1.0,MA-11-206,0.0,0.0,,0.0,0.0,,0.0,0.0,
11-206D,1.0,1,HT-11-206D,1.0,1.0,M-11-206D,1.0,1.0,MA-11-206,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-22205,1.0,1,PL-K-22205,1.0,1.0,SL-K-22205,1.0,1.0,MC-K-22205,1.0,1.0,MA-K-29605BA,0.0,0.0,,0.0,0.0,
K-29605BA,1.0,1,PL-K-29605BA,1.0,1.0,SL-K-29605BA,1.0,1.0,MC-K-29605BA,1.0,1.0,MA-K-29605BA,0.0,0.0,,0.0,0.0,
SK5-T6XH40XL97-CUT-ONLY,216.0,1000,MA-SK5-T6XH40XL1000,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
SK5-3.2X40X97,144.0,1000,MA-SK5-T4XH40XL1000,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
K-22205EA,1.0,1,PL-K-22205EA,1.0,1.0,SL-K-22205EA,1.0,1.0,MC-K-22205EA,1.0,1.0,MA-K-29605BA,0.0,0.0,,0.0,0.0,
12-224C,1.0,1,PL-12-224C,1.0,1.0,MA-12-224C,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
KD53-00501AA,1.0,1,PL-KD53-00501AA,1.0,1.0,SL-KD53-00501AA,1.0,1.0,MC-KD53-00501AA,1.0,1.0,MA-K-29605BA,0.0,0.0,,0.0,0.0,
K-22205A,1.0,1,PL-K-22205A,1.0,1.0,SL-K-22205A,1.0,1.0,MC-K-22205A,1.0,1.0,MA-K-29605BA,0.0,0.0,,0.0,0.0,
5108-604AA38,1.0,1,MA-5108-604AA38,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
SK5-3.0X40X300,384.0,1000,MA-SK5-T4XH40XL1000,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5128-607AA33,1.0,1,COM-5128-607AA33,1.0,1.0,MA-5128-607AA33-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5128-607BA33,1.0,1,COM-5128-607BA33,1.0,1.0,MA-5128-607BA33-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5128-608AA33,1.0,1,COM-5128-608AA33,1.0,1.0,MA-5128-608AA33-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-506AA34,1.0,1,COM-5142-506AA34,1.0,1.0,MA-5142-506AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-507AA34,1.0,1,COM-5142-507AA34,1.0,1.0,MA-5142-507AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-511AA34,1.0,1,COM-5142-511AA34,1.0,1.0,MA-5142-511AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-512AA34,1.0,1,COM-5142-512AA34,1.0,1.0,MA-5142-512AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-514AA34,1.0,1,COM-5142-514AA34,1.0,1.0,MA-5142-514AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-516AA34,1.0,1,COM-5142-516AA34,1.0,1.0,MA-5142-516AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-521AA34,1.0,1,COM-5142-521AA34,1.0,1.0,MA-5142-521AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-522AA34,1.0,1,COM-5142-522AA34,1.0,1.0,MA-5142-522AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-524AA34,1.0,1,COM-5142-524AA34,1.0,1.0,MA-5142-524AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-524BA34,1.0,1,COM-5142-524BA34,1.0,1.0,MA-5142-524BA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-525AA34,1.0,1,COM-5142-525AA34,1.0,1.0,MA-5142-525AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-606AA34,1.0,1,COM-5142-606AA34,1.0,1.0,MA-5142-606AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-606BA34,1.0,1,COM-5142-606BA34,1.0,1.0,MA-5142-606BA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-607AA34,1.0,1,COM-5142-607AA34,1.0,1.0,MA-5142-607AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-611AA33,1.0,1,COM-5142-611AA33,1.0,1.0,MA-5142-611AA33-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-612AA33,1.0,1,COM-5142-612AA33,1.0,1.0,MA-5142-612AA33-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-613AA34,1.0,1,COM-5142-613AA34,1.0,1.0,MA-5142-613AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-614AA34,1.0,1,COM-5142-614AA34,1.0,1.0,MA-5142-614AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-615AA34,1.0,1,COM-5142-615AA34,1.0,1.0,MA-5142-615AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-615LA34,1.0,1,COM-5142-615LA34,1.0,1.0,MA-5142-615LA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
