FINAL_ITEM_CODE,PRODUCT_TYP
5213-502AA34,7
5208-501AA34,7
5202-498AA36,7
5142-641AA42,7
5142-641AA40,7
3538-652AA34,7
1731-103BA24,7
3538-652AA30,7
3538-608AA34,7
6108-602EA38,7
3538-608AA30,7
1831-501DC38,7
3167-502AA34,7
3538-601JA34,7
3538-601JA30,7
5142-641AA44,7
4109-601FA30,7
161-406DF36,7
SPL-3011-502AA34,7
3538-502JB30,7
3538-501DA30,7
1831-501BA41,7
3538-501CA34,7
5142-641AA36,7
3636-501CA30,7
3538-501BB34,7
5142-602BA42,7
352B-602JC30,7
3326-501BA30,7
2185-233AA,7
3326-501AA30,7
329-409AA44,7
328-405AA44,7
3239-410EA26,5
3158-601EA17,7
3158-601EA16,7
3153-652AB36,7
1731-401BA14,7
5142-602BB34,7
5142-602BA40,7
352B-602EC34,7
5142-602BA36,7
352B-602EC38,7
3153-608AA36,7
3153-608AA34,7
352B-641AB34,7
5142-602AA42,7
78-409E33,7
3153-608AA30,7
3153-601EB36,7
1731-406DA15,7
3153-601EB30,7
5142-602AA40,7
3153-502JB36,7
3153-502JB34,7
3153-502JB32,7
3153-502JB30,7
5142-602AA36,7
5142-601BA42,7
5142-601BA40,7
3145-652AB30,7
3145-652AA34,7
3145-502BA34,7
3145-502BA32,7
3145-502BA30,7
2190-259BA2500-1A,7
4108-601FA26,7
3139-652AC30,7
3139-652AA28,7
5142-502AA42,7
3139-608AC30,7
3139-608AA28,7
3139-601EB30,7
3139-601EA34,7
3139-601EA28,7
3139-502BA34,7
5142-502AA40,7
3139-502BA30,7
3139-502BA28,7
3164-502EA32,7
5142-502AA36,7
201-602GA13,7
161-441AD34,7
1831-102AA,7
201-602FA13,7
3164-608AA38,7
201-602EA13,7
201-602DA13,7
4121-608AA21,7
201-602CA13,7
161-406SB34,7
201-602BA13,7
201-602AA13,7
1636-431AA30,7
161-403DA38,7
201-502BA13,7
19B-501ZGC17,7
1751-406BC21,7
B336-641BA38,7
5520-502AA38,7
5533-501AA38,7
5520-601AB38,7
5520-501BB38,7
3242-601EA36,7
B336-602BB38,7
B336-602EC38,7
1731-501ZGA19,7
1531-501ZQA30,7
1355-401GA24,7
1731-501ZEA17,7
1731-501ZEA16,7
1731-418AA18,7
1731-417BA24,7
1731-417BA18,7
1731-406BA20,7
1731-401BA24,7
1731-401BA18,7
5142-601AA36,7
1731-103AA18,7
1731-102BA,7
1731-102AA,7
171-406PA34,7
5142-501NA36,7
5142-501BA42,7
170-414AA,7
5142-501BA40,7
3153-608AA32,7
1635-406AA30,7
1635-401AA38,7
3153-652AB32,7
5145-602EA19,7
1635-401AA30,7
1631-401AB38,7
1631-401AB30,7
1631-111FA,7
1631-111NA,7
3153-601EB32,7
1631-111MA,7
1636-401BA30,7
1631-111DA,7
161-404BFA,7
1631-111CA,7
1631-111BA,7
1631-111AA,7
1631-103BA38,7
1631-103AB38,7
1631-103AB30,7
1631-102EA,7
1631-102DB,7
1631-102BD,7
1631-102AD,7
161-441BA38,7
3139-608AC32,7
479-602EB34,7
161-406RE36,7
161-406RE34,7
161-406QE30,7
161-402EC34,7
1231-103GB38,7
1231-103HA38,7
1231-103JA38,7
1231-142CA,7
1231-142DA,7
12-426LB30,7
12-426LB38,7
12Q-411AA30,7
12Q-411BA33,7
12Q-411BA34,7
12Q-411BA36,7
12Q-411BA38,7
12Q-411FA38,7
12Q-411GA38,7
1551-401BA38,7
1151-440AA,7
1044-440EA30,7
1531-501ZQA32,7
K-13801LA,7
12Q-411MB36,7
1331-102LA02,7
1331-102MA02,7
1331-102RA,7
1331-102UA,7
1331-102VA,7
1331-140BA30,7
1331-210HB,7
1331-211HB,7
582-601EA30,7
1331-401FB30,7
1331-401FB38,7
6204-602MB34,7
1531-406AA28,7
1531-406AA30,7
1531-406AA3038,7
1531-406AA32,7
1531-406AA3238,7
1531-406AA34,7
1531-406AA36,7
6201-602CA34,7
6201-602AA34,7
1531-417BA30,7
1531-417BA38,7
1531-418AA30,7
1531-418AA38,7
1831-501BB38,7
1531-501EA30,7
1531-501ZQA28,7
1531-501ZQA3038,7
1531-501ZQA36,7
1531-501ZQA34,7
1551-401AA30,7
1551-401AA38,7
1551-401CA30,7
1551-401CA38,7
161-402CA38,7
161-402CA30,7
1631-111KA,7
161-403CA30,7
161-403CA38,7
161-404AAC,7
161-404ABC,7
161-404ACC,7
161-406CF30,7
161-406DF31,7
1731-406BA17,7
161-406DF33,7
161-406DF34,7
161-406DF38,7
161-406JB34,7
5154-601AA33,7
810-652B34,7
3153-502KB30,7
5154-501AA33,7
826-502JA34,7
815-60834,7
5517-502ZA38,7
6104-606AA38,7
5128-601AA30,7
12-303,7
12-302,7
1631-111QA,7
1631-111RA,7
479-602EB38,7
1931-102AA,7
