OYAHMCD,KTCD,BUCD,SRCD,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
100-202A1240,L,100,3254,2016/3/8,0,3894,,2
100-202A1240,L,100,9999,2000/1/1,0,4038,,2
100-202A1240,AO,100,3070,2017/5/26,0,12000,,2
100-202A1240,AO,100,3070,2016/3/8,0,0,,2
100-202A1240,AO,100,9999,2000/1/1,0,12000,,2
100-202A1333,L,100,3254,2022/12/23,0,6019,,2
100-202A1333,L,100,3254,2018/6/21,0,5435,,2
100-202A1333,L,100,3254,2016/3/8,0,5291,,2
100-202A1333,L,100,9999,2000/1/1,0,6019,,2
100-202A1333,AO,100,3070,2016/10/28,0,15000,,2
100-202A1333,AO,100,3070,2016/3/8,0,21000,,2
100-202A1333,AO,100,9999,2000/1/1,0,15000,,2
100-202AB1240S,L,100,3254,2023/10/6,0,9000,,2
100-202AB1240S,L,100,9999,2000/1/1,0,9000,,2
100-202AB1240S,AO,100,3070,2023/10/12,0,15000,,2
100-202AB1240S,AO,100,9999,2000/1/1,0,15000,,2
100-202B0800,L,100,3254,2016/3/8,0,2357,,2
100-202B0800,L,100,9999,2000/1/1,0,2357,,2
100-202B0800,AO,100,3070,2021/2/15,0,11400,,2
100-202B0800,AO,100,3070,2016/3/8,0,0,,2
100-202B0800,AO,100,9999,2000/1/1,0,11400,,2
100-202B0930,L,100,3254,2016/3/8,0,2622,,2
100-202B0930,L,100,9999,2000/1/1,0,2622,,2
100-202B0930,AO,100,3070,2016/3/8,0,10000,,2
100-202B0930,AO,100,9999,2000/1/1,0,10000,,2
100-202B1081,L,100,3254,2016/3/8,0,1268,,2
100-202B1081,AO,100,3070,2016/3/8,0,0,,2
100-202B1150,L,100,3254,2016/3/8,0,2750,,2
100-202B1150,L,100,9999,2000/1/1,0,2750,,2
100-202B1150,AO,100,3070,2016/3/8,0,12000,,2
100-202B1150,AO,100,9999,2000/1/1,0,12000,,2
100-202B1240,L,100,3254,2016/3/8,0,2310,,2
100-202B1240,L,100,9999,2000/1/1,0,2310,,2
100-202B1240,AO,100,3070,2017/5/26,0,12000,,2
100-202B1240,AO,100,3070,2016/3/8,0,0,,2
100-202B1240,AO,100,9999,2000/1/1,0,12000,,2
100-202B1333,L,100,3254,2016/3/8,0,2805,,2
100-202B1333,L,100,9999,2000/1/1,0,2805,,2
100-202B1333,AO,100,3070,2016/10/28,0,15000,,2
100-202B1333,AO,100,3070,2016/3/8,0,21000,,2
100-202B1333,AO,100,9999,2000/1/1,0,15000,,2
100-202E1150,L,100,3254,2022/12/23,0,6548,,2
100-202E1150,L,100,3254,2018/6/21,0,5964,,2
100-202E1150,L,100,3254,2016/3/8,0,5819,,2
100-202E1150,L,100,9999,2000/1/1,0,5964,,2
100-202E1150,AO,100,3070,2022/5/10,0,12000,,2
100-202E1150,AO,100,3070,2016/3/8,0,0,,2
100-202E1150,AO,100,9999,2000/1/1,0,12000,,2
100-202EB1081,L,100,3254,2022/12/23,0,7253,,2
100-202EB1081,L,100,3254,2022/12/16,0,6669,,2
100-202EB1081,L,100,3254,2021/7/1,0,9500,,2
100-202EB1081,L,100,9999,2000/1/1,0,9500,,2
100-202EB1081,AO,100,3070,2021/7/7,0,12500,,2
100-202EB1081,AO,100,9999,2000/1/1,0,12500,,2
100-202EB1150,L,100,3254,2018/6/21,0,6085,,2
100-202EB1150,L,100,3254,2016/3/8,0,5940,,2
100-202EB1150,L,100,9999,2000/1/1,0,6085,,2
100-202EB1150,AO,100,3070,2018/12/14,0,12500,,2
100-202EB1150,AO,100,3070,2016/3/8,0,0,,2
100-202EB1150,AO,100,9999,2000/1/1,0,12500,,2
100-202EB1240,L,100,3254,2018/6/21,0,6327,,2
100-202EB1240,L,100,3254,2016/3/8,0,6182,,2
100-202EB1240,AO,100,3070,2016/3/8,0,0,,2
100-202EB1240S,L,100,3254,2018/6/21,0,6976,,2
100-202EB1240S,L,100,3254,2016/3/8,0,6820,,2
100-202EB1240S,AO,100,3070,2016/3/8,0,0,,2
