HMCD,SEQ,KTSEQ,KTCD
C5540A38024000550000,3,5030,BF
C5540A38024000550000,4,5040,CYFIN
C0078A33028800420000,1,5010,FL
C0078A33028800420000,2,5020,G
C0078A33028800420000,3,5030,BF
C0078A33028800420000,4,5040,CYFIN
C0274E30033840350000,1,5010,FL
C0274E30033840350000,2,5020,G
C0274E30033840350000,3,5030,BF
C0274E30033840350000,4,5040,CYFIN
C0078B34021360480000,1,5010,FL
C0078B34021360480000,2,5020,G
C0078B34021360480000,3,5030,BF
C0078B34021360480000,4,5040,CYFIN
C0078B30030000400000,1,5010,FL
C0078B30030000400000,2,5020,G
C0078B30030000400000,3,5030,BF
C0078B30030000400000,4,5040,CYFIN
C0274E34038160350000,1,5010,FL
C0274E34038160350000,2,5020,G
C0274E34038160350000,3,5030,BF
C0274E34038160350000,4,5040,CYFIN
C0078A33024960480000,1,5010,FL
C0078A33024960480000,2,5020,G
C0078A33024960480000,3,5030,BF
C0078A33024960480000,4,5040,CYFIN
C0335A34021600550000,1,5010,FL
C0335A34021600550000,2,5020,G
C0335A34021600550000,3,5030,BF
C0335A34021600550000,4,5040,CYFIN
C0078E33041280300000,1,5010,FL
C0078E33041280300000,2,5020,G
C0078E33041280300000,3,5030,BF
C0078E33041280300000,4,5040,CYFIN
C0078B30015120480000,1,5010,FL
C0078B30015120480000,2,5020,G
C0078B30015120480000,3,5030,BF
C0078B30015120480000,4,5040,CYFIN
C0259A26016560480000,1,5010,FL
C0259A26016560480000,2,5020,G
C0259A26016560480000,3,5030,BF
C0259A26016560480000,4,5040,CYFIN
C5156A05501880640000,1,5010,FL
C5156A05501880640000,2,5020,G
C5156A05501880640000,3,5030,BF
C5156A05501880640000,4,5040,CYFIN
C5156A07002360640000,1,5010,FL
C5156A07002360640000,2,5020,G
C5156A07002360640000,3,5030,BF
C5156A07002360640000,4,5040,CYFIN
C0274D30011520740000,1,5010,FL
C0274D30011520740000,2,5020,G
C0274D30011520740000,3,5030,BF
C0274D30011520740000,4,5040,CYFIN
C0274D30018720550000,1,5010,FL
C0274D30018720550000,2,5020,G
C0274D30018720550000,3,5030,BF
C0274D30018720550000,4,5040,CYFIN
C0078B36031680420000,1,5010,FL
C0078B36031680420000,2,5020,G
C0078B36031680420000,3,5030,BF
C0078B36031680420000,4,5040,CYFIN
C0078B36036000400000,1,5010,FL
C0078B36036000400000,2,5020,G
C0078B36036000400000,3,5030,BF
C0078B36036000400000,4,5040,CYFIN
C0274D24015120550000,1,5010,FL
C0274D24015120550000,2,5020,G
C0274D24015120550000,3,5030,BF
C0274D24015120550000,4,5040,CYFIN
C0078B34027720420000,1,5010,FL
C0078B34027720420000,2,5020,G
C0078B34027720420000,3,5030,BF
C0078B34027720420000,4,5040,CYFIN
C0078E34042480300000,1,5010,FL
C0078E34042480300000,2,5020,G
C0078E34042480300000,3,5030,BF
C0078E34042480300000,4,5040,CYFIN
C0274E38033120420000,1,5010,FL
C0274E38033120420000,2,5020,G
C0274E38033120420000,3,5030,BF
C0274E38033120420000,4,5040,CYFIN
C0078A33033120400000,1,5010,FL
C0078A33033120400000,2,5020,G
C0078A33033120400000,3,5030,BF
C0078A33033120400000,4,5040,CYFIN
C0078B33025560480000,1,5010,FL
C0078B33025560480000,2,5020,G
C0078B33025560480000,3,5030,BF
C0078B33025560480000,4,5040,CYFIN
C0078B33022560480000,1,5010,FL
C0078B33022560480000,2,5020,G
C0078B33022560480000,3,5030,BF
C0078B33022560480000,4,5040,CYFIN
C0078B33019440480000,1,5010,FL
C0078B33019440480000,2,5020,G
C0078B33019440480000,3,5030,BF
C0078B33019440480000,4,5040,CYFIN
C0078B34029760420000,1,5010,FL
C0078B34029760420000,2,5020,G
