order_no,item_code,item_name,quantity,status,purch_odr_typ,delivery_date,前工程
E8857709,AO-1631-105FDL38,PIPE GUARD NET  ﾊﾞﾝｷﾝｾｲｻｸ､ﾖｳｾﾂ,2.0,2,1,2025-11-05,AO-1631-105FDL38
E8857711,AO-1631-105GDL38,PIPE GUARD NET  ﾊﾞﾝｷﾝｾｲｻｸ､ﾖｳｾﾂ,2.0,2,1,2025-11-05,AO-1631-105GDL38
E8859221,L-165-256BA1333,FRICTION ROLLER,8.0,2,1,2025-11-05,L-165-256BA1333
E8859250,L1-1651-237BA,SPUR GEAR(134NT),30.0,2,1,2025-10-24,L1-1651-237BA
E8860997,PA-KF12-02301AA36,PIPE GUARD NET,4.0,2,1,2025-11-06,PA-KF12-02301AA36
E8860999,PA-KF12-02302AA36,PIPE GUARD NET,4.0,2,1,2025-11-06,PA-KF12-02302AA36
E8861001,PA-KF12-02303AA36,PIPE GUARD NET,2.0,2,1,2025-11-06,PA-KF12-02303AA36
E8861002,PA-KF12-02304AA36,PIPE GUARD NET,2.0,2,1,2025-11-06,PA-KF12-02304AA36
E8861606,L1-1831-406AA34,GEAR RING,2.0,2,1,2025-10-15,L1-1831-406AA34
E8861616,L1-12Q-411BA34,NEEDLE DIAL HUB(L1ﾉﾐ),2.0,2,1,2025-10-21,L1-12Q-411BA34
E8861629,L1-161-406DE34,GEAR RING (170-406AA34ﾄ ｶﾀ ｵﾅｼﾞ),2.0,2,1,2025-10-21,L1-161-406DE34
E8861636,L1-165-601BA36,DIAL CAP HUB,2.0,2,1,2025-10-21,L1-165-601BA36
E8861639,L1-161-601HA38,DIAL CAP HUB),2.0,2,1,2025-10-21,L1-161-601HA38
E8861642,L1-5529-501CA38,CAM RING,2.0,2,1,2025-10-21,L1-5529-501CA38
E8861675,MC-161-402CA38,DIAL YOKE   (MC),4.0,2,1,2025-11-05,MC-161-402CA38
E8861676,L1-161-402CA38,DIAL YOKE,4.0,2,1,2025-10-21,L1-161-402CA38
E8861678,MC-161-403CA38,DIAL YOKE RING (MC),4.0,2,1,2025-11-05,MC-161-403CA38
E8861679,L1-161-403CA38,DIAL YOKE RING,4.0,2,1,2025-10-21,L1-161-403CA38
E8861714,MC-G-6501HA,DRIVING BRACKET,2.0,2,1,2025-10-28,MC-G-6501HA
E8861716,MC-G-6501HB,DRIVING BRACKET,2.0,2,1,2025-10-28,MC-G-6501HB
E8861724,MC-1631-111BA,ADDITIONAL LEG,12.0,2,1,2025-11-05,MC-1631-111BA
E8861728,PL-3164-502AB34,CAM HOLDER ｶﾆｾﾞﾝﾒｯｷ(37個),2.0,2,1,2025-10-29,PL-3164-502AB34
E8861729,PL-3147-502LA30,CAM HOLDER ｶﾆｾﾞﾝﾒｯｷ(31個),2.0,2,1,2025-10-31,PL-3147-502LA30
E8861730,PL-3165-502EA30,CAM HOLDER ｶﾆｾﾞﾝﾒｯｷ(33個),4.0,2,1,2025-11-05,PL-3165-502EA30
E8861731,PL-5154-502AA34,CAM HOLDER ｶﾆｾﾞﾝﾒｯｷ(28個),2.0,2,1,2025-11-05,PL-5154-502AA34
E8861917,L1-78-40531-S,NEEDLE CYLINDER,12.0,2,1,2025-10-08,L1-78-40531-S
E8861920,L1-78-40531-S,NEEDLE CYLINDER,12.0,2,1,2025-10-15,L1-78-40531-S
E8861925,L1-78-40534-S,NEEDLE CYLINDER,12.0,2,1,2025-10-15,L1-78-40534-S
E8861926,L1-78-40534-S,NEEDLE CYLINDER,12.0,2,1,2025-10-22,L1-78-40534-S
E8862152,L1-478-409AA34-S,NEEDLE DIAL,20.0,2,1,2025-11-25,L1-478-409AA34-S
E8862153,L1-478-409AA34-S,NEEDLE DIAL,20.0,2,1,2025-11-25,L1-478-409AA34-S
E8862155,L1-79-409B30-S,NEEDLE DIAL,20.0,2,1,2025-10-15,L1-79-409B30-S
E8862156,L1-79-409B30-S,NEEDLE DIAL,20.0,2,1,2025-10-22,L1-79-409B30-S
E8862158,L1-87-405EA34,NEEDLE CYLINDER,8.0,2,1,2025-10-10,L1-87-405EA34
E8864617,MC-KF20-03501AE,RIGHT SIDE FRAME BOTTOM,30.0,2,1,2025-11-14,MC-KF20-03501AE
E8864618,MC-KF20-03502AE,LEFT SIDE FRAME BOTTOM,30.0,2,1,2025-11-14,MC-KF20-03502AE
E8865630,L1-87-405EA32,NEEDLE CYLINDER,4.0,2,1,2025-10-15,L1-87-405EA32
E8865668,AO-165-201AA1150,TAKE UP DRIVING ROLLER,1.0,2,2,2025-11-19,AO-165-201AA1150
E8865670,AO-165-202AA1150,TAKE UP DRIVING ROLLER,1.0,2,2,2025-11-19,AO-165-202AA1150
E8865674,AO-165-201CA1150,ASSY. TAKE UP DRIVING ROLLER,1.0,2,2,2025-11-12,AO-165-201CA1150
E8865676,AO-165-202CA1150,ASSY. TAKE UP DRIVEN ROLLER,2.0,2,2,2025-11-12,AO-165-202CA1150
E8865679,L-100-206D1150,FRICTION ROLLER,6.0,2,2,2025-11-12,L-100-206D1150
E8872059,AO-KA65-00101AA,YARN CARRIER HOLDER,1000.0,2,1,2025-11-14,AO-KA65-00101AA
E8872060,AO-KA65-00101AA,YARN CARRIER HOLDER,1000.0,2,1,2025-11-14,AO-KA65-00101AA
E8872061,AO-KA65-00101AA,YARN CARRIER HOLDER,1000.0,2,1,2025-11-14,AO-KA65-00101AA
E8872062,AO-KA65-00101AA,YARN CARRIER HOLDER,1000.0,2,1,2025-11-14,AO-KA65-00101AA
E8872063,AO-KA65-00101AA,YARN CARRIER HOLDER,1000.0,2,1,2025-11-14,AO-KA65-00101AA
E8874791,L1-1035-418AA30-DRUM,INNER RACE,2.0,2,1,2025-11-07,L1-1035-418AA30-DRUM
E8874869,L1-1651-237BA,SPUR GEAR(134NT),30.0,2,1,2025-11-14,L1-1651-237BA
E8874895,L1-3538-608AA34,CAP RING,4.0,2,1,2025-10-30,L1-3538-608AA34
E8874897,L1-3557-601AA34,SINKER CAP,1.0,2,1,2025-10-17,L1-3557-601AA34
E8874911,L1-485-641BA30-DRUM,YARN CARRIER RING,4.0,2,1,2025-10-23,L1-485-641BA30-DRUM
E8874912,L1-485-641BA30-DRUM,YARN CARRIER RING,4.0,2,1,2025-11-07,L1-485-641BA30-DRUM
E8874919,L1-810-409B30-S,SINKER DIAL,4.0,2,1,2025-11-07,L1-810-409B30-S
E8874920,L1-810-409B34-S,SINKER DIAL,4.0,2,1,2025-11-07,L1-810-409B34-S
E8875249,M-165-209CA,RATCHET CLAW,100.0,2,1,2025-11-05,M-165-209CA
E8875250,M-165-209DA,RATCHET CLAW,100.0,2,1,2025-11-05,M-165-209DA
E8877475,PL-KS64-03701BA,GUARD RING,4.0,2,1,2025-10-31,PL-KS64-03701BA
E8878042,L1-101-440BB30,TOP GEAR,1.0,2,1,2025-10-23,L1-101-440BB30
E8878044,L1-12Q-411BA31,NEEDLE DIAL HUB,1.0,2,1,2025-10-23,L1-12Q-411BA31
E8878048,L1-12Q-411BA34,NEEDLE DIAL HUB(L1ﾉﾐ),2.0,2,1,2025-10-23,L1-12Q-411BA34
