OYAHMCD,SEQ,STRNO,OYAREVNO,STRSEQ,KOHMCD,SIZEX,SIZEY,SIZEZ,SHAPEQTY,OYAQTYKBN,OYAQTY,OYAUNIT,KOQTY,KOUNIT,VALDEC,HASUKBN,NOTE,REVNOTE,REVDT,REVTANCD,VALFLG
3154-405AA220,1,1,1,1,L-81-405FA22,,,,1,1,1,PC,1,PC,0,1,,,,,1
3326-405AA300,1,1,1,1,L-816-405CA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
335-405BA380,1,1,1,1,L-335-405AA38-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
335-409EA330,1,1,1,1,L-478-409BA33-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
355-405BA330,1,1,1,1,L-335-405AA33-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
478-409FA340,1,1,1,1,L-478-409BA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5163-405BA310,1,1,1,1,L-478-409BA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5163-405BA330,1,1,1,1,L-5163-405BA33-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5170-409AA380,1,1,1,1,L-79-409B38-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5208-405AC340,1,1,1,1,L-78-40534-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5208-409AB340,1,1,1,1,L-220-40934-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5211-405AB340,1,1,1,1,L-78-40534-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5211-405AB360,1,1,1,1,L-78-40536-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5211-409AA340,1,1,1,1,L-478-409AA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5211-409AA360,1,1,1,1,L-478-409AA36-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5306-405AB340,1,1,1,1,L-335-405AA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5540-405BA380,1,1,1,1,L-335-405AA38-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
57-405B220,1,1,1,1,L-57-40522-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
57-409E300,1,1,1,1,L-57-40930-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
59-409DA220,1,1,1,1,L-59-40922-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
6104-409CA300,1,1,1,1,L-6104-409CA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
73-409E380,1,1,1,1,L-57-40938-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
740-410EA300,1,1,1,1,L-970-41030-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
78-405FA340,1,1,1,1,L-78-40534-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
81-405EA220,1,1,1,1,L-81-40522,,,,1,1,1,PC,1,PC,0,1,,,,,1
81-405GA280,1,1,1,1,L-81-40528,,,,1,1,1,PC,1,PC,0,1,,,,,1
816-405FA320,1,1,1,1,L-816-405CA32-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405FA340,1,1,1,1,L-87-40534-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
960-405BA300,1,1,1,1,L-960-405BA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
960-405DA300,1,1,1,1,L-960-405AA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
TS-4970JA180,1,1,1,1,L-960-405AA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
TS-5234BA,1,1,1,1,L2-970-41026-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
201-405AA130,1,1,1,1,L-57-40513-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
201-405BA160,1,1,1,1,L-57-40516-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
201-409DA130,1,1,1,1,L-201-40913-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
251-409BA160,1,1,1,1,L-59-40916-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
272-405AA310,1,1,1,1,L-59-40916-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
272-409AA300,1,1,1,1,L-79-409B30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
274-405BA360,1,1,1,1,L-335-405AA36-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
274-405CA480,1,1,1,1,L-335-405AA48-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
