HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN
00-918AR,1,10,MARK,30,CA048,10,10,1,0,10,,,2,2
00-918AQ,1,10,MARK,30,CA048,10,10,1,0,10,,,2,2
00-918AP,1,10,MARK,30,CA048,10,10,1,0,10,,,2,2
E-32114AA,1,10,ULM,KH,,10,10,1,0,10,,,2,2
ES64-01001EA,1,10,MC,PT,PT007,12,40,0,0,10,,,2,2
ES64-01001EA,2,20,WC,PT,PT001,12,360,1,0,10,,,2,2
ES64-01001CB,1,10,MC,PT,PT007,12,40,12,0,10,,,2,2
ES64-01001CB,2,20,WC,PT,PT001,12,360,12,0,10,,,2,2
ES64-01001BC,1,10,MC,PT,PT007,12,40,12,0,10,,,2,2
ES64-01001BC,2,20,WC,PT,PT001,12,360,12,0,10,,,2,2
ES64-01001AC,1,10,MC,PT,PT007,12,40,12,0,10,,,2,2
ES64-01001AC,2,20,WC,PT,PT001,12,360,12,0,10,,,2,2
YCM-109EA,1,10,WC,PT,PT001,60,120,1,0,10,,,2,2
YCM-109EA,2,20,MC1,CC,CA020,12,30,0,0,10,,,2,2
YCM-109EA,3,30,MC2,CC,CA020,12,15,1,0,10,,,2,2
YCM-109EA,4,40,CHDE,CC,,10,0,0,0,10,,,2,2
YCM-109EA,5,50,HOLF,CC,,10,0,0,0,10,,,2,2
YCM-109EA,6,60,HT,CC,CA036,30,0,1,0,10,,,2,2
YCM-109EA,7,70,QBR,CC,CA025,10,0,0,0,10,,,2,2
YCM-109EA,8,80,HOLD,CC,,10,0,0,0,10,,,2,2
YCM-109EA,9,90,PL,3861,,10,0,2,999,13,,,2,1
YCM-109EA,10,100,YAFIN,CC,,10,10,1,0,10,,,2,2
YCM-151,1,10,WC,PT,PT001,60,120,1,0,10,,,2,2
YCM-151,2,20,MC1,CC,CA020,12,30,0,0,10,,,2,2
YCM-151,3,30,MC2,CC,CA020,12,15,1,0,10,,,2,2
YCM-151,4,40,CHDE,CC,,10,0,0,0,10,,,2,2
YCM-151,5,50,HOLF,CC,,10,0,0,0,10,,,2,2
YCM-151,6,60,HT,CC,CA036,30,0,1,0,10,,,2,2
YCM-151,7,70,QBR,CC,CA025,10,0,0,0,10,,,2,2
YCM-151,8,80,HOLD,CC,,10,0,0,0,10,,,2,2
YCM-151,9,90,PL,3861,,10,0,2,999,13,,,2,1
YCM-151,10,100,YAFIN,CC,,10,10,1,0,10,,,2,2
YS65-15101AA,1,10,WC,PT,PT001,60,120,1,0,10,,,2,2
YS65-15101AA,2,20,MC1,CC,CA020,12,30,0,0,10,,,2,2
YS65-15101AA,3,30,MC2,CC,CA020,12,15,1,0,10,,,2,2
YS65-15101AA,4,40,CHDE,CC,,10,0,0,0,10,,,2,2
YS65-15101AA,5,50,HOLF,CC,,10,0,0,0,10,,,2,2
YS65-15101AA,6,60,HT,CC,CA036,30,0,1,0,10,,,2,2
YS65-15101AA,7,70,QBR,CC,CA025,10,0,0,0,10,,,2,2
YS65-15101AA,8,80,HOLD,CC,,10,0,0,0,10,,,2,2
YS65-15101AA,9,90,PL,3861,,10,60,2,999,13,,,2,1
YS65-15101AA,10,100,YAFIN,CC,,10,10,1,0,10,,,2,2
YCF-104GP,1,10,WC,PT,PT001,60,120,1,0,10,,,2,2
YCF-104GP,2,20,MC1,CC,CA020,12,30,0,0,10,,,2,2
YCF-104GP,3,30,MC2,CC,CA020,12,15,1,0,10,,,2,2
YCF-104GP,4,40,CHDE,CC,,10,0,0,0,10,,,2,2
YCF-104GP,5,50,HOLF,CC,,10,0,0,0,10,,,2,2
YCF-104GP,6,60,HT,CC,CA036,30,0,1,0,10,,,2,2
YCF-104GP,7,70,QBR,CC,CA025,10,0,0,0,10,,,2,2
YCF-104GP,8,80,HOLD,CC,,10,0,0,0,10,,,2,2
YCF-104GP,9,90,PL,3861,,10,60,2,999,13,,,2,1
YCF-104GP,10,100,YAFIN,CC,,10,10,1,0,10,,,2,2
YCF-162AA,1,10,WC,PT,PT001,60,120,1,0,10,,,2,2
YCF-162AA,2,20,MC1,CC,CA020,12,30,0,0,10,,,2,2
YCF-162AA,3,30,MC2,CC,CA020,12,15,1,0,10,,,2,2
YCF-162AA,4,40,CHDE,CC,,10,0,0,0,10,,,2,2
YCF-162AA,5,50,HOLF,CC,,10,0,0,0,10,,,2,2
YCF-162AA,6,60,HT,CC,CA036,30,0,1,0,10,,,2,2
YCF-162AA,7,70,QBR,CC,CA025,10,0,0,0,10,,,2,2
YCF-162AA,8,80,HOLD,CC,,10,0,0,0,10,,,2,2
YCF-162AA,9,90,PL,3861,,10,60,2,999,13,,,2,1
YCF-162AA,10,100,YAFIN,CC,,10,10,1,0,10,,,2,2
YS65-13701BA,1,10,WC,PT,PT001,60,120,1,0,10,,,2,2
YS65-13701BA,2,20,MC1,CC,CA020,12,30,0,0,10,,,2,2
YS65-13701BA,3,30,MC2,CC,CA020,12,15,1,0,10,,,2,2
YS65-13701BA,4,40,CHDE,CC,,10,0,0,0,10,,,2,2
YS65-13701BA,5,50,HOLF,CC,,10,0,0,0,10,,,2,2
YS65-13701BA,6,60,HT,CC,CA036,30,0,1,0,10,,,2,2
YS65-13701BA,7,70,QBR,CC,CA025,10,0,0,0,10,,,2,2
YS65-13701BA,8,80,HOLD,CC,,10,0,0,0,10,,,2,2
YS65-13701BA,9,90,PL,3861,,10,60,2,999,13,,,2,1
YS65-13701BA,10,100,YAFIN,CC,,10,10,1,0,10,,,2,2
YCF-116NAP,1,10,WC,PT,PT001,60,120,1,0,10,,,2,2
YCF-116NAP,2,20,MC1,CC,CA020,12,30,0,0,10,,,2,2
YCF-116NAP,3,30,MC2,CC,CA020,12,15,1,0,10,,,2,2
C0201B20010800480000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0201B20010800480000,2,20,G,60,,0,0,1,0,10,,,2,2
C0201B20010800480000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0201B20010800480000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0274F42026400550000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0274F42026400550000,2,20,G,60,,0,0,1,0,10,,,2,2
C0274F42026400550000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0274F42026400550000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078E34038400340000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078E34038400340000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078E34038400340000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078E34038400340000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B30023040480000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B30023040480000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B30023040480000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B30023040480000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B38021360480000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B38021360480000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B38021360480000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B38021360480000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B40022680480000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B40022680480000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B40022680480000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B40022680480000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078G42023520480000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078G42023520480000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078G42023520480000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078G42023520480000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C5540B36031680420000,1,10,FL,60,,0,0,1,0,10,,,2,2
C5540B36031680420000,2,20,G,60,,0,0,1,0,10,,,2,2
C5540B36031680420000,3,30,BF,60,,0,0,1,0,10,,,2,2
C5540B36031680420000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0274E30025920420000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0274E30025920420000,2,20,G,60,,0,0,1,0,10,,,2,2
C0274E30025920420000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0274E30025920420000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C5163A34007470950000,1,10,FL,60,,0,0,1,0,10,,,2,2
C5163A34007470950000,2,20,G,60,,0,0,1,0,10,,,2,2
C5163A34007470950000,3,30,BF,60,,0,0,1,0,10,,,2,2
C5163A34007470950000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B30016800480000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B30016800480000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B30016800480000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B30016800480000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C0078B30018720480000,1,10,FL,60,,0,0,1,0,10,,,2,2
C0078B30018720480000,2,20,G,60,,0,0,1,0,10,,,2,2
C0078B30018720480000,3,30,BF,60,,0,0,1,0,10,,,2,2
C0078B30018720480000,4,40,CYFIN,60,,0,0,1,0,10,,,2,2
C3164B34034080352000,1,10,FL,60,,0,0,1,0,10,,,2,2
C3164B34034080352000,2,20,RST,60,,0,0,1,0,10,,,2,2
C3164B34034080352000,3,30,G,60,,0,0,1,0,10,,,2,2
C3164B34034080352000,4,40,BF,60,,0,0,1,0,10,,,2,2
C3164B34034080352000,5,50,CYFIN,60,,0,0,1,0,10,,,2,2
C3164B30026400422000,1,10,FL,60,,0,0,1,0,10,,,2,2
C3164B30026400422000,2,20,RST,60,,0,0,1,0,10,,,2,2
C3164B30026400422000,3,30,G,60,,0,0,1,0,10,,,2,2
C3164B30026400422000,4,40,BF,60,,0,0,1,0,10,,,2,2
C3164B30026400422000,5,50,CYFIN,60,,0,0,1,0,10,,,2,2
C3164B34029760422000,1,10,FL,60,,0,0,1,0,10,,,2,2
C3164B34029760422000,2,20,RST,60,,0,0,1,0,10,,,2,2
C3164B34029760422000,3,30,G,60,,0,0,1,0,10,,,2,2
C3164B34029760422000,4,40,BF,60,,0,0,1,0,10,,,2,2
C3164B34029760422000,5,50,CYFIN,60,,0,0,1,0,10,,,2,2
C3164B30030000352000,1,10,FL,60,,0,0,1,0,10,,,2,2
C3164B30030000352000,2,20,RST,60,,0,0,1,0,10,,,2,2
C3164B30030000352000,3,30,G,60,,0,0,1,0,10,,,2,2
C3164B30030000352000,4,40,BF,60,,0,0,1,0,10,,,2,2
C3164B30030000352000,5,50,CYFIN,60,,0,0,1,0,10,,,2,2
C3557B34025200524020,1,10,FL,60,,0,0,1,0,10,,,2,2
C3557B34025200524020,2,20,RST,60,,0,0,1,0,10,,,2,2
C3557B34025200524020,3,30,G,60,,0,0,1,0,10,,,2,2
C3557B34025200524020,4,40,BF,60,,0,0,1,0,10,,,2,2
C3557B34025200524020,5,50,CYFIN,60,,0,0,1,0,10,,,2,2
C3151F30026400422000,1,10,FL,60,,0,0,1,0,10,,,2,2
C3151F30026400422000,2,20,RST,60,,0,0,1,0,10,,,2,2
C3151F30026400422000,3,30,G,60,,0,0,1,0,10,,,2,2
C3151F30026400422000,4,40,BF,60,,0,0,1,0,10,,,2,2
C3151F30026400422000,5,50,CYFIN,60,,0,0,1,0,10,,,2,2
C3164B34025920522500,1,10,FL,60,,0,0,1,0,10,,,2,2
C3164B34025920522500,2,20,RST,60,,0,0,1,0,10,,,2,2
C3164B34025920522500,3,30,G,60,,0,0,1,0,10,,,2,2
C3164B34025920522500,4,40,BF,60,,0,0,1,0,10,,,2,2
C3164B34025920522500,5,50,CYFIN,60,,0,0,1,0,10,,,2,2
C3164B30022680522500,1,10,FL,60,,0,0,1,0,10,,,2,2
C3164B30022680522500,2,20,RST,60,,0,0,1,0,10,,,2,2
C3164B30022680522500,3,30,G,60,,0,0,1,0,10,,,2,2
C3164B30022680522500,4,40,BF,60,,0,0,1,0,10,,,2,2
C3164B30022680522500,5,50,CYFIN,60,,0,0,1,0,10,,,2,2
C3164B36027360522500,1,10,FL,60,,0,0,1,0,10,,,2,2
C3164B36027360522500,2,20,RST,60,,0,0,1,0,10,,,2,2
C3164B36027360522500,3,30,G,60,,0,0,1,0,10,,,2,2
C3164B36027360522500,4,40,BF,60,,0,0,1,0,10,,,2,2
C3164B36027360522500,5,50,CYFIN,60,,0,0,1,0,10,,,2,2
C3144D26019320522500,1,10,FL,60,,0,0,1,0,10,,,2,2
C3144D26019320522500,2,20,RST,60,,0,0,1,0,10,,,2,2
C3144D26019320522500,3,30,G,60,,0,0,1,0,10,,,2,2
C3144D26019320522500,4,40,BF,60,,0,0,1,0,10,,,2,2
C3144D26019320522500,5,50,CYFIN,60,,0,0,1,0,10,,,2,2
C3144B30025200422000,1,10,FL,60,,0,0,1,0,10,,,2,2
C3144B30025200422000,2,20,RST,60,,0,0,1,0,10,,,2,2
C3144B30025200422000,3,30,G,60,,0,0,1,0,10,,,2,2
C3144B30025200422000,4,40,BF,60,,0,0,1,0,10,,,2,2
C3144B30025200422000,5,50,CYFIN,60,,0,0,1,0,10,,,2,2
C3146B32020160523000,1,10,FL,60,,0,0,1,0,10,,,2,2
C3146B32020160523000,2,20,RST,60,,0,0,1,0,10,,,2,2
C3146B32020160523000,3,30,G,60,,0,0,1,0,10,,,2,2
C3146B32020160523000,4,40,BF,60,,0,0,1,0,10,,,2,2
C3146B32020160523000,5,50,CYFIN,60,,0,0,1,0,10,,,2,2
C3164B32028080422000,1,10,FL,60,,0,0,1,0,10,,,2,2
C3164B32028080422000,2,20,RST,60,,0,0,1,0,10,,,2,2
C3164B32028080422000,3,30,G,60,,0,0,1,0,10,,,2,2
C3164B32028080422000,4,40,BF,60,,0,0,1,0,10,,,2,2
