ç´ïÔäJénì˙,î≠çsì˙,ëgóßäJénì˙,ê∂éYåééü,ì`ï[ÇmÇè,â¡çHïîî‘,ïîïiñº,ïKóvêî,ñ¢à¯ìñç›å…êî,éËéùÇøç›å…êî,ìæà”êÊíçï∂î‘çÜ,èoå…çœêî
2026/03/19,2026/02/03,2026/03/09,2026036,E000099766,3153-515AA30,GATE CAM A,2,0,27,,2
2026/03/17,2026/02/03,2026/03/17,,E000100221,3153-515AA30,GATE CAM A,2,2,27,PE-2578801,
2026/03/27,2026/02/03,2026/03/16,2026038,E000099808,3153-515BA26,GATE CAM B,8,0,22,,8
2026/04/27,2026/02/03,2026/04/14,2026048,E000100416,3153-515BA26,GATE CAM B,2,2,22,,0
2026/03/19,2026/02/03,2026/03/09,2026036,E000099767,3153-515BA30,GATE CAM B,2,0,22,,2
2026/03/17,2026/02/03,2026/03/17,,E000100222,3153-515BA30,GATE CAM B,2,2,22,PE-2578802,
2026/03/27,2026/02/03,2026/03/16,2026038,E000099809,3153-561AA26,KK CAM,508,52,52,,0
2026/04/27,2026/02/03,2026/04/14,2026048,E000100417,3153-561AA26,KK CAM,127,0,0,,0
2026/03/27,2026/02/03,2026/03/16,2026038,E000099810,3153-562AA26,KT CAM,168,52,52,,0
2026/04/27,2026/02/03,2026/04/14,2026048,E000100418,3153-562AA26,KT CAM,42,0,0,,0
2026/03/27,2026/02/03,2026/03/16,2026038,E000099811,3153-562BA26,TK CAM,252,53,53,,0
2026/04/27,2026/02/03,2026/04/14,2026048,E000100419,3153-562BA26,TK CAM,63,0,0,,0
2026/03/27,2026/02/03,2026/03/16,2026038,E000099812,3153-611AA26,SINKER CAM,340,10,10,,0
2026/04/27,2026/02/03,2026/04/14,2026048,E000100420,3153-611AA26,SINKER CAM,85,0,0,,0
2026/03/19,2026/02/03,2026/03/09,2026036,E000099768,3153-611AA30,SINKER CAM,97,0,7,,97
2026/03/27,2026/02/03,2026/03/16,2026038,E000099813,3153-612AA26,SINKER GATE CAM A,4,0,33,,4
2026/04/27,2026/02/03,2026/04/14,2026048,E000100421,3153-612AA26,SINKER GATE CAM A,1,1,33,,0
2026/03/19,2026/02/03,2026/03/09,2026036,E000099769,3153-612AA30,SINKER GATE CAM A,1,0,8,,1
2026/03/27,2026/02/03,2026/03/16,2026038,E000099814,3153-612BA26,SINKER GATE CAM B,4,0,30,,4
2026/04/27,2026/02/03,2026/04/14,2026048,E000100422,3153-612BA26,SINKER GATE CAM B,1,1,30,,0
2026/03/19,2026/02/03,2026/03/09,2026036,E000099770,3153-612BA30,SINKER GATE CAM B,1,0,9,,1
2026/02/26,2026/02/03,2026/02/10,2026028,E000099351,3164-511AA26,KNIT CAM,1183,18,18,,0
2026/02/04,2026/02/03,2026/01/21,2026022,E000099101,3164-511AA32,KNIT CAM,1251,0,66,,1251
2026/02/10,2026/02/03,2026/02/10,,E000099359,3164-511AA32,KNIT CAM,208,66,66,PM-5171201,
2026/03/27,2026/02/03,2026/03/16,2026038,E000099815,3164-511AA32,KNIT CAM,1251,0,0,,0
2026/02/17,2026/02/03,2026/02/02,2026025,E000099335,3164-511AA34,KNIT CAM,1085,48,48,,0
2026/02/24,2026/02/03,2026/02/06,2026027,E000099343,3164-511AA34,KNIT CAM,868,0,0,,0
2026/04/03,2026/02/03,2026/03/24,2026042,E000100225,3164-511AA34,KNIT CAM,1299,0,0,,0
2026/04/15,2026/02/03,2026/04/03,2026045,E000100522,3164-511AA34,KNIT CAM,866,0,0,,0
2026/04/23,2026/02/03,2026/04/10,2026047,E000100530,3164-511AA34,KNIT CAM,866,0,0,,0
2026/03/12,2026/02/03,2026/02/27,2026034,E000099567,3164-511AA40,KNIT CAM,771,10,10,,0
2026/02/24,2026/02/03,2026/02/06,2026027,E000099256,3164-511AA42,KNIT CAM,411,16,16,,0
2026/02/02,2026/02/03,2026/01/19,2026021,E000098964,3164-511AB30,KNIT CAM,386,0,224,,386
2026/03/19,2026/02/03,2026/03/09,2026036,E000099771,3164-511AB30,KNIT CAM,1156,224,224,,0
2026/03/25,2026/02/03,2026/03/12,2026037,E000099796,3164-511AB30,KNIT CAM,1734,0,0,,0
2026/04/08,2026/02/03,2026/03/27,2026043,E000100345,3164-511AB30,KNIT CAM,579,0,0,,0
2026/02/26,2026/02/03,2026/02/10,2026028,E000099352,3164-512AA26,TUCK CAM,588,75,75,,0
2026/02/04,2026/02/03,2026/01/21,2026022,E000099102,3164-512AA32,TUCK CAM,624,624,655,,0
2026/02/10,2026/02/03,2026/02/10,,E000099360,3164-512AA32,TUCK CAM,104,31,31,PM-5171202,
2026/03/27,2026/02/03,2026/03/16,2026038,E000099816,3164-512AA32,TUCK CAM,624,0,0,,0
2026/02/17,2026/02/03,2026/02/02,2026025,E000099336,3164-512AA34,TUCK CAM,540,85,85,,0
2026/02/24,2026/02/03,2026/02/06,2026027,E000099344,3164-512AA34,TUCK CAM,432,0,0,,0
2026/04/03,2026/02/03,2026/03/24,2026042,E000100226,3164-512AA34,TUCK CAM,648,0,0,,0
2026/04/15,2026/02/03,2026/04/03,2026045,E000100523,3164-512AA34,TUCK CAM,432,0,0,,0
2026/04/23,2026/02/03,2026/04/10,2026047,E000100531,3164-512AA34,TUCK CAM,432,0,0,,0
2026/03/12,2026/02/03,2026/02/27,2026034,E000099568,3164-512AA40,TUCK CAM,384,13,13,,0
2026/02/24,2026/02/03,2026/02/06,2026027,E000099257,3164-512AA42,TUCK CAM,210,6,6,,0
2026/02/02,2026/02/03,2026/01/19,2026021,E000098965,3164-512AB30,TUCK CAM,192,0,84,,192
